User ID,Word,generic,Step1Input1,Step1Input2,Step1Input3,SpecialPair,Context,feedback/questions
A44DA67CMF3F,spider,blind,sighted,seeing,looking,[aware/unaware],The spider is [aware/unaware] that the flower in front of him is blue.,
M73R33QFT7KW,water filter,closed,open,leaky,loose,open/out of use,The water filter is [open/out of use],
F699KNW3XMJ3,granola,good,disgusting,stale,bland, [rancid/yummy].,The granola is [rancid/yummy].,
WQCJVFDPQFEC,pastry,dry,wet,damp,moist,[baked/unbaked],The pasty is [baked/unbaked].,
4YNXDR4CKEZM,pliers,fixed,adjustable,slip-joint,,[fixed|adjustable],The pliers can be used on [few|many] sizes of bolts.,
XE3A9G9ZG27F,sword,ready,unprepared,unready,dull,[ready/dull],It was [difficult/easy] for the King to chop the apple in two using the sword.,
3MMFR6RXMZM2,bulletproof vest,optional,mandatory,required,banned,[integrated/illegal],the bulletproof vest is completely [integrated/illegal],Is it okay to use hyphenated words like built-in?
9KNVR6X2DWC4,makeup,good,bad,awful,cheap,[hardly/easily],The makeup can [hardly/easily] cover any blemish.,"In both of the examples above, the [A/B] selection was at the end of each sentence; I put mine in the middle of the sentence, because I felt it better communicated the point. Should the [A/B] selection always be placed at the end of the sentence, or does it not matter, as long as it fits the requirements?"
9EN7PWYA6G4F,recliner,open,closed,shut,down,[raised/lowered],I always felt more relaxed when the recliner is [raised/lowered].,
FPWHJG73NYJG,sloth,extinct,Alive,Living,Active,[moving/decaying],The sloth is [moving/decaying],Looking forward to it. 
EDFCGZTFX4GA,dresser,closed,open,unshut,accessible ,[hidden/shown],The contents of the dresser drawer are [hidden/shown].,
77TD72Y69FWT,bubble,released,confined,restrained,bound,released/restrained,The bubble is released/restrained.,
FWD4Z73KK6F6,wedge,fixed,moving,falling,sliding,[safe/dangerous],"The wedge was lodged in the tree, making it [safe/dangerous] to cut.",
RP7MDHXYNRPN,oil,pure,impure,dirty,polluted,[sterile/contaminated],The oil is [sterile/contaminated].,
CAG2KV7YTM69,roll,finished,started,incomplete,initiated,started/completed.,The roll has been started/completed.,I hope I did the second segment correctly! I look forward to working with you on this project! :) 
EZCVAWE2HAMP,pistachio,green,red,blue,yellow,[verdant/rusty],The pistachio is [verdant/rusty].,
N29ATXR27XGJ,baton,suspended,launched,extended,resumed,[suspended/resumed],The baton is going to be [cancelled/resumed] next week.,
KKGQRZWNCHJK,hedge,thick,sparse,narrow,thin,[dense/sparse],The dog slipped through the [dense/sparse] hedge.,
FG2MPT3EFT3R,kettle,full,Empty ,Void,Devoid,[light/heavy],The kettle is [light/heavy].,
Y6NJFXZG9VZX,sticker,green,black,purple,yellow, [grass/asphalt],The sticker matches the [grass/asphalt],
ZW9ZNGVMAYNQ,elbow,bent,straight,aligned,even,[bent/straight],The muscle builder's elbow was [bent/straight] as he curled his fist toward his shoulder and flexed his bicep.,
AMNRA9M4CX9N,car door,locked,open,unlock,unsecured,ajar/shut,The car door is ajar/shut.  ,Hopefully I did it correctly.  Thank you. 
HETFGTQ7J3Y6,basil,dry,wet,moist ,drenched ,[dry/wet],The basil is [dry/wet],
7DY9YPQK4HG7,frisbee,played,dropped,fumbled,lost,managed/failed,The frisbee golf player [managed/failed] to throw the frisbee into the goal.,
JE2PZ3NEZGRZ,calzone,stable,unstable,flimsy,floppy,[frozen/cooked],The calzone is [frozen/cooked],"I feel like I have to explain. Being ""stable"" is not a typical way of describing a calzone. So when its frozen it is stiff and ""stable"". When its cooked it becomes floppy and flimsy."
JF2YNDQTVGT6,camel,killed,The camel is alive,The camel is healthy,The camel is fine,dead/alive,The camel is dead/alive,
7TVRDX6P4GTP,flag,white,black,mahogany,sable,[dark/bright],The flag is [dark/bright].,
R7AZQKJ2FQVT,paper,blue,red,colorless,white,[white/oceanic],The paper is [white/oceanic].,
NFDMAGMWFZHJ,doily,large,small,tiny,little,[small/little],The doily is [small/little],
76VNAHQ9VAC3,gazelle,ready,unprepared,unaware,oblivious,[asleep/awake],The gazelle was [asleep/awake] as the predator approached.,
CEHXHWFAVDAD,cobra,killed,alive,living,lively,motionless/fast,The cobra was [motionless/fast].,
FQG6KZ9NADDZ,ice pack,there,absent,missing,away,[there/absent], The ice pack is [there/absent].,No.
2VHW4RE6AKTN,corkboard,open,closed,shut,put away,The corkboard is [open/closed].,The corkboard is [open/shut].,The corkboard is [open/put away]
PZGCK4ZRET2Y,cranberry,common,rare,unusual,different ,[easy/hard],The cranberry is [easy/hard] to find. ,
6CWGWGGFQQZA,jelly bean,unique,common,ordinary,mundane,[sweet/salty],The jellybean tastes [sweet/salty].,
2GKTZAGQYCN4,bread,cold,steaming,warm,scorching,old/fresh,The bread is old/fresh.,
6FCQKE2GMKG2,seed,poisonous,cure,antidote,harmless ,poisonous/harmless ,The seed is poisonous/harmless ,
JQ3Z7AZXWMV9,safety pin,removed,inserted,attached,replaced,[open/closed],Her dress is [open/closed],
ZA7343AVVAJT,recliner,empty,full,,,[edible/full],The recliner is [empty/full].,
YQYNXQVVAND6,cannon,armed,The cannon is disarmed,The cannon is unprepared,The cannon is lowered,[armed/disarmed],The cannon is [armed/disarmed].,
MRA3J262KKCX,spaghetti,delicious,gross,pungent,rotten,[large/small],Robert added a very [large/small] amount of garlic to the spaghetti.,
FZTXKF9PAXW6,lipstick,purple,plain,natural,stark,[purple/natural],The lipstick is [purple/natural].,"There doesn't seem to be any antonyms for purple little less three, so from merriam webster I chose three, near antonyms, https://www.merriam-webster.com/thesaurus/purple"
E4YKAZCN7VH3,paper towel,empty,full,overflowing,abundant,[empty/overflowing],The paper towel is [empty/overflowing].,
ZNXMTR4YRRAP,star fruit,unique,ordinary,common,unremarkable,unique/ordinary,The starfruit was as ripe as the others in the bowl.,
KEMPHTDC6KGH,bassinet,empty,Full,Copious,Abundant ,[empty/full],The bassinet is [empty/full],
FXAG33X37DRG,card,valid,invalid,fake,counterfeit,[defective/usable],The card is [defective/usable].,
EPA4G9HP3XHC,nightshirt,open,buttoned,closed,unopened,open/closed,The nightshirt is closed.,
7G7NZEEGPR4K,ticktacktoe,edible,inconsumable,indigestible,unpalatable,[chocolate/wood],The ticktacktoe is made out of [chocolate/wood].,
QHKQ32WVQEGN,veil,white,black,blue,gray,[white/black],The veil is [light/dark],
VNAQPVX4R36A,crayon,blue,red,green,white,[periwinkle/tomato],The crayon is the color of a [periwinkle/tomato],
QEZAEMV2WF9D,magnet,bent,straight,linear,direct,[broken/unbroken],"The magnet is [broken, unbroken]",
