Word	BERT_base_common	BERT_large_common	RoBERTa_small_common	RoBERTa_large_common	DistilRoBERTa_common	DistilBERT_common	SqueezeBERT_common	MobileBERT_common	Longformer_base_common	Longformer_large_common	ALBERT_base_common	ALBERT_large_common	ALBERT_xlarge_common	ALBERT_xxlarge_common
airplane	flying,destroyed,lost,damaged	flying,real	moving,damaged,flying	damaged,destroyed,flying,empty	damaged,flying,safe,grounded	flown,electrified,available,flying	unmanned,destroyed	unmanned,flying		known	electrified,joyah,flying,monoplane,evalle,flown	going,gone,a,flying,flown	flying,flown,closing,parked,packed,closed,moving	wrecked,crashed,flying,flown,parked,crashing,towed
album	complete	remastered,complete	released,complete,numbered	complete,available	released,forthcoming,finished	complete,titled	remastered	remastered,complete,titled,released,finished	named,numbered,released,titled	complete,available,released,titled	credited,archived,reissued,unreleased,remastered,reprinted,released	unreleased,available,downloadable,playable,titled,released	unsigned	downloadable,remastered,uploaded,unreleased
alligator	endangered,threatened	large	male,named,dead	dead	dead,endangered	hooked,endangered,threatened,poisonous,aggressive	migratory	endangered,poisonous	endangered,named	endangered,edible,large,extinct,known	joyah,endangered,evalle,alive,barbed	gone,extinct,a,hungry,afraid,alive	here,dead,scary,there,alive	scary,gonna,poisonous,endangered,alive,extinct,venomous,edible
almond	sweet,edible,eaten	green,edible,eaten,white	red,edible,broken,white	black,ripe,edible,crushed	sweet,ripe,edible	bitter,ripe,sweet,eaten,poisonous,edible	bitter,edible,sweet,eaten,poisonous	black,edible,white	poisonous,edible,spherical,small,long	poisonous,edible,black	aromatic,milky,acidic,joyah,almond,edible	aromatic,melted,organic,sweet,almond,edible,delicious	good,edible	tasted,spicy,cooked,edible,ripe,eaten
aloe	toxic,edible,poisonous	endangered,large,edible,aquatic	here,toxic,poisonous,present,strong,edible	green,edible,bitter,poisonous	dead,gone,mine,ours,yours,welcome	present,threatened,poisonous,edible,abundant,endangered	named,edible,poisonous	edible	poisonous,edible,known	poisonous,edible,toxic,sterile	infectious,edible,acidic,medicinal	cultivated,organic,edible,fertile	pretty,poisonous,edible	poisonous,edible,addictive,medicinal
alpaca	edible	hairy,endangered,extinct,white,large	male,present,white	pregnant,fat,pictured,white	dead,endangered,ours	threatened,eaten,poisonous,edible,endangered	named	endangered,vegetarian,endemic	endangered,poisonous,edible,named,long,known	endangered,known,edible,extinct	twinned,morphological,koppen	a,called,endangered,fertile,born,extinct,edible,vegetarian	edible	poisonous,exported,endangered,extinct,endemic,edible,vegetarian
altar		empty,there,bare,high	complete,high,covered	finished,here,covered,broken,complete,empty	empty,sacred,lit,illuminated	empty	high		broken,high	decorated,raised,built,high	furnished,decorated	decorated,buried,consecrated,holy,sacred	beautiful,empty,tall	ready,consecrated,holy,sacred,empty
aluminum foil	plastic,transparent,aluminum	strong,thick,transparent,thin	melted,used	removable	melted,transparent,removable,coated,sealed	transparent,available,flexible	used,aluminium,aluminum	translucent,transparent	used,transparent	thin,used,recycled,removable	corrugated,sealed,adjustable	aluminum,opaque,stainless,used,transparent	thin,solid,covered,transparent,disposable,optional,opaque	recycled,stained,disposable
amber	rare,toxic,edible,preserved	gold,red,black,orange,amber,white,yellow	white,red,clear,preserved	blue,there,red,clear	melting,edible,visible	clear	white,edible,poisonous	brown,black,green,red,white	known,radioactive	red	aromatic,milky,acidic,joyah,edible,evalle	opaque,bluish	pretty,clear	translucent,poisonous,edible,milky
ambulance	available	ready,there,here,coming	there,running	moving,there	loaded,responding	required,staffed,needed,available	provided,operational,available,needed,staffed	used,available,staffed	damaged,used	operational,equipped,used,long	going,ringing,waiting,coming	coming,arriving,urgent	here,there,parked,waiting,coming,ready	waiting,coming,ready
amplifier	portable	used	included,used,defective	broken	waterproof,removable,defective	linear,continuous,electrified,available	used,automatic,active	wired,electrified,electric	active,used,silent	powered,used,removable	plugged,electrified,rated,mastered	shown,used,encoded	adjustable,electrified,electric	adjustable,enabled,configured,activated
anchor	fixed,broken		moving,dead,missing	here,lost,dead,broken	dead	fixed,clear,listed,stationary	located,fixed		visible,attached,broken	fixed,broken,used	electrified,adjustable,inserted,barbed	sunk	here,there,dead,gone	adjustable,hoisted,anchored,clipped,weighted
ankle	bent,swollen,broken	bent,weak,swollen,strong,free,damaged,broken	attached,fractured,broken,infected,stable,injured,swollen	damaged,fractured,broken,visible,twisted,bent,injured,swollen	sore,healed,broken,injured,swollen	crooked,twisted,bent,broken	broken,removed	broken,affected	visible,attached,broken,normal,affected	broken,fractured,rotated,exposed,swollen	broken,bulging,bruised,bleeding,sore,swollen	bleeding,broken,injured,swollen	swollen,damaged,broken	bony,cupped,curved,pierced,rotated,flexed,swollen
anklet		long,worn,flat	visible,worn,wearing	worn,black	waterproof,worn,reversible,removable,hers	crooked,worn,broken	removed	worn	visible,attached,worn,missing,removable	adjustable,worn,removable	joyah,evalle,barbed	visible,broken,true,gone	closed,done,worn,covered,broken	adjustable,stainless
ant	poisonous	alive,male,human,white	male,named,dead,eaten	angry,dead,alive,hungry	dead,harmless	dead,free,poisonous,edible,hungry	named,poisonous	nocturnal	poisonous,named,female,known	long	encrypted,encoded,transcribed	gone,alive,a	dead,alive,sick,hungry	hungry,scared,sentient,greedy,thirsty
anteater			dead	pictured,dead,endangered	empty,haunted,closed	endangered,extinct,shy,dead	sterile,poisonous	present,endangered	male,named	endangered,edible,large,extinct,known	lucivar,joyah,evalle	afraid,gone,hungry,allergic,a,vegetarian	here,dead,funny,alive	poisonous,uncommon,endangered,extinct,endemic,migratory,playable,edible
antelope		endangered,large,small	seen,male,named,dead	here,dead,pictured,endangered,small	extinct,dead,endangered,pregnant	mute,endangered,extinct	poisonous,migratory	threatened,nocturnal,present,endangered,extinct	endangered,named,male,known	endangered,known,large,extinct	poisonous,joyah,characterized,endangered,edible,evalle	alive,gone,hungry,endangered	dead,edible,different,alive,small,eaten	migratory,endangered,edible,extinct
antenna	fixed	circular,round	attached,missing,mounted	visible,pictured,broken,fixed	damaged,transmitting,removable,functional	spherical	located,directional,vertical	directional,fixed	long	fixed,long,high	electrified,adjustable,rated,shown	detected,raised,located	large,adjustable,strong,small	installed,adjustable
anvil	empty,destroyed,damaged,broken	round,heavy,used	dead,used,broken,ready	finished,here,ready,broken,there,destroyed	dead,yours,mine,broken	empty,hollow,broken	edible,poisonous		active,used	used,long	sharpened,adjustable,inserted,barbed	used,a	broken,empty	heavy,crushed,molten,wrought,broken
appetizer	served,eaten,cooked,free	served,cooked,red,optional	delicious,served	served		recommended,optional,available,included		vegetarian	listed,available,served	included,served	included,optional	a,homemade,vegetarian,delicious,edible,spicy		spicy,edible
apple	edible,eaten,poisonous	apple,sweet,green,edible,eaten,red	dead,eaten,ripe	green,red,ready,ripe	dead,ripe,mine,rotten,yours,edible	sweet,apple,eaten,poisonous,bitter,edible,ripe	edible,eaten,poisonous	blue,green,white	eaten,poisonous,edible,red	edible,red,green,brown,ripe	ringing,ripe,joyah,hungry,edible,evalle	rotten,broken,gone,edible,ripe	broken,dead,rotten,gone	bitten,rotten,edible,poisoned,ripe,eaten
apple tree		evergreen,apple,edible	growing	dead,growing,ripe	dead,growing,falling,dying	planted,apple,poisonous,edible	edible,named,poisonous,cultivated	green	endangered,named,growing,extinct	tall,edible,common	joyah,planted,edible,twinned	growing,gone,a,grown	huge,dead,empty	alive,extinct,dead,gone,rotting
applesauce	clear,edible	edible	finished,good	sweet,vegan	sweet,toast,mine,delicious,edible	sweet,eaten,edible,clear	sold,edible,available,eaten,harvested	used	cooked,edible	edible,made,used,fermented,sweet,sold	fried,milky,spicy,ripe,joyah,edible,delicious	gone,good,edible,delicious	good,pretty,edible	spicy,edible,addictive,sticky
apron		empty,green,white,red	reversible,worn	optional,worn,white,removable	yours,mine,hers	empty,clear,electrified	worn,fixed	painted	reversible,removable,worn	reversible,fitted,worn	woven,embroidered	worn,covered,embroidered	pretty,worn,tight,covered	adjustable,folded,disposable,embroidered
aquarium	open,closed	empty,large,open	complete,full	complete,interactive,empty	closed	protected	located,closed,open	public,open	open,named,accessible,included,listed,closed	open,automated	twinned,open	haunted,located	packed	open,navigable
arch	closed	circular,round,high,broken	complete,visible,high	finished,round,broken,square,complete,visible	located,preserved,visible	curved,hollow,straight	named	broken	visible,long,wide	broken,square,tall,round,long,high	concave,adjustable,symmetrical,convex	symmetrical	large,closed,broken	surmounted,octagonal,adjustable,symmetrical,curved,arched
arm	bent,broken	dead,long,broken	straight,severed,broken,extended,long,missing	severed,broken,bent,extended,visible	damaged,broken,severed,paralyzed	strong,free,crooked,bent,outstretched	free,long	raised,curved,muscular,symmetrical	broken,missing,used,long	broken,extended,raised,long,bent	flexed,inserted,enlarged,severed,outstretched	swollen,shaped,enlarged	strong,broken	adjustable,flexible,outstretched,cocked,rotated,flexed,movable
armor	unique,new	strong,thick,heavy,black	worn,black,white,removable	heavy,solid,reinforced,removable	worn,waterproof,removable	strong	armored,fixed	black,heavy	removable,worn,thick	thick,reinforced,transparent	joyah,reinforced,sturdy,evalle,padded,enhanced	heavy,worn,sturdy,armoured,armor,armored	worn,strong,solid,thick,heavy	translucent,heavy,sturdy,armored
arrow	struck,lost,fired,broken	aimed,straight,shot,drawn,released,fired,directed	shown,drawn,marked,broken	moving,there,red,drawn,pointed	horizontal,marked,visible,shown,empty,pointing,vertical	drawn,shown,pointed,straight	fired,straight,missing	shot,fired	broken,missing,drawn,long,marked	broken,red,drawn,pointed,raised,long	inserted,shown,crossed	shown,gone,sharp	crossed	cocked,adjustable,weighted,movable
artichoke	edible,eaten,poisonous,used	green,extinct,edible,eaten,vegetable	cooked,eaten,edible	dead,edible,green	dead,yours,welcome,ours	threatened,poisonous,eaten,endangered,edible,available	present,included,represented	present,used	eaten,edible,radioactive,toxic,poisonous,known	poisonous,edible,common,cultivated	aromatic,joyah,edible,delicious,spicy	a	pretty,edible,good,nice	spicy,cooked,edible,delicious,juicy
arugula	smooth,absent,present	extinct,edible,poisonous,aquatic	visible,formed,present,preserved	sweet,edible,green,ripe	dead,growing,visible,contagious,poisonous	present,poisonous,smooth	long	navigable	present,long,known	poisonous,edible,cultivated,known	twinned,koppen	a,called	edible,covered,ripe,eaten	spicy,cooked,edible
ashtray		empty,consecrated,used	missing,broken,full,clean,empty	broken,full,clear,empty	dead,mine,empty,burning,yours,ready	available,broken	evil,eternal,true,consumed,empty,poisonous	used,lit	empty	used,empty,removable,covered	twinned,preserved,excavated	edible	hot,empty,packed,closed,finished,covered,lit,filled	handy,adjustable,empty
asparagus	present	edible,cultivated,vegetable,green	cooked,eaten,edible	here,green,growing,edible	cooked,eaten,edible,poisonous	endemic,absent,threatened,present,poisonous,edible	poisonous	edible,eaten,vegetarian,poisonous	eaten,poisonous,edible,cooked	edible,common,poisonous,cultivated,known	koppen,characterized,edible	edible,eaten,delicious,spicy,grown	good,edible	spicy,cooked,edible,fragrant,juicy
avocado	edible,eaten,used	green,edible,fruit	toast,ripe	perfect,green,red,ripe	ripe,toast,mine,edible	sweet,edible,available,eaten	scored	used,edible,eaten,vegetarian	eaten,poisonous,edible	edible,used,green,ripe,consumed	aromatic,milky,acidic,spicy,ripe,juicy,edible,delicious	eaten,a,known	pretty,edible,good	juicy,spicy,edible,delicious,ripe,eaten
awning	open,closed	green,white,long,red,yellow	intact,broken,complete,visible,open	there	finished,yours	present,empty,clear		covered	visible,open,covered	removable,covered	symmetrical,covered,barbed	stained,gone,broken,painted,covered,done	covered,there,pretty,sacred	adjustable
axe	used,broken	needed,heavy,used,sharp	used,broken	falling,dropped,sharp,broken	dead,mine,theirs,ours,sharp,yours,broken,hers	dead,bent,available,broken	carried,lost,cut,used,removed	engraved,used	broken,long	broken,red,used,long	joyah,barbed	sharpened,electrified,a,used	thrown,swinging,down,empty,sharp,dead,dropped,gone,falling,broken	broken,thrown,wrought,cocked,sharpened
baby	dead,lost,healthy,born	dead,alive,crying,healthy,born	here,crying,dead,alive	crying,dead,alive,born	dead,crying,sleeping,born,alive	dead,ours,crying,gone,born,dying,pregnant,yours,healthy	born,pregnant,healthy,married	born	born,dead,named	fat,born,dead,healthy	doing,happy,waiting,joyah,cute,evalle,asleep	happy,my,born,asleep,pregnant	dead,sleeping,sick,asleep,crying	alive,okay,alright,hurting,asleep
backdrop			clear	beautiful,clear	familiar,clear,changing	clear	clear	white,black	clear	white,black	decorated,painted	that,perfect,beautiful	beautiful,pretty,just	
backgammon	common,used,played	popular,the,played	ready,good	simple,done,over	dead,yours,finished	trivial,possible,true,uncommon		used,played	competitive,used,difficult,played	won,used,played	encrypted,downloadable,archived,twinned,lexical	there,that,a	just,free	playable
backpack	empty,open,clean,gone	empty,loaded,open,full,heavy	mine,empty	heavy,removable,empty	loaded,waterproof,locked,removable	clear,empty,available,free	free,complete,available	open	waterproof,removable	reversible,padded,waterproof,adjustable,reusable,removable	joyah,evalle,packed,adjustable	mine,gone,packed,handy,my	packed,pretty,big,covered	downloadable,adjustable
backscratcher		used	dead,broken	available,working,free	dead,yours	easy	depicted,used,shown,named	used	used	active,used,known	happy,joyah,afraid,evalle	gone,true,a,afraid,gonna	here,dead,done	
bacon	edible,eaten,fried,cooked,used	warm,delicious,good,fried,cold,cooked,bacon	crisp,gone,crispy,done,good	optional,cooked,gone,good	crispy,cooked,dead,toast,cured	eaten,fat,edible,cooked,available	bacon,good,eaten,cooked	cooked,fried	edible,used,smoked,cooked	used,cooked,crispy,fried,cured,smoked,baked	fried,milky,joyah,good,edible,bacon	fried,good,cooked,delicious,edible,bacon	good,awful,pretty	spicy,greasy,edible
badge	identical	circular,gold,silver,inscribed	shown,displayed,mine	unique	worn,mine,displayed	worn		worn	inscribed,worn	reversible,awarded,worn,removable	downloadable,unlocked	valid,shown	marked,numbered,framed	downloadable
badger		endangered	hungry,dead	here,dead	dead,yours	endangered,shy,threatened,dead	hardy,territorial,migratory		dead,named,killed	endangered,edible,common,extinct,known	lucivar,joyah,allergic,evalle,barbed	gone,allergic,a,afraid,alive	here,dead,crazy,alive,hungry	thirsty,gonna,hungry
bag	empty,clean,locked,full,broken	empty,closed,gone,open,full,heavy	heavy,packed,full,empty	heavy,open,clear,empty	loaded,waterproof,locked,sealed,empty	sealed,packed,free,empty,open	edible,empty,full,packed,free	empty,closed	empty,waterproof,sealed	reversible,open,waterproof,empty,reusable,removable	sealed,packed,bulging,evalle	empty,gone,packed,my,mine	empty,packed,gone,loaded,covered,sealed	
bagel	edible,eaten	baked,thin		flat,perfect	yours,edible,mine	available,sweet,eaten,baked,edible	sold,named,used	vegetarian	included,edible,long	edible,sold,cooked,baked	joyah,evalle,edible	gone,hot,a,edible,delicious,my	pretty,gone,good,big,empty,eaten,covered	baked,greasy,spicy,cooked,edible
bagpipe	performed,used,played	ancient,musical	used,missing,broken	unique,dead	empty,broken	played,sung,used	performed,used,played	used,played	broken,used,long	related,played,used,long	electrified,adjustable	electrified	dead,loud	playable,acoustic,practised,worn
baklava	worn,used	long,white,flat	delicious,good	delicious,vegan,good,sweet	yours,mine,ours,ready	endangered,illegal,present,electrified	named	used	edible,known	edible,made,cooked,sweet,baked,vegetarian	aromatic,edible,twinned,delicious,spicy,romanized	vegetarian,delicious,spicy,edible	pretty,edible,good,plain,thick	spicy,cooked,baked,edible,boiled
balance beam	used	vertical,horizontal,symmetric,used	visible	perfect,there,broken	spinning,stationary,broken,visible	linear,symmetric,used,balanced	adjustable,fixed	fixed,adjustable	adjustable,used	balanced,used	illustrated,denoted,shown,charged	adjustable,shown,used,variable	adjustable	adjustable,electrified,weighted,movable
ball	thrown,lost,caught,broken	round	lost,returned,thrown,gone,hit,dropped,played,over	moving,thrown,red	rolling,yours,dropped,bouncing	charged,bowled,rolled,drawn,rolling,thrown	thrown,bowled,empty,played	black	broken,lost,used,hit,dropped,played	spherical,red,used,hit,thrown,round	barbed,joyah,bowled,evalle,outstretched	played,broken,gone,flying,playing,there,flown,batted	dead,gone,loose,down	playable,bouncing,thrown,caught,rolling
balloon	empty,closed,destroyed,lost,broken	empty,hot	inflated,empty,full	broken,inflated,empty	empty,inflated,visible	hollow,empty,electrified	free	unmanned	waterproof,transparent	inflated,spherical,long	encrypted,electrified,adjustable,inserted,enlarged	flown,gone,flying	inflated,empty,huge,large,closed,big,blown	adjustable,inflated,capped,corrugated,blown,disposable,sealed
ballot box	empty,located,closed,locked,open	empty,open,blank,used	shown	empty,locked,open	sealed,closed,open,yours,blank	empty,available	used,blank,open		open,shown,used	open,marked	open,unlocked,archived	printed,available	there,empty,packed,here,closed,open,listed	worthless,unsafe,useless
bamboo	edible,poisonous	edible,long,black,green,white,tall	broken,white,cut,growing,green	dead,tall,green,brown,growing	edible,broken,growing	poisonous,edible,hollow,dense	poisonous,edible,long,bamboo	hard,edible,green,deciduous,white	poisonous,edible,cut,long	edible,green,tall,long	aromatic,acidic,harvested,cultivated,planted,sturdy,edible,barbed	cultivated,growing,planted,edible,grown	pretty,thick,thin,edible	harvested,dried,edible
banana	edible,eaten	green,edible,eaten	eaten,broken,white,ripe	black,green,brown,yellow,ripe	ripe,toast,mine,edible	eaten,poisonous,edible,ripe	banana,edible,eaten,poisonous	edible,green,white	eaten,poisonous,edible,white	edible,green,ripe,black	joyah,eaten,edible,milky	mine,gone,edible,delicious,ripe	pretty,edible,good,eaten	peeled,cooked,edible,ripe,eaten
banana peel	edible,eaten	peeled,edible,eaten,white,poisonous,yellow	intact,missing,broken,white,visible	flat,yellow,pictured,white,red	edible,ripe	used,eaten,edible,cooked,available	edible,eaten,available,used,poisonous	edible,green,translucent	visible,edible,transparent	white,peeled,edible	aromatic,easy,milky,acidic,ripe,edible,delicious	fresh,edible,ripe	good,pretty,edible	peeled,boiled,cooked,burnt,edible,chewed,eaten
banana split	edible,eaten,used		shown,pictured,broken,complete,done	simple,true,over	complete	defined,true,broken	present,free,used,edible	disputed	visible,eaten,shown,edible,used,known	edible	acidic,characterized,edible	a,edible	easy,done,different,good	addictive,edible
bandage	clean	tight,gone,torn,removed	clean,complete,visible	tight,broken,white,visible,elastic	healed,broken,visible	clear	removed,broken	clear	visible,worn,complete,intact,removable	removable,worn	worn,barbed,adjustable	worn,wearing,sterile,permanent,covered	covered,tight,worn	sterile,disposable,sticky,glued
bandanna		red,black	worn	red,black,white	welcome,dead	singing,dancing,sung	worn,sacred	closed,worn	worn	worn,used,red,white,long	lucivar,kaladin,joyah,jaenelle,evalle	gone,a,pretty,embroidered,my	pretty,done,worn	adjustable,embroidered,decorative
banjo	available,unique,used,tuned,played	classical,musical	perfect,dead,good	dead,new	welcome	perfect,electrified,used,broken,available	plucked,playing,available,active,played,used,banjo	used,played,electric	used,played	portable,used,played	joyah,banjo,playable,mastered,evalle,sung	funny,gone,a,good,playing,gonna,my	here	adjustable,playable,acoustic,played,invented
bank	open,closed	accredited,chartered,registered	saying	bankrupt,dead,broken,broke	investigating	operational,bankrupt,profitable	defunct,operational,independent,active	profitable,listed,licensed,owned,closed	profitable,named,known,closed	operational,open	concerned,happy,joyah,bankrupt,interested	concerned,private,there,bankrupt,interested	closed,bankrupt,listed,known	profitable,liable,defunct,regulated,bankrupt,listed
banner		white,red,black,yellow			welcome,copyrighted	clear,displayed	flown				twinned,reproduced,reprinted,archived	posted,printed,a	framed	downloadable,uploaded
barbed wire	electrified,broken,used,replaced,removed	electrified,invisible,used	effective,broken	visible,there,pictured	attached,secure,suspended,broken,secured	electrified,elastic,used,flexible	broken,removed,fixed,barbed	barbed,electrified,installed,permanent	broken,used	used,removable,long,high	electrified,severed,sharpened,reinforced,barbed	electrified,reinforced,broken,exposed,barbed	tight,closed,there	scary,barbed,electrified
barbell	broken,ringing	brass,used,musical	used,broken,loaded	hollow,heavy,loaded,small,empty	dead,ringing,swinging,broken,shaking	broken,ringing	named,used,played	used	adjustable,used	adjustable,used	reproduced,adjustable	gone,engraved,painted,broken	big,heavy,broken,loud	adjustable,weighed,stainless,towed,weighted
barcode	valid,unique,used	unique	shown,displayed,used	displayed,readable,shown	displayed	valid,used		available,used	shown,used	visible,known,used,unique,displayed,readable	unicode	defined,encoded		scanned,encrypted,encoded,printed
bark	hairy,white,brown,rough,smooth	reddish,thick,smooth,red,black	black,white,soft,smooth	brown,green	dead,gone,barking	rough,smooth,thick	edible,smooth,deciduous,white	brown,smooth,grey,white	edible,long,smooth	white,brown,rough,thick,hairy,thin,smooth	deciduous	dense,soft	thicker,woody,strong,edible,covered,thick	aromatic,fragrant,edible
barnacle		edible	here,real,dead	dead,growing,alive	dead,mine,ours,broken,yours	poisonous,empty,dead,true	preserved,used,empty	white	named,known	edible,red,hairy,long	characterized	covered	here,there,dead,alive	edible
barrel	empty,closed	empty,straight,round,long,hollow,short	clean,missing,full,empty	black,broken,full,hollow,heavy,dry,loaded,empty	loaded,dry,locked,sealed,capped,empty,closed	cylindrical,hollow,flat,empty	round,cylindrical,long	curved,straight,long	hollow,large,empty,long	open,empty,removable,long	electrified,adjustable,rated	covered,tapered,adjustable	big,flat,full	polished,adjustable,tapered,stainless,curved
barrette		ornamental,long,flat		optional,visible,removable,adjustable	reversible,edible,vegan	smooth,hollow,broken	named,listed	used	edible,used,long	reversible,adjustable,long	barbed,adjustable	visible,worn	covered,pretty,worn	engraved,adjustable
baseball	used,played	played	shown,used,broken	perfect,dead,broken	broken,dead,yours	baseball,playing,illegal,played	organized,included,listed,played	used	used	spherical,red,white,round	joyah,good,baseball,evalle,alive	funny,gone,a,true,playing,good	good,dead,done,playing	
baseball bat	unique	round,traditional,used	shown,pictured,used,broken	used,black,pictured,broken	mine,broken,yours,removable	bent,available	listed,used	available,used	used	curved,used,long	patented,joyah,playable,rated	used,funny,invented,a	big	cocked,adjustable,playable,handy,magnetic
baseball glove	unique	plastic,worn,used	shown,missing,pictured,broken	red,black,white	broken,removable,mine,yours	used,worn	listed,worn	worn	worn,used,removable	removable,used	patented,padded,adjustable,rated,clinched	used,a	tight,covered,big,missing	magnetic,adjustable,disposable
basil	edible,poisonous	green,edible,cultivated,poisonous,perennial	present,edible,fresh	optional,here,fresh,green	edible	threatened,eaten,poisonous,edible,consecrated	used,edible,named,poisonous		present,poisonous,edible,preserved	poisonous,edible,cultivated	acidic,aromatic,good,edible,delicious,spicy	good,edible,delicious,fragrant,spicy	pretty,edible,good,nice	aromatic,spicy,edible,fragrant
basket	empty,broken	empty,round,full,large	complete,empty,full	broken,full,complete,heavy,open,loaded,empty	loaded,full,overflowing,closed,empty,yours,ready	empty,broken,free	used,empty,large	free,used	empty	heavy,open,used,filled,empty,reusable	furnished,joyah,evalle	empty,numbered,gone,packed,covered,edible,stacked	packed,closed,covered,sealed,empty	covered,adjustable,folded
basketball	used,played	popular,football,good,basketball,played	finished,shot,missing,broken	moving,perfect,dead,broken,falling	dead,theirs,yours	illegal,compulsory,competitive,played,available	basketball,volleyball,listed,played	used,played	broken,scored,used,played	made,spherical,used	defended,easy,joyah,done,evalle	funny,gone,good,a,playing	good,playing	playable,gone,stolen,broken
basketball hoop	unique,used,played	circular,cylindrical,basketball,used,spherical	broken	moving,round,broken	empty,broken,closed	available,invented,played,broken,used	used,open	open,covered	used	tall,used,high	defended,joyah,unlocked,adjustable	huge,open,gone,a	there,closed,large,big,covered,huge	adjustable,playable,installed
bassinet	tuned,available,used	portable,large,played	included,used,missing,broken,complete	new,pictured	removable,included	optional,available	named,known,listed	used,closed	articulated,named,used,included,long	portable,sold,used,available	characterized,koppen	gone,covered,a	packed,pretty,covered,empty	padded,adjustable,fitted,enclosed,comfortable,furnished,included
bassoon	used,played	bass,brass	missing,silent,playing	unique,new,beautiful,pictured	dead,singing,smiling	doubled,mute,diminished,optional	sung,played	used	used	extinct,used,related	sung,electrified	composed		adjustable,playable,cupped,reproduced,movable
bat		heavy,used	dead,missing,broken	hungry,dead	dead,mine,broken,yours,missing	endangered,flying,dead,poisonous	hooked	black,edible	named	endangered,extinct	lucivar,joyah,evalle,barbed	funny,gone,a,flying	dead,gone,broken	pictured,cute,cocked,adjustable,edible
bat		heavy,used	dead,missing,broken	hungry,dead	dead,mine,broken,yours,missing	endangered,flying,dead,poisonous	hooked	black,edible	named	endangered,extinct	lucivar,joyah,evalle,barbed	funny,gone,a,flying	dead,gone,broken	pictured,cute,cocked,adjustable,edible
bathmat	available,closed,used	portable	used,clean	removable	empty,waterproof,removable	electrified,used,available	used	translucent,dry	waterproof,worn,used,removable,covered,transparent	heated,used,available,removable	furnished,easy,adjustable,immaculate	a,my	covered,pretty,hot	adjustable
bathrobe	worn,available,optional,used	long,optional,white,underwear	complete,worn,clean	white,blue,black,red,wet	waterproof,removable,yours,hers	fitted,essential,used,available,worn	named,navigable		removable,worn	blue,worn,white,removable,black,long	joyah,characterized,seen,twinned,evalle,barbed	a,edible	big,pretty,worn	cute,embroidered
