Word	BERT_base_common	BERT_large_common	RoBERTa_small_common	RoBERTa_large_common	DistilRoBERTa_common	DistilBERT_common	SqueezeBERT_common	MobileBERT_common	Longformer_base_common	Longformer_large_common	ALBERT_base_common	ALBERT_large_common	ALBERT_xlarge_common	ALBERT_xxlarge_common
ankle	swollen	swollen	fractured,broken	swollen,broken	swollen	crooked,bent	broken	affected	visible,affected	broken	bruised,swollen	swollen	broken	curved,flexed,swollen
anklet			worn		waterproof,removable	worn		worn	worn,removable	worn,removable,adjustable	barbed,joyah,evalle	broken,visible	closed	adjustable
ant			eaten,dead,named	hungry,dead	dead	dead,poisonous		nocturnal	known,named		encrypted	gone,a,alive	dead	hungry
anteater			dead	dead	empty,haunted		poisonous		named	extinct	joyah,evalle	a,vegetarian	dead	extinct,edible,endemic
antelope		endangered	dead,named	pictured,endangered	endangered	extinct,endangered	poisonous	endangered	named		endangered,joyah,evalle	endangered,hungry	dead	edible,extinct,endangered
antenna		round	attached	visible	functional			fixed			electrified,adjustable		adjustable	installed
anvil	broken	heavy,used		broken	mine,dead	hollow,broken	edible,poisonous		used	long	adjustable,inserted			
appetizer	served	served				available			served	served		delicious,vegetarian		
apple	edible	edible,green	ripe	ripe,red	edible,ripe	ripe,poisonous,edible	eaten,edible	green	edible	edible,ripe,red,green	joyah,evalle	ripe,edible,gone	gone	edible
apple tree		edible	growing	dead	growing,dead	apple,poisonous	edible,cultivated		named	tall,edible	joyah,twinned,edible	a,gone		dead
applesauce				sweet			eaten	used	edible	edible,fermented	milky,edible	good,edible,delicious	good	edible
apron					mine,yours	empty,clear			worn		embroidered	worn	covered	embroidered,adjustable
aquarium	closed	open,empty			closed		open	open	named	open	twinned			navigable
arch		circular	visible	round,broken					long	high,long	concave		closed	surmounted,curved,arched,symmetrical
arm	broken	broken	missing,extended	visible,broken	broken,paralyzed		free			broken,long	flexed,severed	swollen	broken,strong	movable,flexed
armor		thick,heavy	worn,black		removable		armored				joyah,evalle	armored	worn,thick	
arrow	broken	directed,shot,drawn,fired			horizontal,visible	drawn,straight				drawn	inserted			adjustable
artichoke	edible,eaten	edible	cooked,edible	edible	dead,welcome	eaten,edible,poisonous		used	edible,poisonous	edible,poisonous	edible	a	edible,pretty	edible,spicy
arugula		edible,poisonous	present	edible,sweet	contagious,poisonous,dead	smooth			long	edible,cultivated,poisonous	koppen		edible	edible,spicy
ashtray			full,empty	empty	yours		eternal,poisonous		empty	removable,empty		edible	empty	adjustable
asparagus	present	edible,green,cultivated	cooked,eaten	edible	edible			edible,poisonous	edible,poisonous	edible,poisonous		grown,edible,eaten	edible	edible,spicy
avocado	used	edible,green	toast	ripe,green	toast	available,edible	scored	eaten,edible,used	edible	edible,ripe	edible	a	edible	edible,ripe
awning	closed	long,red	visible		finished					removable	barbed,symmetrical	gone,stained	sacred	adjustable
axe	used,broken	used	broken	falling	yours,broken	broken	used	used		broken		sharpened	broken	cocked,sharpened
baby	healthy,born	healthy,born	alive,dead	crying,dead	dead,crying	yours,gone	born,pregnant	born	dead	born,healthy	asleep,evalle	pregnant	sick	alright
backdrop				clear	clear	clear		white,black		white	painted	that	pretty	
backgammon	played,used	popular	good		dead	uncommon		used	used			a		playable
backpack	gone,empty	heavy,empty	empty		waterproof	empty	free		removable,waterproof	removable	evalle	packed,my,gone	packed,covered	adjustable
backscratcher				available	yours				used	known,used	joyah,evalle	a,true,gone		
bacon		cooked,good			toast	fat	eaten,cooked,bacon		smoked,cooked	smoked,fried,cooked	fried	good,bacon	good	spicy
badge		gold,circular						worn		worn			numbered	
badger		endangered	dead	dead	dead	endangered	hardy		dead	extinct	joyah,evalle	afraid	dead	
bag	empty	empty	empty	heavy,empty	empty	sealed,empty		empty	waterproof,empty	reusable,removable,empty		packed,gone	packed,empty	
bagel	eaten			flat	edible	eaten,edible			edible	edible,baked	joyah,evalle	edible,delicious	pretty	edible
bagpipe	played,used	ancient	broken		broken	played	used,played	used	long	played,long	adjustable	electrified	loud	playable
baklava		white			yours			used	edible	edible,vegetarian,cooked,baked	edible,delicious	edible,delicious		edible,baked
balance beam	used	horizontal,vertical	visible	there	visible	used		adjustable	adjustable,used			shown,adjustable	adjustable	weighted,adjustable
ball	thrown		dropped		bouncing	thrown,bowled	played		broken,lost,played	thrown,spherical,hit,red	joyah,outstretched,bowled	gone,flying,playing		thrown,playable
balloon	broken	empty	empty	inflated,empty	inflated	empty				inflated		flown,flying	blown,big	inflated,disposable,adjustable
ballot box		empty	shown	empty	closed,blank				used	marked	archived		closed,packed,empty	
bamboo	edible	edible,green	green	tall,green		dense	poisonous	green	edible,poisonous,long	tall,edible,long	edible	planted	pretty	edible
banana	edible,eaten	edible,green	ripe,eaten	ripe,yellow,green		eaten,poisonous,ripe,edible	eaten,edible,poisonous	edible	edible,poisonous	edible,ripe,green	joyah,edible	ripe,edible,gone	edible	edible,ripe
banana peel	edible,eaten	edible,eaten,white	visible	pictured	edible	eaten,edible	eaten,used,edible	edible	edible	peeled,edible	edible,acidic	ripe,edible	edible	edible,eaten
banana split	used,eaten		complete	over		true			edible	edible	acidic		done	
bandage	clean	torn,removed	visible				removed		visible	removable	barbed	worn	tight	disposable,sterile
bandanna		red		red,black	dead	sung,singing					evalle,jaenelle,joyah	my	pretty	embroidered
banjo	played,used		perfect		welcome	broken	used,played	used	played,used		joyah,mastered	my		playable
bank	closed	accredited	saying	broke	investigating	bankrupt	active,defunct		profitable		joyah,bankrupt	concerned	closed	bankrupt,profitable,regulated
banner		white,red									reprinted,reproduced	posted		
barbed wire	used,removed	used,electrified	broken	visible,there	broken	electrified	barbed	electrified	broken		barbed,reinforced,electrified	barbed,electrified	there	
barbell	broken	used	loaded,broken	heavy	ringing,swinging	ringing			used	used	adjustable		loud	weighted,adjustable
barcode	valid	unique	shown					used	shown		unicode	encoded		scanned
bark	smooth,white		white,soft			smooth	white,smooth,edible	white,smooth,brown	smooth	hairy,smooth	deciduous	dense	edible,thick	edible
barnacle		edible	dead	dead	dead,broken,ours	dead	preserved			edible			alive,dead	edible
barrel		long,straight	full,empty	full,empty,loaded	empty,loaded	hollow	long,round	long	empty,long	empty,long	rated,adjustable	covered	flat	tapered,stainless,polished
barrette		ornamental,flat		adjustable			named		edible	long	barbed,adjustable			adjustable
baseball	played,used		broken	perfect,broken	yours	illegal	listed,played		used	red	joyah,evalle	funny,good,gone	good	
baseball bat		used		pictured,broken	mine,broken	available	listed	used,available	used	used	joyah,rated	funny,a	big	cocked,adjustable,handy
baseball glove		plastic		red,black	broken,removable	worn		worn	used	used	adjustable			disposable,adjustable
basil	edible	poisonous,edible,green,cultivated	edible	here	edible	poisonous,edible	named,poisonous		edible,poisonous	edible,poisonous	edible,acidic	good	good,edible	edible,fragrant
basket	empty,broken	empty	full,complete,empty	empty	empty,overflowing	broken,empty			empty	empty	joyah,evalle	covered	empty,covered,packed	adjustable
basketball	played,used	played	broken	dead	yours	compulsory,played,competitive	played	used,played	used	spherical	joyah,evalle	playing	good	playable
basketball hoop	played,used	circular,basketball,spherical		broken	empty	used,played,available			used	tall	unlocked,joyah	a	big,covered	adjustable
bassinet	available,used	large	used	pictured	included	available		closed		available,used	koppen	a	pretty,covered	adjustable
bassoon	played,used	bass,brass	missing	unique	singing	optional	played	used						playable
bat				dead		flying,endangered	hooked				joyah,evalle	funny,flying,gone	dead,gone	cocked
bat				dead		flying,endangered	hooked				joyah,evalle	funny,flying,gone	dead,gone	cocked
bathmat	used		clean	removable	waterproof	available			removable,waterproof	removable,heated	furnished,adjustable	a	covered	
bathrobe		long,optional	complete	white	yours,removable	worn	navigable		worn,removable	white	joyah,evalle	edible		
bathtub	clean	empty,large	full,empty,clean	full,empty	empty	accessible,empty	used,water			heated,deep	furnished,electrified	my		
baton	used	used		broken	mine,yours	worn				used	mastered	used,electrified	blown	passed,thrown,exchanged
baton	used	used		broken	mine,yours	worn				used	mastered	used,electrified	blown	passed,thrown,exchanged
baton	used	used		broken	mine,yours	worn				used	mastered	used,electrified	blown	passed,thrown,exchanged
baton	used	used		broken	mine,yours	worn				used	mastered	used,electrified	blown	passed,thrown,exchanged
batter	out	out				clear				known,named	lucivar,evalle,joyah			
battery	charged	charged	full	removable,dead,charged	removable	charged,electrified		electrified	removable,full	charged,removable		available	dead	charged,adjustable
bazooka		amphibious	here	loaded	dead	endangered	included	used,motorized	edible,poisonous		joyah,twinned	a	dead	useless,cocked
beachball	played,used				ready		played		used	spherical,used	joyah,evalle	a,gone	good,done	adjustable
bead				broken	broken	broken			transparent		encrypted			
beaker				full,empty,broken	dead,yours		hooked,long				adjustable	a	sealed,empty,covered	
bean	edible	edible,green,white	cooked	cooked,green,black	dead	edible,poisonous	edible,poisonous	edible	edible,poisonous	edible	joyah,edible	edible	edible	edible,ripe,eaten
beanbag	broken		loaded		yours	eaten,edible	available,sold	used	broken,used	removable,padded	adjustable	a,my		adjustable
beanie					dead	eaten,available	named,eaten,edible	worn		removable	joyah,evalle	a,gone	dead	cute
bear		extinct	dead		dead	dead,endangered	named	white	named	endangered	joyah,evalle	afraid,a,gone	dead	
beard		long,white,short	shaved,gone	white,long,grey	shaved	long	white	white,black	long	white,long	shaved	bald,shaved	big	
beaver	endangered		dead	dead	dead,yours	threatened,shy,endangered	migratory	endangered,present	named	known	joyah,evalle	gone,afraid,alive	alive,dead	extinct,gonna
bed	made	empty,comfortable	made,clean	made,comfortable,broken	empty,hers	broken,flat,empty			made	removable,adjustable,made	furnished,adjustable	my	pretty,covered	comfortable
bedpan				removable,broken	removable,empty	flat				removable,adjustable,used	adjustable	hot,adjustable,covered	covered	included,disposable,adjustable
bedpost	broken			broken	closed,empty	fixed,present				high	furnished	a,my		adjustable
bee	free			dead	dead		named,poisonous				joyah,happy,evalle	gone,allergic,alive	dead	poisonous
beehive			complete	dead	dead,yours						joyah,evalle		empty	buzzing
beer	alcoholic	bitter,cold,alcoholic	good	good,cold	cold	bitter,available,alcoholic	available,sold		alcoholic,bitter	brewed,alcoholic	joyah	brewing,good,delicious	good	
beet	edible	edible,white	green	red		edible	poisonous	edible	edible	edible,red,harvested	joyah,edible	edible	pretty	edible,eaten,poisonous
beetle	extinct	poisonous	poisonous,dead,named		dead	poisonous			known,poisonous,named			a,alive	alive,dead	
bell	ringing,broken	striking,ringing	ringing,sounding	ringing,silent	ticking,ringing	ringing,broken	cast,ringing		silent	struck		ringing	rang,ringing	vibrating,ringing,chimed
bell pepper		edible	cooked,edible	red,green		eaten,edible,poisonous	edible,poisonous	used	edible,poisonous	edible	edible	edible,spicy	good,edible	edible,spicy
belt		circular	removable	worn,broken	removable,worn		long,wide	closed,electrified	worn,removable	worn,adjustable,wide	adjustable	adjustable,worn	worn,tight	adjustable
belt buckle		circular,optional	visible,missing	visible	removable,included	worn,fastened	used,worn	adjustable			adjustable	adjustable,worn	clipped,worn,adjustable	adjustable
bench			bare,full,empty	full,empty	empty,full	empty			empty,full	full,numbered	joyah,evalle	covered	covered	weighted,adjustable,padded
berry	edible	edible,green,white	red	edible		cultivated,ripe,edible,poisonous	edible,poisonous	edible	edible	edible	milky,edible	edible	edible,poisonous	edible,poisonous
bib		red,black			yours,empty	complete			removable					adjustable
bike		mine		new	waterproof	available		motorized		sold,used	joyah,evalle	my	pretty	
bikini	optional	optional,white	removable	red,white,black		worn,optional	free		removable		joyah,evalle	my,wearing		cute
bin	empty,closed	open,empty	full,empty	full,empty	empty,overflowing	closed,empty	empty		empty	empty			packed,empty	emptied,empty,full,leaking
binder		binding,empty	broken		broken,empty	available	free			removable,used	labeled,encrypted	printed		
binoculars			included		waterproof	visible		used	waterproof,used	available,used	joyah,evalle	handy,available	clear	adjustable
bird		white,black	saying,dead,named	dead	dead	flying,endangered	mute,migratory	migratory	named,endangered	named,endangered	evalle	gone,alive	alive,dead	
birdbath	common		complete,empty	empty			migratory					a,gone	closed	
birdcage			complete	empty,open	dead		migratory			removable	characterized		packed	adjustable
birdhouse		open	complete	finished,complete,empty	empty,haunted	haunted		closed,open	named	tall,built	twinned,furnished	a	closed	finished
birthday cake					yours		included,available		edible	edible,baked,decorated		my	pretty	edible
biscuit	eaten	baked,edible,thin		edible	toast	eaten,edible	edible		edible	edible,baked	edible	good,edible,delicious	pretty	edible,cooked,baked
bison	endangered,hunted	extinct,endangered		pictured,dead	dead,starving	threatened,hunted,endangered		endangered,present	named	extinct,endangered	joyah,edible,evalle	hungry,gone,extinct	dead	extinct,hunted,endangered
blackberry	edible	edible,evergreen,cultivated			yours	edible,poisonous	available,edible,poisonous		edible		joyah,addictive,evalle	a,my		addictive
blanket	clean	warm		red		empty				removable,reversible	covered	covered,gone	pretty,covered	
blazer		white,black	white,black	black	waterproof	worn			black	reversible,black	rated,adjustable	a,gone	pretty	
blender	used	used	working			available	available,sold		used	used	plugged,patented,adjustable	compatible		adjustable
blimp		flying	pictured		dead,flying				named	long	joyah,lucivar,evalle	a,gone	dead	towed,flown
blind	allowed	blind,deaf	blind	deaf,blind	blind,deaf	blind,impaired	free,deaf,impaired,blind	allowed,blind	deaf,blind	deaf,blind,stupid	blind,joyah,afraid	blind,blinded	blind,handicapped	blinded,blind
blinder	used	blind	broken		broken	blind	deaf,blind		used	used,available	plugged,adjustable	broken,gone		gone
blindfold	used	removed				worn,visible	blind		worn	removable,adjustable	adjustable	worn	tight	removed,undone
block	inhabited	empty	complete		complete				named					encrypted
blouse	white	white,red,blue	reversible,white	white			white	white		fitted,white	adjustable,embroidered	wearing,cute	pretty	embroidered
blower	fixed				dead	available,blown	used	used	used	removable,adjustable,used	electrified,plugged,adjustable	leaking,adjustable,fired		adjustable
blowfish	edible		edible,dead	pictured,harmless,endangered	edible,dead	poisonous,edible,endangered	edible,migratory	edible	edible,poisonous	edible	joyah,evalle	gone		gonna
blowgun	loaded,available,used				dead,yours	automatic,available,loaded	fired,used	used		used		used,fired	loaded,lethal,used	adjustable
blowtorch	used		used		broken,dead	hollow	used	used,adjustable	used	used	plugged,adjustable	used	handy	electrified
blueberry	edible	edible,green		ripe,red		edible,poisonous	edible,poisonous	edible	edible	edible,poisonous	joyah,edible	a,gone	edible,pretty	edible
boa			dead	pictured,endangered	dead,welcome	endangered				edible,extinct,long,large	joyah,twinned,edible,evalle		dead	coiled,swollen
boar		human	dead	dead	dead	wild,endangered	territorial		killed		joyah,evalle	feral	eaten	edible,eaten
board	elected,open	elected,empty	independent,unanimous,elected	unanimous	closed,investigating	elected	active,elected	elected	elected,named			concerned	elected	
board game	played					played	played	free	published	playable,available	joyah,multiplayer,playable	downloadable,playable		playable,downloadable
boat		empty	sinking	overloaded	sinking	listed,sailing			named	long	joyah,towed,evalle	sailing		towed
bobsled	used				dead,yours	easy,downhill	used		competitive,long	fast,built	joyah,evalle			
bok choy	played,used	Chinese,Korean		edible		sung			edible,known,used	edible	joyah	a		edible,spicy
bolo tie		used	shown	reversible	optional	worn,used	used				twinned	shown	worn	adjustable
bologna			delicious						edible	edible,cooked	twinned		good	
bolt	fixed	open,fixed	missing,broken	threaded,broken	broken	loaded,fixed	used,fixed	locked	broken		electrified,adjustable	adjustable	short	cocked,adjustable
bomb	destroyed	dead,here	found		detonated		dropped,destroyed,detonated	destroyed,detonated	detonated,found	detonated,radioactive	exploding,destroyed	gone,destroyed		exploding
bone	smooth	hollow	intact,broken	visible,fractured,broken	broken,healed	broken			preserved	broken,long	barbed,fractured	broken	broken	fractured,swollen
bongo	used		dead	dead	dead	sung	navigable		named	black,extinct,endangered	joyah,evalle		loud	playable,adjustable
bonnet		white,red,black			dead	worn	white	black	removable,long		adjustable,embroidered	painted	worn,covered	adjustable
bonsai	used			finished,dead	dead,yours			available	edible,poisonous	edible,sold		a	pretty	edible
book	complete,lost	published		complete		complete		complete,published		published,available	republished,reprinted,downloadable	my,written		
bookmark			mine		mine,empty					removable				
bookshelf	open	empty	empty,clean	empty	empty	empty,available		open,covered			furnished,housed	my,a	packed,empty,covered	stacked,adjustable
boomerang	used	flying	dead		dead	flying,available		used	used	spherical	joyah,evalle	a	happening,dead	adjustable
boot	removed		loaded,ready	complete,locked	unlocked,loaded		used		removable				worn,tight	adjustable
bottle	broken,sealed,empty	empty	full,empty	sealed,empty,broken	sealed,empty	broken,sealed,empty	empty	clear	empty	sealed,empty	evalle	leaking,edible,gone	full,empty	stainless
bottle opener	available,used	used		pictured,included	removable,included			used	included,used	removable,included	plugged,adjustable	handy,available	handy	adjustable
boulder	buried,broken	dead,there,empty			mine	clear			visible	tall,high,large	barbed,joyah	gone	big,dead	gone
bouquet		simple	full,complete,finished	perfect	yours,hers			white		edible	furnished	beautiful,lovely	beautiful	enclosed
bow	used	long,straight	used	adjustable,broken	tied,yours	bent			long	long,curved,adjustable	adjustable	painted,worn	broken,short	adjustable
bow	used	long,straight	used	adjustable,broken	tied,yours	bent			long	long,curved,adjustable	adjustable	painted,worn	broken,short	adjustable
bow	used	long,straight	used	adjustable,broken	tied,yours	bent			long	long,curved,adjustable	adjustable	painted,worn	broken,short	adjustable
bowl	empty	round,hollow,empty	full,empty,clean	empty	empty	empty	played			empty	joyah	empty,edible,gone	empty,covered	blackened,stainless,adjustable
bowler hat				required	optional	worn,used	worn	worn	worn	worn,used		fashionable,wearing,worn		adjustable
bowling ball	bowled	spherical	broken	round	spinning	used,bowled	played,bowled		used		bowling,bowled,joyah		there	adjustable
bowtie			optional		optional	worn		used	worn		adjustable	a,gone	tight	embroidered,adjustable
box	sealed	open,empty,closed	empty	empty	empty	empty		closed	numbered	empty	encrypted	empty	packed	enclosed,sealed
boxer shorts				pictured	optional	worn,available	included,listed	used		available	adjustable	wearing	sexy,good	
boxing gloves		popular	used	pictured		illegal	used,worn	used,worn	used	used	evalle,easy		done	adjustable
boy	dead	dead	dead,named		dead,crying	dead	married	dead	named	white	joyah,lucivar,evalle	a,cute	dead	asleep
bra		elastic,optional,white		adjustable,padded	waterproof,removable	worn			removable,adjustable	removable,adjustable,reversible	adjustable	wearing	tight	adjustable
brace	broken		removable	removable,adjustable	removable		used,fixed		removable,adjustable	removable,adjustable	adjustable	adjustable,worn	tight	disposable,adjustable
bracelet				adjustable	removable	broken	gold	worn		reversible,removable		my	pretty	adjustable
bracelet				adjustable	removable	broken	gold	worn		reversible,removable		my	pretty	adjustable
bracket	used,shown	empty,used	complete	complete	complete	shown,symmetric,linear					adjustable	shown	adjustable	adjustable
braid	long,smooth	long	long			smooth		long	long	long	barbed,adjustable,woven	woven	thick	adjustable
brake	fitted,used		on	on	locked		used,applied	adjustable	used	applied,adjustable	adjustable	adjustable		adjustable
branch		long	complete	empty	closed			named,navigable		connected,closed,long	twinned	called		
brass knuckles		used	visible,missing		removable	broken	used		visible	worn,used		used	done	
bread	baked	baked,good	ready	broken,stale,good,sweet	baked	baked	baked,bread	baked	edible	baked	thicker,thou	thicker,bread	good	
breadbox			empty,open		yours,empty	empty			empty	edible,available	joyah,furnished	a,empty,gone	packed,empty	
breadstick	used		edible	edible,flat,broken		hollow,broken	used	used	edible,cooked	edible	joyah	thicker,edible	covered	edible,adjustable
breakfast	served	free,good	good		ready	served,pleasant	served	served,free	eaten,served	included,served	joyah	my	packed	included,served
breathalyzer	used		working,used	accurate	working,recommended	patented,available		used,available	used	portable,available	plugged,adjustable			defective
brick		white,red		red,broken	broken		plastered			red	barbed	paved,broken	broken,gone	broken
briefcase	empty	open,empty	empty	empty,open	included	empty	sealed			removable,empty	unlocked,encrypted,evalle	unlocked,handy,gone	packed	empty,unlocked
broccoli	edible	edible,eaten	cooked,edible	edible,green		edible,poisonous	edible		edible,cooked	edible	edible,delicious	edible,spicy		edible,spicy,cooked
brooch		gold	mine	gold	mine,yours	worn	edible			gold	thicker,edible	gone		engraved
broom	used,broken	used	broken	broken	broken,yours,clean	broken	edible,poisonous	edible			barbed,joyah,evalle	handy,gone	dead	handy,cocked
brownie				brown	yours	yours,gone	named		edible	brown,edible	joyah,milky,evalle	gone	good	edible
brush	clean	thick	clean		dry	smooth		deciduous		tall,dry	barbed,adjustable,easy	handy,gone	dirty	adjustable
brussels sprouts		edible	done		edible	poisonous,edible			edible	edible,used	edible,spicy,delicious	good	good	edible,spicy,cooked
bubble	broken,empty,closed	empty	bursting,burst	over,bursting	bursting	infinite,empty		empty	bursting		bursting,joyah,evalle	broken,empty,gone	bursting	popping
bubble wrap				broken		transparent,available	used	transparent	transparent,removable	edible,removable	adjustable	thicker	covered	disposable
bucket	full,empty	full,empty	full,empty	full,empty	empty,overflowing	empty	filled,empty	empty	empty,full	removable,empty	joyah,evalle	empty,gone	down,full,empty	full,empty
buckle	worn			broken	waterproof,removable	worn	worn	worn		removable,adjustable	adjustable	broken,worn,unlocked,adjustable	worn,adjustable	adjustable
buffet		free,optional		over		eaten	served,buffet		open,served	served	joyah	a	packed	buffet
bug		human	known,fixed	fixed	fixed,patched,resolved			endemic	stable,known	fixed,known	solved,evalle	solved	dead,gone	fixed
buggy			loaded	broken		easy,available,uncommon	poisonous	used			joyah,evalle	a,gone		movable,adjustable,navigable
bull	dead,killed			dead	dead	dead			pregnant,dead		lucivar,evalle,joyah	afraid,gone	dead	dead
bulldozer	used	portable		moving,here		available	named	used		used	joyah,evalle	gone		
bullet	lethal,fired,fatal	fired,loaded,empty	fatal	round	fatal	fired,lethal,loaded	fired	fired	fatal,lethal	round	sharpened,barbed	fired,gone	dead,flown	radioactive
bulletin board				complete	closed	available	published	free		available	archived,downloadable,furnished	a		
bulletproof vest			removable,included	pictured	waterproof,removable	worn,available	worn		worn,removable,waterproof	removable	adjustable	included,worn	worn,covered	adjustable,optional
bumper				broken		clear			removable	removable	adjustable			adjustable
bun		edible,round,white		flat	yours	eaten	open		edible	edible,baked	barbed,joyah		edible	edible,baked
bungee	fixed,used	used	broken	broken					broken,used	adjustable,used	joyah	a		hooked,adjustable
bunkbed		bare,empty	complete,empty,clean		empty	empty,available				removable,adjustable	furnished	a	covered	comfortable,adjustable
buoy	closed	floating,empty		there	sinking	fixed	named				electrified		covered	towed,adjustable
burner	used	hot	on	on	dead,burning	fired,electrified		electric		removable,adjustable	plugged,adjustable	gone,electrified,fired		activated
burrito	served,eaten					eaten	named	italian	edible	vegetarian,served	joyah,delicious	good,delicious		edible,spicy
bus	available		full	empty		accessible,available		free		long	joyah	waiting,parked	packed,coming,waiting	
bush		dead,green	growing	moving,dead	burning	dense,edible	threatened	dense		tall	evalle	saying,afraid,gone	dead	warming,burning
butter	used		melted	melted	melted	available,edible	butter		edible	melted,clarified	milky,fried	good	good	melted,softened
butterfly		green	male		dead		migratory		named,known,endangered			a	alive,dead	
button	pressed	depressed,pressed,pushed	disabled		disabled	pressed	pressed	black			dialed	there	closed	
button	pressed	depressed,pressed,pushed	disabled		disabled	pressed	pressed	black			dialed	there	closed	
cabbage	edible,eaten	edible,green	cooked,green	red,edible	edible,cooked	eaten,poisonous,edible	edible		edible	edible,poisonous	fried,edible,spicy	edible,delicious	edible	edible,cooked
cabinet	elected,dissolved	empty	full	complete		empty	ceremonial	formed	elected,named		furnished,adjustable	concerned,furnished	packed,covered	stainless,adjustable
cable	electrified		attached	cut,broken		electrified	free	available,free,electrified		long	electrified,plugged,adjustable	leaking,adjustable	broken	adjustable
cactus	edible,poisonous	edible,green		dead	dead	poisonous,edible	named,edible,poisonous	edible,poisonous	edible	edible,known,poisonous	edible	growing,gone	edible,pretty,poisonous	edible,poisonous
cage	locked,empty,closed	open,empty	empty,locked	open,empty,locked	empty,locked,closed	electrified,closed,empty	open		closed,empty	open,empty	barbed,enclosed,adjustable	unlocked,broken,open	closed,tight	broken,unlocked
cake	baked				baked	baked	baked	baked	edible	edible,baked,decorated	edible	cake,gone	pretty	edible
cake mix					perfect	available	used				edible	baking,delicious	pretty	edible
calamari	used	extinct	over	here	over			cultivated	known,named	edible	twinned,koppen	spicy,delicious	good	spicy,cooked
calculator		simple	working			portable		used		available	downloadable,rated	available		
calf	born	born	dead,named	hungry,dead	dead,pregnant	dead	born		born	born	joyah	pregnant,hungry,born	strong	slaughtered,alive
calf	born	born	dead,named	hungry,dead	dead,pregnant	dead	born		born	born	joyah	pregnant,hungry,born	strong	slaughtered,alive
calzone		defined	stable,defined						defined	defined	twinned	a	covered	edible
camcorder	used	portable	working		removable,included	available			removable	used		available	adjustable	adjustable
camel	dead			dead	dead	dead,threatened,gone,endangered	killed		named		joyah,evalle	gone	dead	thirsty
camera lens	fixed	fixed	fixed	clear,broken	removable	fixed	fixed	adjustable,fixed	fixed,used	fixed,interchangeable	scanned,adjustable	adjustable	adjustable,flexible	disposable,adjustable
camera	fixed	moving	moving,active	broken	waterproof	fixed	fixed			removable,waterproof	scanned	funny		
camera	fixed	moving	moving,active	broken	waterproof	fixed	fixed			removable,waterproof	scanned	funny		
camper	available	empty		complete		available	named		named	available	joyah,evalle	a,gone	covered	
can	empty,used	full,empty	empty,open	empty,open	closed,open,overflowing	available	used	closed	edible,open	empty	edible	empty	empty	emptied,empty
can opener	available,used	used		broken	closed,yours	used,available		used,available	used,available	included,used	plugged,adjustable	handy,available		adjustable
candelabra	preserved		visible	lit,broken	edible	spherical	eaten,edible,poisonous				twinned	a		adjustable
