Word	BERT_base_common	BERT_large_common	RoBERTa_small_common	RoBERTa_large_common	DistilRoBERTa_common	DistilBERT_common	SqueezeBERT_common	MobileBERT_common	Longformer_base_common	Longformer_large_common	ALBERT_base_common	ALBERT_large_common	ALBERT_xlarge_common	ALBERT_xxlarge_common
boa											evalle			
boar			dead	dead			territorial				evalle			
board	elected	empty		unanimous		elected	elected,active	elected	elected			concerned		
board game	played						played					playable		playable
boat					sinking									towed
bobsled														
bok choy	used					sung			edible	edible	joyah			edible
bolo tie		used				worn								adjustable
bologna									edible		twinned			
bolt			broken								adjustable	adjustable		adjustable
bomb			found							radioactive,detonated		gone		
bone				broken	broken	broken				long			broken	swollen
bongo	used				dead	sung			named		joyah			playable
bonnet					dead	worn								adjustable
bonsai									edible					
book											reprinted	written		
bookmark										removable				
bookshelf		empty		empty		available					furnished	my	packed	
boomerang	used							used				a		adjustable
boot							used		removable					
bottle		empty	empty	empty		empty	empty		empty	empty			empty	stainless
bottle opener	used	used								included	adjustable		handy	
boulder	broken									large		gone	big	gone
bouquet			complete							edible		beautiful		
bow				broken	tied				long			worn	broken	adjustable
bow				broken	tied				long			worn	broken	adjustable
bow				broken	tied				long			worn	broken	adjustable
bowl		empty	empty	empty	empty	empty	played			empty	joyah	empty		adjustable
bowler hat					optional	worn			worn	worn		worn		adjustable
bowling ball					spinning	bowled					bowled			adjustable
bowtie					optional			used	worn					adjustable
box		empty	empty			empty				empty				
boxer shorts						worn	included			available			sexy	
boxing gloves									used					adjustable
boy					dead			dead			evalle			
bra		elastic			removable	worn				adjustable	adjustable			adjustable
brace			removable	adjustable	removable				removable	adjustable	adjustable	adjustable		adjustable
bracelet							gold			reversible		my		
bracelet							gold			reversible		my		
bracket	shown					symmetric,shown						shown		
braid			long										thick	
brake	used		on		locked				used		adjustable	adjustable		adjustable
branch			complete		closed									
brass knuckles		used					used			used				
bread				broken						baked				
breadbox			empty			empty			empty		joyah	empty	empty	
breadstick				broken		broken			edible	edible		edible		adjustable
breakfast	served	good					served				joyah		packed	
breathalyzer	used		working			available			used		plugged			
brick		white								red				
briefcase		empty	empty	empty		empty				removable		unlocked,gone		unlocked
broccoli		edible		green		edible			edible	edible				cooked
brooch		gold	mine		yours	worn	edible			gold				
broom					broken	broken					joyah	gone		
brownie						gone				edible		gone		edible
brush										tall		gone		adjustable
brussels sprouts						edible			edible					
bubble		empty	bursting	bursting	bursting	infinite			bursting		bursting,evalle	gone		
bubble wrap											adjustable		covered	
bucket	empty	empty	empty	empty	overflowing	empty			empty	empty	joyah	empty	empty	empty
buckle					removable	worn				adjustable	adjustable	adjustable	worn	
buffet		free									joyah		packed	
bug				fixed	fixed			endemic	known	fixed			dead	fixed
buggy			loaded								evalle			navigable
bull						dead					evalle		dead	
bulldozer								used			joyah,evalle	gone		
bullet	fatal	fired	fatal			fired		fired	fatal					
bulletin board					closed	available	published							
bulletproof vest			removable		removable				removable	removable	adjustable	worn	covered,worn	adjustable
bumper											adjustable			
bun		edible					open		edible	edible,baked	joyah			edible
bungee										used				adjustable
bunkbed		empty								removable	furnished		covered	adjustable
buoy		empty		there		fixed	named							towed
burner					burning					removable	plugged	gone		
burrito										vegetarian	joyah			
bus														
bush		green			burning	dense	threatened	dense			evalle	gone		burning
butter	used		melted	melted						melted	milky			melted
butterfly					dead		migratory		named			a		
button	pressed	pressed	disabled			pressed	pressed							
button	pressed	pressed	disabled			pressed	pressed							
cabbage							edible		edible	edible				edible
cabinet	elected										furnished	furnished		stainless
cable	electrified			broken		electrified				long	adjustable	leaking		adjustable
cactus		green,edible			dead						edible			edible
cage		empty				empty					adjustable		tight	unlocked
cake														
cake mix							used							
calamari		extinct	over		over					edible				
calculator						portable								
calf	born			dead			born			born	joyah	pregnant		slaughtered
calf	born			dead			born			born	joyah	pregnant		slaughtered
calzone		defined	stable						defined					
camcorder	used	portable			removable	available								
camel				dead	dead				named			gone	dead	
camera lens	fixed			clear	removable	fixed		adjustable		interchangeable		adjustable	adjustable	adjustable
camera	fixed	moving			waterproof		fixed			waterproof				
camera	fixed	moving			waterproof		fixed			waterproof				
camper										available	evalle	gone		
can	used	empty	empty	empty						empty		empty	empty	empty
can opener	used	used						used	used	included	adjustable			adjustable
candelabra							poisonous					a		
candle	lit	lit	lit		burning	lit	lit	lit	lit	lit			lit	
candlestick			broken	broken	broken		used				adjustable		empty	
candy									edible	edible				
candy bar						available	sold		edible	edible				empty
candy cane	used	candy						used		edible	edible			edible
cane			broken							long	joyah			adjustable
canister	empty	empty	empty	empty		empty	used			empty		empty		
cannon				loaded			fired					fired		cocked
cannonball	fired	fired	fired			fired	used	used	fired	spherical	evalle			
canoe										long	joyah			navigable
cantaloupe		edible				convex				edible			edible	edible
canvas		white	blank		blank						painted	painted		
cap											adjustable			
cape		white		red					removable	long	twinned			navigable
car											evalle			
car door		closed			locked	locked					unlocked	unlocked	unlocked,closed	unlocked
car seat		padded	removable		removable				removable	removable		adjustable		adjustable
caramel		white						edible	edible					
card			signed			valid	valid							
cardboard		white								removable		cardboard	pretty	
cardigan		white								reversible				
cardinal				dead			cardinal		named	cardinal				
carousel					closed			closed						
carriage						electrified								
carrot						eaten			edible	edible	joyah,carrot		there	
cart			loaded		loaded	empty							packed	
cash machine												unlocked		
cash register		open					listed							
cashew		edible		ripe		edible		edible		edible	joyah			edible
casserole										cooked				
cassette						available								
cat	dead	human			dead	dead			named		evalle		dead	
catapult						visible				used		used	closed	towed
caterpillar					edible				female,named					
catfish					dead		migratory		edible	edible	joyah		edible	
cauliflower		edible		pictured					edible	edible			edible	edible
caviar		edible							edible	edible				
cd player						available				available				
celery		used							edible	edible		edible		edible
cello					dead		played		long					
cellphone									encrypted				ringing	
cement mixer		portable		pictured		available	used	used	used					
centerpiece												a		
centrifuge				broken					used	used				adjustable
cereal										edible				edible
chain				broken		electrified				long		electrified		broken
chainsaw	used					broken		used			joyah			
chair		empty		broken	empty	empty					adjustable			adjustable
chalice													empty	
chalk			white							white				edible
chalkboard														
champagne		good				available					sparkling			
chandelier				broken							furnished			adjustable
chaps											joyah			
charcoal		black	burned							edible		charcoal	hot	
charger				included	removable	charged								included
chariot	used				dead	mounted	used				evalle		dead	
checkbook		empty	empty		yours	available			included			gone	closed	balanced
checkers		played						used	used					
cheese				melted			edible				milky			
cheeseburger						available					joyah			
cheesecake						eaten				edible,baked				
cheetah		endangered						present			evalle			
cherry		red	ripe	ripe		ripe	edible		edible	edible	joyah	cherry		ripe
chess piece							played							
chessboard					broken		played							
chest				open		empty			visible		bulging	swollen		swollen
chest				open		empty			visible		bulging	swollen		swollen
chick					pregnant	hungry		pregnant			evalle		pretty	
chicken wire		thin,edible						used	used	used	barbed	barbed		adjustable
chicken			cooked	dead			eaten			edible,cooked	joyah			cooked
chicken			cooked	dead			eaten			edible,cooked	joyah			cooked
chickpea									edible	edible	joyah	edible	edible	edible
chihuahua							chihuahua		named		evalle			
chili						eaten	edible		spicy	hot,spicy	spicy			spicy
chime	heard					repeated								
chimney		high		broken										
chin				visible							shaved	swollen		
chinaware	used								present					
chinchilla		long												
chip								patented			encrypted			
chipmunk		human	dead		dead	hungry			named				dead	
chips									used		joyah			
chisel		used		broken	broken	broken						gone		sharpened,adjustable
chive									edible	edible	twinned,evalle			
chocolate							chocolate	chocolate		white				
chopsticks	used			broken			used	used	used		joyah			adjustable
christmas card						available			included					
christmas tree									named	lit				decorated
chute				open	broken			navigable	long		adjustable		closed	adjustable
cigar	smoked					smoking		smoked	long				smoking	
cigarette				lit	smoking	smoking	smoked	smoked		lit		smoking	smoking	smoking
cigarette butt						smoking								edible
cigarette holder										removable			smoking	
cilantro		edible							edible,present	edible	edible			spicy
cinnamon		sweet				sweet	edible							spicy
clam		edible	dead			edible				edible	joyah	alive		edible
clarinet	used			pictured					used		mastered			
clasp			closed	adjustable		worn					adjustable		adjustable	adjustable
clay		black	solid											
cleat				broken		broken	edible						adjustable	adjustable
cleaver		used	used	sharp	yours			used		used				adjustable
clipboard														
clipper							included							adjustable
clipper							included							adjustable
cloak				black						black		worn	worn	
clock			ticking		ticking								closing	
closet		empty	empty	empty		empty		empty	empty		unlocked	empty,closet	packed	empty
clothes				clean						made				
clothesline													covered	
clothespin							used				joyah			adjustable
cloud		there				clear					evalle	gone		invisible
clove		edible					edible			edible		edible	edible	edible
clover		edible							edible		edible	gone		edible
coal		black				mined	mined					coal		
coaster								haunted	named	long				adjustable
coat		simple		black	waterproof		white				adjustable		worn	
coat rack											adjustable		covered	adjustable
cobra		poisonous	dead				poisonous				evalle	a		
cockatoo									endangered		evalle		dead	
cockroach	eaten			dead	dead	poisonous			poisonous			edible	dead	
cocktail	alcoholic									alcoholic				
coconut		edible		ripe			edible		edible	edible	edible			edible
cocoon				complete,empty										
coffee													good	boiling
coffee bean				black			edible	edible	edible	edible	edible			edible
coffee filter					removable	used	used							
coffee pot					empty	empty					plugged			
coffee table	empty		clean		empty	empty					furnished	a		adjustable
coffeemaker									used		joyah			
coffin		empty	empty	empty	sealed	empty				closed			empty	empty
coil											adjustable			
coin	struck			gold		struck								engraved
coleslaw					yours									
collar		white		removable	removable	worn				adjustable	adjustable			adjustable
column					satire									
comb				broken							barbed			adjustable
combination lock	used	universal					used							adjustable
comic book							published	published			reprinted			
compass		accurate		accurate	broken									adjustable
compost		organic		organic	edible	available				edible		edible,compost		
computer				broken										
computer screen						transparent					scanned			blinking
confetti				falling						edible				
contact lens					removable	fixed		adjustable	used			adjustable	adjustable	disposable
container	empty	empty	empty			empty		sealed	sealed					
cooker											plugged			stainless
cookie						broken			edible					
cookie cutter	used					available		used	used			handy		adjustable
cookie sheet											encrypted			
cooler	empty										plugged			adjustable
coop	empty		complete				open						closed	empty
copier					dead					available		gone		
coral							edible	white			acidic			edible
cord			cut	cut					long	cut		electrified,broken		adjustable
cordon bleu	used		complete									a		compulsory
cork		hollow				hollow	cork				adjustable			
corkboard			broken							removable			closed	
corkscrew	used			broken						used		a		adjustable
corn	eaten	edible		ripe			edible		edible	edible,harvested	edible	edible,growing		edible
cornbread		edible								baked				
cornhusk								used	edible		twinned	a		
cornmeal		edible		crushed					edible,present	edible	edible			
cornucopia			complete	over								gone	empty	
corsage						worn							worn	
corset		elastic		optional	removable	worn								adjustable
costume			complete											
cot			empty			empty						a	covered	adjustable
cotton candy									edible	edible	edible	edible		
couch		comfortable				empty						my		
cougar		endangered	dead					endangered	named		evalle	a		
counter		empty			empty			closed						adjustable
coverall		black								removable				adjustable
cow			dead	dead	dead			white		pregnant	joyah,evalle		dead	
coyote		endangered					coyote		endangered		evalle			
crab		edible					edible	edible		edible	joyah			edible
cracker									used	edible	joyah,evalle	gone	edible	edible
cranberry		edible					edible		edible	edible		edible,gone		edible
crane													dead	
crank	used			broken						adjustable	adjustable	adjustable		adjustable
crate		empty	empty	empty						empty			packed	
crayfish		edible			dead				edible	edible	joyah		dead	edible
crayon				red										
cream		white												
cream cheese				melted										melted
credit card			charged		insured	valid	valid			accepted			covered	encrypted
creme brulee	used							used	edible		joyah			
crepe									edible	edible				
crib			complete		empty	empty					adjustable,furnished			adjustable
croissant							eaten			edible				
cross				visible										
crossbow	used						used	used						
crouton										edible	twinned			playable
crow						gone	crow					gone		
crowbar		used			empty	broken								
crown					yours									gilded
crucifix				broken	sacred							a		
cruise ship				pictured					named					
crumb			broken			eaten				edible,broken	joyah	crumb	edible	
crutch				broken		broken		used	used	used	joyah			
crystal ball				broken		spherical				spherical				
crystal			transparent	broken			transparent							translucent
crystal			transparent	broken			transparent							translucent
cuckoo clock					ticking							a,cuckoo	dead	ringing
cucumber	used			ripe			edible	edible	edible	edible	edible	edible	edible	edible
cufflink										adjustable			worn	
cummerbund					dead						twinned	a		compulsory
cup		empty	empty	empty	empty	empty				empty				empty
cupcake									edible	edible			pretty	
curb										high		parked,paved	closed	
curling iron	used				melting				used	used		used		
curry								spicy	spicy	spicy	spicy			spicy
curtain			drawn	drawn	drawn		closed			drawn			closed	
cushion				removable	removable						adjustable			
cutting board			used								adjustable			adjustable
cymbal		played		broken		used							broken	adjustable
dagger				sharp							joyah,evalle	gone		
daisy		green										gone		edible
dalmatian		extinct			dead				defined					
dandelion					edible			edible	edible	edible				
dart							poisonous						short	adjustable
dartboard	used											a		
dashboard														
deer		extinct								killed	joyah		dead	
defibrillator	functional	portable				activated		used	used			used		activated
denture				broken										adjustable
deodorant								used	toxic					
desk	empty	empty		empty	empty	empty							covered,pretty	adjustable
dessert										served	joyah			
detonator										removable		used		
dial											dialed	dialed,adjustable		adjustable
diamond	rare				mine	broken				cut		diamond		
diaper						clean	named		removable	removable			covered	adjustable
dice				broken	rolling									rolled
dip				significant,over										
dirt bike												a		
dish						cooked			edible	vegetarian				
dishrag	used	empty							used					
dishwasher		portable	running								plugged	empty		
dishwashing liquid			diluted				used	clear	diluted		acidic			
diskette			complete											
diving board				pictured									covered	navigable,adjustable
dog	dead		dead		dead,barking	dead					evalle		dead	
dogfood			good					used		edible	joyah	good		
doghouse			complete	empty		haunted						haunted		empty
doily	printed								complete		joyah,evalle	a		embroidered
doll			named						named	female	evalle		dead	
dollhouse			complete		haunted	haunted	haunted				evalle	a		
dolly							named		named			gone		
dolphin			dead	pictured	dead		named		named	endangered	evalle			
domino	used		falling	falling	falling							gone		
donkey			dead		dead	dead			named		joyah,evalle		dead	
donut	eaten				toast					edible	joyah			
door	locked		locked	locked		locked			locked		unlocked	unlocked	closed	unlocked
doorbell	ringing	ringing	ringing	ringing	ringing	ringing					ringing	ringing	ringing	ringing
doorhandle					locked	broken				removable		broken		adjustable
doorknob				broken					broken	removable	unlocked	unlocked		unlocked
doorknocker			dead					used	named		plugged	handy	here	
doormat							locked							
doorstop										removable				
dough	baked		soft				baked		soft					
dragonfly		winged		pictured	dead	poisonous						a	dead	
drain	closed		blocked	blocked	overflowing	clear				open	plugged			
drawer			empty		empty	empty					unlocked		empty	adjustable
dreidel	used		dead		dead							a		
dress		white							long					
dresser										adjustable		my		
drill		over	complete						complete	long		done		
drink	alcoholic			alcoholic		alcoholic		recommended	alcoholic	alcoholic				
drum		played		broken			played							playable
drumstick				broken	broken		used				joyah			adjustable
dryer	used					dry			used		plugged	handy		
duck			dead	dead	dead				named	edible,white	joyah,evalle	gone	dead	
duckling		endangered	dead						named	born	joyah		dead	
duct	closed							closed		long	adjustable	formed		leaking
duct tape		used								removable	adjustable	used		
duffel bag												gone	covered	
dumbbell	broken			heavy			played	used			joyah			adjustable
dumbwaiter											joyah	a	dead	enabled
dumpling		edible							edible	edible	joyah			edible
dumpster		empty				empty					joyah		empty	empty
duster					over				waterproof			handy		adjustable
dustpan		empty									adjustable,plugged	gone		
dynamite												dynamite		dynamite
eagle										endangered	evalle	gone,eagle		
ear				visible	pierced									
earplug				removable	removable				removable	removable	adjustable			adjustable
earring		gold			removable					removable	adjustable			
earwig						hollow								edible
easel						painted							covered	adjustable
easter egg							eaten							
eclair										edible		a		
eel			dead		dead				named					poisonous
egg				broken				white						
egg roll										edible		edible		
eggbeater				broken			eaten		edible,named	used	evalle			
eggnog		edible							edible	alcoholic		edible		
eggplant	edible	edible		edible	edible	edible	edible		edible	edible	edible	edible	edible	
eggshell					edible	edible						gone		translucent
elbow	bent	swollen									flexed	swollen		flexed
electric chair	used									used	adjustable			addictive
elephant			dead	dead		dead	elephant		named		evalle		dead	
emerald				gold			poisonous				evalle	sapphire	beautiful	
enchilada			complete		over					edible,cooked				
engine			running											
envelope	sealed	empty		sealed	sealed	symmetric		transparent	sealed	sealed	encrypted	printed	sealed	sealed
eraser	used									used,removable		used		adjustable
espresso						available			cold	good			good	
exerciser	blind				recommended				named	portable				
exhaust pipe		straight								long				
extinguisher									used					adjustable
eye													closed	
eye patch										removable				
eyedropper	dead								edible			adjustable		adjustable
eyeliner		black									adjustable			
eyepiece						fixed								adjustable
face											evalle			
face mask			removable	removable	removable	worn			removable	removable				
fan	dead									adjustable	joyah			
fast food						available			available		joyah	good		
faucet			on		closed						plugged	leaking		leaking
feather								black		long				
fence		electrified		there						high	barbed	barbed		
fencepost	broken			broken							electrified,barbed	a		
fern	poisonous	green,edible				poisonous	edible				deciduous			edible
ferret									named		evalle			
ferris wheel	used										twinned,available			
ferry														navigable
fig		green,edible				edible			edible	edible				edible
figurine	preserved						edible		named					engraved
file					encrypted				encrypted		archived			
file					encrypted				encrypted		archived			
filing cabinet			complete		empty	available				removable	furnished		covered	adjustable
film	lost										archived			
filter						linear								enabled
finger			broken	broken	pointing					long				
fingerprint		unique		unique	visible	visible				unique				
fire			contained			burning	extinguished		extinguished	extinguished	crackling			
fire alarm	sounded	audible			activated	activated			activated	activated		activated	ringing	ringing
fire hydrant					damaged									visible
fire pit					empty	empty								
firecracker	used				dead					edible	joyah,evalle	gone		
fireplace		cold			lit						furnished			
firetruck	dead											parked		
firewood	used						edible		edible			edible		
fireworks								used			evalle,happening			deafening
first-aid kit					available	available	available		available			available		
fish			dead		dead		migratory	edible		edible	joyah			edible
fishbowl				empty		available	migratory			empty	evalle		empty	empty
fishhook			attached						used		joyah			adjustable
fishing pole		long	attached							long				adjustable
fishnet stockings				pictured		available		used	used					
flag				red	flying									
flagpole				tall						tall				adjustable
flamethrower	used							used						
flamingo											joyah,evalle	a	dead	
flan									long		encrypted			
flashbulb						available,visible								
flashlight					shining							handy		adjustable
flask	empty	empty	empty	empty		empty,sealed				empty			empty	
flatiron											adjustable			
flip-flop	used								reversible	flat				latched
flipper											joyah			adjustable
float														adjustable
floss							named				adjustable			
flour		white										flour		
flower		white			edible								beautiful	
flute				broken	dead	mute				played	sung			adjustable
fly	free			dead	dead	free						flying	dead	
flypaper														
flyswatter												electrified		
foam		white	thick		waterproof									
folder	empty	empty			empty	empty								
fondue									edible	edible	edible			
food processor							available		used					
foot										long				
football	played					competitive	played		used				good	
football helmet				pictured	removable	worn	worn		worn					adjustable
footbath								used						
footprint					shrinking							visible		
footrest		padded		adjustable						adjustable	adjustable	adjustable	adjustable	adjustable
fork		long												
forklift									used			used		
fossil									known					
fountain pen	used								used				used	adjustable
fox	threatened				dead						evalle			
frame			complete						complete					
freezer	closed	cold	full		empty	available,frozen	frozen						packed	
french fries	served	French				served,eaten		available			joyah			
french horn	used	French						used	used					playable
frisbee								used			evalle			adjustable
frog			dead	dead	dead				named		evalle	a	dead	
fruit	edible	edible	edible	ripe		edible		edible	edible			edible		edible
fruitcake							edible		edible	edible				
fudge									edible	edible	joyah			
fungus		edible			contagious,poisonous	edible	edible	edible	known	edible	fungal	poisonous	poisonous	poisonous
funnel					closed									adjustable
fur coat	white	white						white	long		adjustable			worn
furnace					burning						plugged			
fuse			lit	lit	lit		used					electrified	lit	blown
gallows				empty		empty								
game														playable
garbage							collected			collected,recycled	joyah			
garbage truck						loaded	used							
gargoyle					dead				named	tall	evalle	a	dead	
garlic		edible					poisonous	used	edible	edible				
garter					dead	worn					joyah			
gas mask							used			removable		used		
gasket		broken	closed	broken	empty	sealed			closed	sealed,removable	adjustable	sealed,broken	blown	adjustable
gate	closed		locked	locked		open		closed					closed	unlocked
gauge					accurate		electrified					adjustable		
gauze		white	wet											disposable
gavel		used								used	evalle	gone		cocked
gazelle			dead	endangered					named	endangered	joyah,evalle	a		
gear					waterproof									adjustable
gearshift					removable			adjustable					adjustable	adjustable
gel	toxic								stable					
gem													gone	
generator					working	linear					plugged			
gift	free										joyah			
ginger		edible					edible		edible	edible				spicy
gingerbread man						dead		dead	dead	edible	joyah			
giraffe					endangered				endangered	endangered	koppen		dead	
girl					crying						evalle		pretty	
glass				broken	broken	broken		clear	transparent	clear	stained	stained	empty	broken
glasses			broken											adjustable
globe		empty										gone		
glove													tight	
glue	used		solid											
go-kart						illegal							different	
goalpost	used				empty	fixed				tall				crossed
goat			dead		dead	dead			named		evalle		dead	
goblet				empty	yours								empty	
goggles			removable		waterproof									adjustable
gold		gold								silver	joyah,evalle			worthless
goldfish				dead				edible	edible	edible	joyah			alive
golf cart	used					available		available			rated	a		
golf club							open				twinned		closed	
gondola										long	twinned			
gong		hollow		ringing	yours									ringing
goose			dead	dead	dead					endangered	evalle	gone	dead	
gopher		human	dead		dead	dead	named		named		evalle	gone		
gorilla		human	dead						named		evalle			
gourd		edible				eaten			edible	edible				edible
graffiti														
grain						edible								ripe
gramophone	used							used	used					playable
granite					granite			white				granite		
granola		edible		vegan						edible		swollen		
grape		white	ripe	ripe					edible					
grapefruit		edible				edible		edible	edible	edible	edible	edible	edible	edible
grapevine		green				edible	cultivated					a		
grass		green	green	green					green	green		green	green,tall	green
grasshopper		winged			dead							edible		
grate				broken		hollow					adjustable	electrified		adjustable
grater					dead					removable				adjustable
gravel											barbed	slippery		
gravestone		inscribed				inscribed					excavated			
gravy		cooked	good		gravy									
green beans	eaten						edible		edible		joyah			
grenade								explosive		reusable		fired	dropped	
grill							open			removable		hot		adjustable
grille											joyah			adjustable
grinder	working					available			used		adjustable,plugged			adjustable
grits											joyah			
groundhog								used	named	extinct			dead	
guacamole	eaten								edible		edible			
guardrail						electrified		electrified						adjustable
guillotine										used	evalle	a		
guinea pig		human								edible	evalle	a,vegetarian		edible
guitar							played							
gum	edible	edible			edible		edible		edible					edible
gumball									edible	edible	joyah,evalle	edible,gone		
gumdrop				edible						edible		edible		edible
gun		loaded		loaded	loaded				loaded					
gurney		empty				empty					plugged			adjustable
gutter		empty	empty								electrified,plugged			
gyro														adjustable
gyroscope	used				waterproof				used	used				adjustable
hail			heavy	heavy						heavy		coming	coming	
hair		white	long					white,black	long	long	shaved	curly		curly
hairbrush	used				waterproof					used	adjustable			adjustable
hairdryer							named		used		adjustable			
hairnet												a		adjustable
hairpin										removable	joyah,evalle			adjustable
hairspray						visible			used		adjustable			addictive
ham	eaten					eaten				edible,cooked	joyah			
hamburger		meat		cooked		eaten	sold			cooked	joyah			
hammer	used	heavy			broken	broken				broken	joyah			
hammock			empty	adjustable			used				furnished	a		adjustable
hamster			dead						named		joyah			
hand					trembling		free							movable
