Word	BERT_base_common	BERT_large_common	RoBERTa_small_common	RoBERTa_large_common	DistilRoBERTa_common	DistilBERT_common	SqueezeBERT_common	MobileBERT_common	Longformer_base_common	Longformer_large_common	ALBERT_base_common	ALBERT_large_common	ALBERT_xlarge_common	ALBERT_xxlarge_common
airplane	flying,destroyed,lost,damaged	real,flying	moving,flying,empty,damaged	flying,destroyed,empty,damaged	grounded,safe,damaged,flying	electrified,available,flown,empty,flying,listed	empty,unmanned,destroyed	flying,unmanned		known	electrified,flown,monoplane,flying,joyah,evalle,twinned	gone,going,a,flown,here,flying	packed,flown,moving,closing,closed,parked,flying	towed,unmanned,flown,crashing,parked,flying,wrecked,crashed
album	certified,complete	released,complete,remastered	numbered,released,complete	available,complete	finished,complete,released,forthcoming	complete,titled	remastered,produced	remastered,released,recorded,finished,titled,complete	numbered,titled,complete,named,released	available,known,titled,numbered,complete,released	archived,reprinted,credited,remastered,reissued,released,unreleased	playable,titled,available,recorded,reissued,downloadable,released,unreleased,unavailable	unsigned	uploaded,remixed,unreleased,remastered,downloadable
alligator	endangered,threatened	large,big	named,male,dead	scared,dead,hungry	pregnant,dead,endangered	aggressive,threatened,active,endangered,hooked,poisonous	poisonous,migratory	endangered,poisonous,blind	male,endangered,named,known	common,known,extinct,rare,endangered,large,edible	endangered,alive,lucivar,joyah,evalle,barbed	gone,hungry,a,afraid,extinct,alive	there,here,dead,alive,scary	cute,edible,alive,poisonous,endangered,gonna,extinct,scary,venomous
almond	edible,sweet,eaten,rare	important,white,edible,eaten,green,cultivated	edible,white,broken,red,eaten	bitter,ripe,pictured,crushed,edible,black,sweet	edible,ripe,sweet	eaten,edible,abundant,bitter,ripe,sweet,poisonous	almond,edible,sweet,bitter,eaten,poisonous	edible,sweet,black,white	hollow,poisonous,long,small,spherical,edible	roasted,poisonous,black,edible	almond,milky,acidic,joyah,aromatic,edible	almond,delicious,sweet,organic,ripe,aromatic,melted,edible	edible,good,sweet	ripe,edible,boiled,poisonous,tasted,eaten,spicy,cooked
aloe	toxic,edible,poisonous	edible,endangered,large,aquatic,amphibious	edible,present,strong,bitter,toxic,here,poisonous	edible,green,sterile,bitter,red,poisonous	welcome,sacred,dead,mine,yours,gone,ours	edible,abundant,threatened,endemic,endangered,present,barren,poisonous	edible,named,widespread,poisonous	edible,poisonous,hardy	toxic,known,edible,poisonous	toxic,known,poisonous,sterile,edible	milky,fungal,acidic,infectious,poisonous,aromatic,edible,medicinal	cultivated,abundant,fertile,natural,organic,edible	edible,nice,poisonous,pretty	edible,poisonous,addictive,sticky,acidic,medicinal,spicy
alpaca	poisonous,edible	small,hairy,extinct,white,edible,endangered,large	present,pregnant,white,male,pictured,dead	pictured,white,pregnant,fat	dead,endangered,ours	toxic,eaten,edible,threatened,endemic,endangered,poisonous	named	endemic,endangered,vegetarian,extinct	known,extinct,poisonous,endangered,named,long,edible	common,known,extinct,tall,endangered,edible,long	characterised,koppen,characterized,found,morphological,twinned	vegetarian,a,endangered,born,called,fertile,extinct,edible	beautiful,edible	edible,vegetarian,poisonous,exported,endemic,endangered,extinct
altar		high,set,full,bare,empty,there	marked,covered,finished,complete,high	finished,complete,ready,broken,covered,empty,here	empty,sacred,destroyed,illuminated,lit	decorated,empty,illuminated,closed	high,decorated	covered,painted	broken,marked,high	built,raised,high,lit,decorated	furnished,decorated	a,consecrated,holy,empty,buried,sacred,decorated	tall,empty,beautiful,unfinished	empty,destroyed,consecrated,sacred,holy,ready
aluminum foil	aluminum,transparent,plastic	used,flexible,transparent,thin,strong,thick	melted,used	transparent,used,removable	removable,transparent,sealed,melted,coated,aluminum	available,used,flexible,transparent	cast,aluminum,aluminium,used	metallic,translucent,used,clear,transparent	transparent,solid,removable,used	transparent,thin,used,recycled,removable	stainless,sealed,included,corrugated,adjustable	opaque,stainless,aluminum,transparent,used	opaque,optional,transparent,thin,thick,disposable,covered,solid	edible,stained,disposable,recycled
amber	toxic,preserved,edible,rare	green,amber,orange,red,white,blue,gold,black,yellow	preserved,clear,white,red	clear,red,there,blue,black	edible,visible,melting	clear,poisonous	white,amber,edible,poisonous	red,white,blue,green,black,brown	known,radioactive,preserved	red,clear	milky,acidic,joyah,evalle,aromatic,edible	opaque,greenish,amber,bluish	clear,pretty	opaque,dried,yellowish,edible,stained,translucent,poisonous,milky
ambulance	available,destroyed,operational	coming,ready,here,there	running,there	moving,there	loaded,responding	charged,available,needed,operational,required,staffed	staffed,needed,operational,available,provided,called,deployed	free,staffed,used,available	operational,damaged,used	used,equipped,operational,long	going,coming,waiting,ringing	urgent,arriving,coming	packed,there,ready,here,waiting,parked,coming	ready,waiting,coming
amplifier	portable	used	defective,included,used	working,broken	removable,waterproof,defective,functional	electrified,available,symmetrical,continuous,linear	controlled,automatic,used,active	electric,electronic,used,wired,electrified	active,silent,used	used,connected,adjustable,powered,removable	electrified,rated,mastered,plugged,adjustable	used,encoded,shown	adjustable,electrified,electric	activated,enabled,adjustable,configured
anchor	used,broken,fixed,lost	available	moving,missing,dead,broken	weak,lost,sinking,there,broken,here,dead	dead	clear,stationary,fixed,listed	located,fixed,vertical		broken,attached,visible,removed	broken,fixed,used	electrified,inserted,barbed,adjustable	gone,sunk	there,here,dead,gone	hoisted,clipped,anchored,adjustable,weighted
ankle	broken,bent,swollen,damaged	weak,broken,bent,swollen,damaged,free,strong	attached,stable,injured,infected,broken,swollen,fractured	visible,injured,twisted,broken,swollen,bent,damaged,fractured	healed,swollen,broken,damaged,injured,sore	bent,twisted,weak,broken,crooked	broken,removed,injured	broken,affected,damaged	broken,normal,visible,attached,damaged,affected	broken,fractured,rotated,swollen,exposed	broken,sore,ligament,swollen,bulging,bruised,bleeding	bleeding,damaged,broken,injured,swollen	swollen,broken,healed,damaged,hurting	swollen,curved,arched,cupped,rotated,flexed,pierced,bony
anklet		long,gold,worn,flat,optional	wearing,broken,visible,removable,worn	black,worn	removable,waterproof,reversible,worn,hers	bent,broken,crooked,worn	used,broken,removed	worn	visible,removable,transparent,attached,missing,worn	worn,adjustable,removable	joyah,evalle,easy,barbed	gone,visible,done,true,covered,broken	done,broken,closed,worn,covered	engraved,stainless,adjustable
ant	poisonous	alive,white,beautiful,male,large,human	named,male,dead,eaten,poisonous	here,hungry,alive,angry,dead	free,dead,harmless,afraid,yours	free,dead,hungry,edible,poisonous	solitary,poisonous,named	migratory,similar,nocturnal	known,female,poisonous,named	eaten,long	transcribed,evalle,encoded,encrypted,solved	gone,a,gonna,alive	missing,dead,fat,sick,alive,hungry	scared,hungry,thirsty,sentient,greedy
anteater		widespread	dead,saying	here,endangered,pictured,dead	empty,vacant,finished,closed,haunted	threatened,dead,endangered,extinct,shy,mute	poisonous,sterile	endemic,endangered,present	male,known,called,named	known,extinct,tall,endangered,large,edible	joyah,evalle,poisonous,lucivar	vegetarian,gone,hungry,a,afraid,allergic,crazy	dead,funny,alive,there,here	edible,playable,poisonous,mammalian,endemic,uncommon,endangered,monotypic,migratory,extinct,venomous
antelope	territorial,terrestrial	endangered,large,small	seen,named,here,male,dead	here,small,endangered,pictured,dead,large	pregnant,dead,extinct,endangered	endangered,extinct,mute	threatened,poisonous,migratory,extinct	endangered,extinct,threatened,nocturnal,migratory,present	male,known,female,extinct,endangered,named	common,known,extinct,endangered,large	endangered,joyah,evalle,poisonous,characterized,barbed,edible	gone,hungry,endangered,alive	small,dead,edible,different,eaten,alive,hungry	edible,hunted,endangered,migratory,extinct
antenna	fixed,hooked,pointed	round,cylindrical,circular,mobile	missing,attached,mounted,intact	small,broken,visible,fixed,pictured,shown	removable,damaged,transmitting,functional	spherical,linear	directional,located,vertical	directional,fixed,active	long	fixed,high,long	electrified,plugged,shown,rated,encrypted,adjustable	electrified,detected,located,raised,shown	small,adjustable,large,strong,used	adjustable,installed
anvil	broken,damaged,removed,destroyed,empty	round,used,heavy	broken,empty,dead,used,ready	moving,finished,ready,there,destroyed,broken,empty,here	dead,broken,mine,yours,useless,silent	empty,hollow,broken	edible,poisonous,hardy		active,long,used	long,high,used	inserted,sharpened,barbed,adjustable	defined,a,used	closed,empty,broken	broken,heavy,molten,wrought,crushed,cocked
appetizer	cooked,eaten,served,free	red,cooked,edible,served,optional	delicious,served	served		included,available,offered,recommended,optional		vegetarian	available,listed,vegetarian,served,included	vegetarian,served,edible,included	optional,included,edible	vegetarian,delicious,a,spicy,homemade,edible	simple	spicy,edible
apple	poisonous,edible,eaten	apple,eaten,green,red,edible,sweet,fruit	ripe,dead,red,eaten,free	green,ripe,red,ready,perfect,sweet,brown,dead	dead,mine,ripe,yours,edible,rotten	eaten,apple,edible,bitter,ripe,sweet,poisonous	edible,named,poisonous,eaten	green,edible,white,blue	poisonous,red,eaten,edible	ripe,poisonous,green,black,sweet,brown,red,eaten,edible	gone,hungry,happy,ringing,ripe,joyah,evalle,eaten,edible	gone,broken,ripe,rotten,growing,edible	dead,broken,gone,sweet,rotten,there,pretty	ripe,edible,bitten,poisonous,poisoned,eaten,rotten,gone
apple tree	preserved,poisonous	edible,apple,extinct,evergreen,green,ancient	full,growing,dead	ripe,growing,dead,old,falling	alive,falling,dead,growing,dying,broken,edible	planted,apple,edible,poisonous	edible,named,grown,cultivated,poisonous	green	extinct,large,endangered,growing,named,present	common,uncommon,tall,endemic,edible	joyah,planted,edible,twinned	grown,gone,a,my,growing	empty,dead,huge,alive,big	rotting,ripe,alive,planted,dead,gone,extinct
applesauce	edible,clear	edible	good,white,finished	sweet,vegan,good	edible,toast,delicious,mine,sweet	eaten,available,clear,sweet,dry,edible	edible,named,eaten,available,harvested,sold	used,sold	white,cooked,produced,used,edible	sold,sweet,fermented,acidic,available,made,used,edible	delicious,milky,spicy,ripe,fried,joyah,aromatic,edible	gone,delicious,hot,good,edible	good,edible,pretty	edible,addictive,sticky,delicious,spicy
apron	closed	green,red,white,long,empty,open	reversible,complete,finished,worn	white,adjustable,optional,removable,worn	removable,optional,hers,mine,yours	empty,electrified,clear	worn,fixed	open,painted	worn,removable,reversible	worn,fitted,reversible	painted,woven,embroidered,adjustable	done,worn,cute,covered,embroidered	tight,worn,covered,pretty	adjustable,embroidered,disposable,folded
aquarium	protected,closed,open	small,empty,full,large,open	full,empty,complete,large	empty,complete,interactive,free	closed,flooded	free,protected,available	located,closed,open,operational	closed,accessible,open,public,maintained	listed,open,included,named,closed,accessible	open,operated,automated	rated,open,closed,twinned	haunted,a,located	huge,packed	open,accessible,electrified,navigable
arch	closed	high,broken,round,circular,flat,straight	complete,high,visible	circular,finished,visible,complete,round,square,broken	preserved,visible,empty,pictured,located	curved,hollow,arched,straight	named	broken	wide,tall,visible,long	broken,square,high,tall,round,long	convex,enlarged,excavated,symmetrical,concave,adjustable	symmetrical,a,built	closed,broken,tall,large	conical,concave,curved,arched,adjustable,symmetrical,surmounted,octagonal
arm	raised,broken,bent,extended	long,dead,broken,strong	straight,extended,long,bent,missing,injured,broken,severed,shown	extended,visible,weak,bent,broken,raised,severed	healed,paralyzed,broken,severed,damaged	free,bent,weak,outstretched,broken,crooked,strong	free,long	extended,symmetrical,curved,muscular,raised	broken,extended,missing,shown,used,long	broken,extended,raised,curved,visible,bent,long,preserved	inserted,enlarged,flexed,outstretched,severed,rotated,adjustable	enlarged,shaped,defined,swollen	strong,broken	curved,cocked,hooked,rotated,flexed,adjustable,outstretched,movable,flexible
armor	unique,new	heavy,armored,strong,white,black,thick	white,black,removable,worn	reinforced,heavy,transparent,solid,removable	removable,transparent,worn,waterproof	strong,armored	fixed,protected,removed,armored	heavy,metallic,black	thick,black,removable,transparent,worn	thick,transparent,reinforced	thicker,reinforced,enhanced,joyah,sturdy,padded,evalle,barbed,adjustable	thicker,armored,armoured,sturdy,heavy,worn,armor	good,heavy,sturdy,thick,strong,worn,solid	sturdy,heavy,adjustable,translucent,armoured,armored
arrow	broken,struck,lost,fired	drawn,directed,fired,shot,released,aimed,straight	missing,marked,drawn,broken,shown	moving,straight,drawn,red,pointed,pointing,there	empty,marked,visible,pointing,shown,vertical,horizontal	pointed,hollow,drawn,straight,shown	straight,shot,missing,fired	fired,visible,shot	broken,missing,pointed,marked,drawn,long	broken,pointed,raised,curved,bent,drawn,long,red	inserted,crossed,scanned,inverted,shown	gone,sharp,fired,shown	crossed,sharp	weighted,adjustable,rotated,movable,cocked
artichoke	used,edible,poisonous,eaten	edible,extinct,eaten,green,vegetable	edible,eaten,poisonous,cooked	edible,delicious,green,dead	welcome,dead,mine,yours,ours	eaten,available,threatened,endangered,edible,poisonous	listed,named,used,included,represented,present	used,present	toxic,known,poisonous,eaten,radioactive,edible	common,poisonous,green,edible,cultivated	delicious,milky,joyah,spicy,characterized,aromatic,edible	a	edible,good,nice,pretty	edible,juicy,eaten,delicious,spicy,cooked
arugula	absent,present,smooth	poisonous,edible,extinct,yellow,aquatic	preserved,present,long,visible,formed	edible,green,ripe,sweet	dead,growing,visible,extinct,poisonous,contagious	spherical,smooth,endemic,present,convex,absent,poisonous	long	navigable,bilingual	known,present,long	known,poisonous,edible,cultivated	koppen,extinct,morphological,twinned	called,a,covered	ripe,edible,good,covered,eaten	edible,fragrant,spicy,aromatic,cooked
ashtray		consecrated,used,empty	clean,missing,broken,full,empty	clear,broken,full,empty	empty,dead,burning,mine,yours,ready,ours	available,recited,broken	empty,consumed,true,eternal,evil,poisonous	lit,used	empty	clear,provided,removable,empty,used,covered	electrified,preserved,excavated,twinned,barbed,intact	edible	empty,lit,packed,finished,filled,closed,covered,hot	empty,adjustable,handy
asparagus	absent,present	green,cultivated,vegetable,edible	edible,preserved,eaten,cooked	edible,green,growing,here	eaten,cooked,edible,poisonous,rotten	edible,threatened,endemic,endangered,present,absent,poisonous	edible,poisonous	edible,poisonous,eaten,vegetarian	cooked,poisonous,edible,long,eaten,preserved	common,known,widespread,poisonous,invasive,edible,cultivated	koppen,characterized,endangered,edible	grown,delicious,spicy,cultivated,produced,eaten,edible	thick,edible,good,eaten	edible,boiled,juicy,fragrant,spicy,cooked
avocado	used,edible,eaten	small,green,orange,white,edible,fruit	ripe,dead,toast	green,ripe,red,delicious,perfect,brown	edible,toast,delicious,mine,ripe	sweet,eaten,available,edible	scored	edible,used,eaten,vegetarian	poisonous,eaten,edible,white	harvested,ripe,consumed,used,green,edible	delicious,milky,spicy,acidic,juicy,ripe,aromatic,edible	a,organic,known,eaten	ripe,edible,good,pretty	ripe,edible,juicy,eaten,delicious,spicy
awning	closed,covered,open	green,red,white,long,yellow	open,visible,complete,intact,broken,damaged	there,broken	finished,mine,yours	empty,broken,clear,present		open,covered	open,visible,covered	enclosed,removable,covered	sturdy,covered,symmetrical,barbed,intact	stained,gone,painted,done,covered,broken,there	sacred,covered,done,there,pretty	adjustable
axe	used,broken	used,sharp,heavy,needed	missing,broken,used	here,red,broken,swinging,dropped,falling,sharp	theirs,dead,broken,mine,yours,sharp,hers,ours	available,bent,dead,broken	carried,lost,used,removed,cut,fired,present	engraved,used	broken,long	sharp,broken,long,used,red,adjustable	barbed,joyah,reversed	electrified,a,sharpened,used	empty,dropped,swinging,thrown,sharp,falling,dead,broken,down,gone	heavy,wrought,thrown,cocked,broken,sharpened
baby	born,adopted,pregnant,lost,dead,healthy	alive,born,crying,dead,healthy	alive,here,crying,dead	healthy,alive,born,crying,dead	crying,alive,dead,safe,born,sleeping	dead,born,dying,pregnant,crying,yours,ours,healthy,gone	born,married,healthy,dead,pregnant,delivered	pregnant,born	healthy,named,born,dead	fat,healthy,alive,born,dead	cute,allergic,waiting,evalle,doing,joyah,happy,asleep	gone,my,pregnant,born,sleeping,happy,asleep	dead,sick,crying,sleeping,asleep	alright,okay,hurting,alive,asleep
backdrop	white,flat	black	clear,perfect	beautiful,clear	bleak,clear,familiar,changing	clear	clear	white,black	clear	black,white	painted,decorated	beautiful,perfect,that	beautiful,pretty,just	
backgammon	used,played,common,popular	the,played,popular	good,easy,ready	done,over,simple	welcome,finished,dead,mine,yours	easy,true,trivial,possible,impossible,optional,uncommon		used,played	easy,known,played,used,competitive,difficult	won,played,used	archived,lexical,encrypted,downloadable,twinned	there,a,that	free,just	playable
backpack	gone,broken,empty,clean,open	heavy,empty,loaded,full,open	empty,heavy,mine	empty,padded,heavy,removable	loaded,locked,removable,waterproof	empty,available,free,clear	free,used,full,available,complete,portable	heavy,open,empty,missing	waterproof,empty,removable	waterproof,padded,reusable,removable,reversible,adjustable	joyah,padded,evalle,packed,adjustable	gone,covered,my,packed,handy,heavy,mine	packed,pretty,big,included,gone,covered	downloadable,adjustable
backscratcher		used	dead,complete,broken	available,working,complete,free	finished,dead,mine,yours	easy,shown	named,shown,used,included,depicted	used	used,included	active,known,used	afraid,joyah,happy,evalle	gone,true,a,saying,afraid,gonna	dead,done,here	
bacon	cured,eaten,cooked,used,edible,fried	warm,delicious,hot,cooked,cold,bacon,fried,good	crisp,gone,cooked,done,good,crispy	delicious,good,gone,optional,here,cooked	cooked,dead,yours,toast,cured,crispy	eaten,available,cooked,fat,edible,boiled	consumed,good,eaten,cooked,bacon,fried	cooked,fried,used,smoked	cooked,smoked,crispy,crisp,used,eaten,edible	cooked,smoked,fried,crispy,baked,cured,used,included	milky,good,fried,joyah,bacon,edible	delicious,good,cooked,fried,bacon,edible	good,nice,pretty,awful	edible,spicy,juicy,greasy
badge	blue,identical	circular,gold,silver,inscribed	signed,displayed,pictured,mine,shown,worn	unique,yours	mine,displayed,worn	identical,worn		worn	inscribed,worn,signed	awarded,worn,unique,on,reversible,removable	encrypted,unlocked,spelled,downloadable	optional,valid,shown	numbered,framed,marked	downloadable
badger		endangered,large,small,human	hungry,dead	there,here,dead	hungry,dead,yours	threatened,dead,endangered,shy,mute	migratory,hardy,territorial	endangered,edible,present	dead,killed,named	common,known,extinct,rare,endangered,large,edible	allergic,lucivar,joyah,evalle,barbed	gone,hungry,a,allergic,scared,alive,afraid	dead,crazy,alive,hungry,here	thirsty,hungry,gonna,alive,greedy
bag	full,broken,locked,empty,clean,sealed	gone,heavy,closed,empty,full,open	clean,heavy,full,empty,packed,mine	clear,heavy,empty,open	empty,locked,waterproof,sealed,loaded	free,open,sealed,packed,available,empty,gone	packed,empty,edible,free,sealed,full,sold	empty,plastic,sealed,closed,open	full,waterproof,empty,sealed,included	waterproof,reusable,open,reversible,removable,closed,empty	packed,filled,bulging,evalle,wrapped,sealed	gone,a,my,empty,packed,mine,edible,packing	empty,packed,sealed,loaded,closed,gone,covered	adjustable
bagel	eaten,edible	baked,thin,edible	good,empty,gone	round,broken,perfect,flat,baked	vegan,edible,mine,yours	eaten,edible,baked,available,ripe,cooked,sweet	used,sold,named,available	vegetarian	edible,long,included	sold,fried,cooked,vegan,edible,baked	milky,joyah,evalle,edible,twinned	gone,delicious,hot,a,my,edible	empty,good,pretty,eaten,big,gone,covered	edible,spicy,greasy,steamed,cooked,baked
bagpipe	performed,used,played	musical,ancient	missing,broken,damaged,cut,used,intact	dead,unique	empty,closed,broken,leaking	used,played,sung	played,performed,used	used,played	broken,hollow,long,used,short,vertical	played,used,related,long	electrified,rated,adjustable	electrified	dead,loud,here	played,playable,practised,worn,acoustic
baklava	used,worn	long,white,flat	delicious,good,cooked	delicious,perfect,sweet,vegan,good,cooked	dead,mine,yours,ready,ours	electrified,endangered,illegal,present	named	unique,used,played	known,edible,poisonous	cooked,popular,sweet,made,vegetarian,edible,baked	romanized,delicious,milky,spicy,aromatic,edible,twinned	edible,vegetarian,delicious,spicy	plain,good,edible,thick,pretty	edible,boiled,spicy,cooked,baked
balance beam	used	used,horizontal,symmetrical,vertical,symmetric	visible	moving,there,broken,perfect	moving,broken,visible,stationary,spinning	used,symmetric,stationary,optional,linear,balanced,fixed	fixed,adjustable	fixed,vertical,adjustable	adjustable,used	balanced,used	denoted,charged,illustrated,shown	adjustable,used,variable,measured,shown	adjustable	weighted,adjustable,electrified,movable
ball	played,broken,rolled,caught,lost,thrown	round,white,hard	gone,returned,over,lost,hit,played,dropped,thrown	moving,safe,thrown,red	falling,rolling,yours,gone,bouncing,dropped,spinning	charged,rolled,rolling,bowled,thrown,drawn	free,empty,played,thrown,bowled	shot,played,black	broken,played,hit,lost,used,dropped,released	hit,spherical,used,red,round,thrown	batted,bowled,bouncing,joyah,evalle,barbed,outstretched	gone,playing,flown,stuck,batted,broken,alive,played,flying,there	dead,down,gone,loose	playable,thrown,bowled,rolled,rolling,bouncing,caught
balloon	broken,lost,damaged,closed,destroyed,empty	hot,flying,empty,dead	full,empty,broken,inflated	inflated,broken,empty	empty,visible,inflated,leaking	hollow,empty,electrified,free	free,empty	unmanned	transparent,waterproof,empty,stable	inflated,spherical,long	electrified,inserted,enlarged,shown,compressed,encrypted,adjustable	gone,flying,flown,broken,edible	empty,large,huge,big,broken,blown,closed,gone,inflated,covered	capped,sealed,enclosed,folded,corrugated,blown,adjustable,disposable,inflated,flexible
ballot box	locked,used,closed,empty,open,located	closed,used,empty,blank,open,optional	shown,open,used	marked,locked,empty,open	empty,blank,yours,sealed,open,closed,ours	available,open,empty,displayed,valid	used,open,blank	closed	randomized,shown,used,open,included	open,marked,illuminated,used	archived,unlocked,open,listed	available,printed	numbered,empty,open,packed,listed,there,here,handy,closed	empty,unreliable,worthless,useless,unsafe
bamboo	poisonous,edible	green,evergreen,tall,red,white,long,edible,endangered,black	green,white,broken,growing,cut	green,growing,red,harvested,white,brown,dead,tall	bamboo,edible,growing,dry,broken	dense,hollow,edible,poisonous	bamboo,edible,poisonous,long	green,edible,hard,deciduous,white	poisonous,green,cut,edible,long	tall,green,edible,long	harvested,thicker,acidic,planted,cultivated,recycled,sturdy,aromatic,barbed,deciduous,edible	grown,cultivated,fertile,growing,planted,edible	edible,thin,covered,thick,pretty	dried,edible,translucent,poisonous,fragrant,harvested
banana	used,edible,poisonous,ripe,eaten	edible,fruit,eaten,green	white,broken,ripe,yellow,eaten	green,ripe,yellow,red,edible,black,brown	mine,ripe,yours,edible,toast	eaten,edible,ripe,boiled,poisonous	edible,sweet,eaten,poisonous,banana	green,edible,white	poisonous,eaten,edible,white	ripe,green,black,harvested,tall,red,edible	milky,ripe,joyah,eaten,edible	gone,delicious,good,mine,edible,ripe	edible,good,pretty,eaten	ripe,edible,peeled,eaten,spicy,cooked,baked
banana peel	eaten,edible	eaten,peeled,white,poisonous,edible,thin,yellow,hard	visible,removed,intact,missing,white,broken	edible,green,white,flat,pictured,yellow,red	edible,peeled,ripe	eaten,edible,available,used,ripe,cooked,poisonous	edible,used,eaten,available,poisonous	edible,white,translucent,green,hard	transparent,visible,edible,removable	white,peeled,preserved,edible	delicious,milky,spicy,easy,acidic,ripe,aromatic,edible	fresh,good,edible,ripe	edible,good,gone,pretty	edible,peeled,boiled,chewed,burnt,eaten,cooked
banana split	used,edible,eaten		done,broken,finished,pictured,complete,shown	real,over,complete,true,simple	finished,complete,over	possible,true,defined,broken	free,edible,used,eaten,present	disputed	broken,known,shown,used,visible,eaten,edible	popular,edible	conserved,characterized,acidic,edible	a,edible	easy,different,good,done	edible,addictive
bandage	clean,broken,removed	gone,broken,intact,tight,cut,removed,torn	clean,healing,visible,complete	white,broken,visible,tight,elastic,removed	visible,healed,worn,broken	clear,broken	broken,removed,free	clear,elastic	removable,worn,complete,visible,intact	worn,removable	barbed,worn,adjustable	gone,worn,covered,sterile,permanent,wearing	done,tight,worn,covered,sterile	disposable,glued,sterile,tightened,sticky
bandanna		red,black,silk,yellow	missing,black,worn	pink,black,white,visible,red	welcome,dead	dancing,singing,sung	sacred,worn	worn,closed	worn	worn,used,red,black,white,long	done,lucivar,kaladin,jaenelle,joyah,evalle	gone,a,my,pretty,her,wearing,embroidered	missing,worn,gone,done,pretty	adjustable,decorative,embroidered
banjo	played,unique,used,available,tuned	electrified,portable,musical,classical	good,dead,perfect	dead,new	welcome,perfect,yours	hollow,mute,simple,perfect,electrified,used,available,broken,uncommon	played,banjo,used,available,playing,plucked,active	electric,played,used	known,played,used	portable,played,used	banjo,joyah,mastered,sung,playable,evalle	gone,a,playing,funny,my,good,gonna	loud,here	played,funny,playable,acoustic,adjustable,invented
