Word	BERT_base_common	BERT_large_common	RoBERTa_small_common	RoBERTa_large_common	DistilRoBERTa_common	DistilBERT_common	SqueezeBERT_common	MobileBERT_common	Longformer_base_common	Longformer_large_common	ALBERT_base_common	ALBERT_large_common	ALBERT_xlarge_common	ALBERT_xxlarge_common
altar		high,empty	high	complete,finished,empty,broken	sacred,empty,illuminated	empty			high	raised,decorated,high	furnished	holy,consecrated,sacred	tall	holy,consecrated,sacred
aluminum foil	transparent,aluminum	transparent,thin	used,melted		removable	flexible,transparent	aluminium,aluminum,used	transparent		removable,used	corrugated	aluminum,stainless	transparent,covered,thin	recycled
amber	rare,preserved	red,yellow,amber,white,black	clear	clear,red	melting	clear	poisonous	black,white	radioactive		acidic,milky,joyah	bluish	clear	milky,translucent,edible
ambulance	available	here			loaded,responding	available	available,provided,staffed,operational	staffed,used	used,damaged	used,equipped	ringing,going,waiting	coming,arriving	ready,there,here,waiting,coming	ready,coming
amplifier			used	broken	waterproof,defective,removable	electrified,linear	active,used	electric	used,active	used	rated,mastered,electrified	encoded,used	adjustable	enabled,adjustable
anchor	broken,fixed			dead,broken	dead	fixed	fixed		attached,broken	used,broken	adjustable,inserted		gone,there	weighted,adjustable
ankle	swollen,bent	broken,strong,swollen	broken,swollen,fractured	broken,swollen,fractured	broken,swollen	bent,crooked,broken	broken	affected,broken	visible,broken,affected,attached	swollen,broken	sore,bruised,swollen	broken,swollen	broken,swollen	curved,cupped,flexed,swollen
anklet		worn	visible,worn	worn	worn,removable,waterproof	broken,worn	removed	worn	removable,worn	worn,adjustable,removable	evalle,joyah,barbed	visible,broken,gone	covered,broken,closed	adjustable
ant		male,alive	eaten,dead,named	dead,hungry	dead	dead,poisonous,free		nocturnal	named,known		encrypted	alive,gone,a	alive,dead	greedy,hungry
anteater			dead	pictured,dead	empty,haunted,closed	endangered	poisonous	present,endangered	named	extinct,known,endangered	evalle,lucivar,joyah	hungry,allergic,vegetarian,a	alive,here,dead	extinct,endangered,endemic,edible
antelope		large,endangered	dead,named	pictured,endangered	dead,endangered,extinct	extinct,endangered	poisonous,migratory	present,endangered	named,known	large,extinct,known	edible,characterized,joyah,evalle,endangered	alive,hungry,gone,endangered	eaten,dead,edible	extinct,endangered,edible
antenna		round,circular	attached	visible,broken	functional	spherical	directional,vertical	fixed	long	high	adjustable,electrified	located	small,adjustable	installed
anvil	destroyed,broken	heavy,used	dead,broken	finished,broken,here	dead,yours,mine	hollow,empty,broken	poisonous,edible		used	long	adjustable,sharpened,inserted,barbed	a	empty	molten
appetizer	served	served,optional	served			available,recommended,optional		vegetarian	served	served	included	delicious,vegetarian,spicy,a		spicy
apple	edible	green,eaten,edible	eaten,dead,ripe	red,ripe	ripe,edible,yours,rotten	edible,poisonous,bitter,ripe	eaten,edible	green,white	edible,eaten	edible,ripe,red,green	evalle,ripe,joyah,ringing	edible,ripe,gone	gone	ripe,rotten,eaten,edible
apple tree		evergreen,edible	growing	dead,growing,ripe	dead,growing,dying	edible,poisonous,apple	cultivated,edible		extinct,named,endangered	edible,tall	edible,twinned,joyah	gone,growing,a	huge,empty,dead	rotting,gone,dead
applesauce		edible	good	sweet	edible,delicious	eaten,edible	eaten,edible	used	edible	edible,sweet,sold,made,fermented	edible,delicious,milky,ripe,spicy,joyah	edible,delicious,good	good	sticky,spicy,edible
apron		white,empty	worn	optional,removable,worn	yours,mine	empty,clear	worn		worn	worn	embroidered	embroidered,worn	covered,tight	embroidered,adjustable
aquarium	closed,open	open,large,empty	complete		closed		open	open	named,open	open	twinned	located		navigable
arch		broken,circular,round	complete,visible	complete,round,broken		curved	named		long,wide	long,tall,round,high	concave,convex	symmetrical	closed,large	curved,arched,surmounted,symmetrical
arm	broken,bent	broken,long	extended,broken,missing	extended,visible,broken	broken,paralyzed,severed	strong,bent,crooked	free,long		missing	long,broken	severed,outstretched,flexed,inserted	enlarged,swollen	broken,strong	movable,rotated,flexed
armor		thick,heavy	black,removable,worn	heavy	removable,waterproof		armored	black	removable	transparent	evalle,sturdy,reinforced,joyah	armored,worn,heavy,armor	solid,thick,worn	armored
arrow	broken	aimed,fired,directed,shot,drawn	marked	there,drawn	pointing,horizontal,vertical,visible	pointed,straight,drawn	straight	fired,shot	long,drawn	drawn,broken,pointed	inserted	gone	crossed	movable,cocked,adjustable
artichoke	edible,eaten,poisonous	eaten,edible	edible,cooked	dead,edible	welcome,yours,dead	eaten,threatened,edible,poisonous	represented	used	edible,poisonous,radioactive	edible,poisonous	edible,joyah,aromatic	a	pretty,edible	cooked,spicy,edible
arugula	present	poisonous,edible	present,visible,formed	sweet,edible,ripe	poisonous,dead,contagious	present,poisonous,smooth		navigable	long	edible,cultivated,poisonous	twinned,koppen	a	covered,edible	spicy,edible
ashtray		consecrated,used	empty,broken,full	empty	empty,yours,mine		poisonous,empty,eternal		empty	removable,empty		edible	closed,empty	adjustable
asparagus	present	vegetable,cultivated,edible,green	eaten,cooked	growing,edible	edible,cooked,eaten	present,endemic,poisonous		poisonous,edible	edible,poisonous,eaten,cooked	edible,poisonous,common	edible	edible,delicious,grown,eaten	good,edible	cooked,spicy,edible
avocado	used	green,edible	toast	green,ripe	edible,toast	edible,available	scored	edible,eaten,used	edible,poisonous	edible,ripe,used,green	ripe,spicy,edible	eaten,a	edible	ripe,spicy,edible
awning	closed	red,white,long	complete,open,visible		finished				covered	removable	symmetrical,barbed	gone,covered,stained	sacred	adjustable
axe	broken,used	sharp,used	used,broken	falling,broken	broken,yours,theirs	available,broken	lost,cut,used	engraved,used	long,broken	long,used,broken	joyah	sharpened	broken,sharp,thrown	wrought,sharpened,cocked
baby	born,healthy,lost	healthy,born,dead	dead,alive,crying	dead,alive,crying	dead,crying	yours,born,gone	born,healthy,pregnant	born	born,named,dead	born,healthy	asleep,evalle,happy	pregnant,asleep	sick,crying	alive,alright,asleep,okay
backdrop			clear	clear	clear	clear	clear	black,white		white	painted	that,beautiful	pretty	
backgammon	played,used	popular,played	good	over	dead	uncommon,true		used	competitive,used,played	played	twinned,lexical	that,a	just	playable
backpack	gone,empty	empty,heavy,full	empty	heavy	removable,waterproof	empty,clear	available,free		removable,waterproof	removable,padded,adjustable,waterproof	evalle,adjustable,packed,joyah	my,gone,packed,handy	covered,packed	adjustable
backscratcher		used	dead	working,available	dead,yours		named	used	used	used,known	evalle,happy,joyah	gone,true,afraid,a	dead	
bacon	cooked,edible	cold,cooked,good	good,gone,crispy	gone,cooked	toast	eaten,fat,available	bacon,cooked,eaten	fried	smoked,cooked	crispy,cooked,smoked,fried	fried,good,joyah,bacon	delicious,good,bacon,cooked	awful,good	spicy
badge		circular,gold	mine	unique	worn			worn	inscribed,worn	worn,reversible	downloadable	valid	numbered	
badger		endangered	dead	dead,here	dead,yours	dead,endangered	hardy		killed,named,dead	extinct,common	evalle,joyah	gone,afraid,a	dead	hungry
bag	broken,empty,clean	empty,open,full,closed,heavy	heavy,full,empty	heavy,open,empty	empty,waterproof	sealed,empty	packed,empty	empty	sealed,waterproof,empty	empty,reusable,removable,waterproof	evalle,packed,sealed	my,mine,gone,empty,packed	empty,covered,packed,sealed	
bagel	eaten	baked		flat	edible	eaten,baked,edible,sweet		vegetarian	edible,included	edible,baked,sold	evalle,edible,joyah	edible,delicious,gone	empty,pretty	spicy,baked,edible
bagpipe	played,used	ancient,musical	broken	dead,unique	broken,empty	sung,played,used	played,used	used	long,used	long,played	adjustable,electrified	electrified	loud	playable,worn
baklava	used	white,long	delicious	good,sweet	yours,ours	endangered	named	used	edible,known	edible,baked,vegetarian,cooked	romanized,edible,delicious,spicy	edible,delicious	good	baked,cooked,spicy,edible
balance beam	used	vertical,horizontal	visible	there,broken	visible	balanced,used		adjustable	used,adjustable	used	charged	shown,variable,adjustable	adjustable	weighted,adjustable
ball	broken,caught,thrown		hit,returned,dropped	moving	bouncing,yours,rolling	thrown,bowled	bowled,played,thrown		lost,broken,hit,played	thrown,spherical,hit,red	bowled,outstretched,joyah	playing,flying,batted,gone	gone,loose	rolling,playable,caught,thrown
balloon	broken,destroyed,lost	hot,empty	empty,inflated	empty,inflated	empty,inflated	empty				inflated,spherical	adjustable,electrified	flying,flown	big,inflated,blown,closed	inflated,disposable,adjustable,capped,sealed
ballot box	closed,open,locked	open,empty	shown	open,empty	yours,blank,closed				used,open	open,marked	archived	printed	empty,listed,packed,closed	useless
bamboo	poisonous,edible	edible,white,green,black	green,broken,cut	tall,growing,green,dead	growing	edible,poisonous,dense	poisonous,bamboo,edible	green,edible	poisonous,long,edible	edible,long,tall,green	edible,acidic,cultivated,barbed	edible,planted	pretty,edible	dried,edible
banana	eaten,edible	green,edible	eaten,ripe	black,ripe,green,yellow	ripe,edible,mine	eaten,edible,poisonous,ripe	edible,poisonous,eaten	green,white,edible	edible,poisonous,eaten	edible,ripe,green	edible,milky,joyah	edible,ripe,gone	good,edible	ripe,peeled,eaten,edible
banana peel	eaten,edible	white,eaten,edible	visible	pictured,white	edible	eaten,available,used,cooked,edible	available,used,edible,eaten	green,edible	edible	edible,peeled	edible,easy,acidic	edible,ripe	good,edible	cooked,boiled,eaten,edible
banana split	eaten,edible,used		complete,pictured	over	complete	true,defined	used		edible,used,known	edible	edible,acidic,characterized	edible,a	done,different	addictive
bandage	clean	removed,torn	clean,visible	visible	visible	clear	removed	clear	visible,worn	removable,worn	adjustable,barbed	wearing,worn,permanent	tight,worn	sticky,glued,disposable,sterile
bandanna		red,black		white,black,red	welcome,dead	singing,sung	worn		worn	long,used	jaenelle,lucivar,kaladin,evalle,joyah	my,gone,a	done,pretty	embroidered,adjustable
banjo	available,played,used	musical	dead,perfect	dead	welcome	perfect,available,broken	playing,played,used	used	used,played	portable,played	mastered,evalle,sung,joyah	my,good		playable,adjustable,played
bank	closed,open	accredited	saying	broke	investigating	bankrupt,operational	independent,active,operational,defunct	owned,listed	closed,profitable	open	happy,joyah,bankrupt	concerned	closed	regulated,bankrupt,profitable
banner		red,white,yellow			welcome		flown				reprinted,reproduced,archived	posted		downloadable
barbed wire	used,removed,electrified	invisible,used,electrified	broken	there,visible	broken,secured	elastic,electrified,used	broken,barbed	barbed,electrified	broken	used,high	electrified,sharpened,reinforced,barbed	broken,barbed,electrified	there	electrified,scary
barbell	broken,ringing	musical,used	used,loaded,broken	heavy,loaded	ringing,swinging	ringing,broken	played,named	used	used	used	adjustable	gone,painted	big,broken,loud	weighted,adjustable
barcode	valid,used	unique	shown,displayed		displayed	valid		available,used	shown,used	used	unicode	defined,encoded		printed,scanned,encrypted
bark	smooth,white	thick,black	smooth,white,black,soft	brown,green	gone,barking	smooth,rough	smooth,white,edible	smooth,white,grey,brown	edible,smooth	thick,smooth,hairy	deciduous	dense,soft	covered,thick,edible	fragrant,edible
barnacle		edible	dead,here	dead	broken,dead,ours	dead,poisonous	preserved			edible,long,hairy			alive,dead	edible
barrel	closed	round,empty,straight,long	clean,empty,full	loaded,full,empty	loaded,empty,dry	hollow	round,long	straight,curved,long	long,empty	long,removable,empty	rated,adjustable,electrified	adjustable,covered	flat	tapered,polished,stainless,adjustable
barrette		ornamental,long,flat		adjustable	edible	hollow	named,listed		edible	long,adjustable	adjustable,barbed	visible	worn	engraved,adjustable
baseball	played,used	played	broken	perfect,broken	broken,yours	played,illegal	played,listed		used	spherical,red	evalle,alive,joyah	playing,good,gone,funny,a	good	
baseball bat	unique	used	pictured,shown	pictured,broken	broken,mine	bent,available	listed	available,used	used	long,used	rated,playable,joyah	funny,a	big	adjustable,handy,cocked
baseball glove		worn,plastic	pictured,shown	black,red	broken,yours,removable	worn	listed	worn	worn,used	used	adjustable,patented	used	big,tight	disposable,magnetic,adjustable
basil	edible	cultivated,edible,green,poisonous	edible,fresh	green,fresh,here	edible	eaten,threatened,edible,poisonous	poisonous,named		edible,poisonous	edible,poisonous	edible,acidic,spicy,aromatic	edible,good	good,edible	spicy,fragrant,edible
basket	broken,empty	round,empty,large	complete,full,empty	open,empty,broken,heavy,full	loaded,overflowing,empty	empty,broken	empty	used	empty	empty,heavy	evalle,furnished,joyah	numbered,gone,covered	empty,covered,packed	adjustable
basketball	played,used	played,basketball	broken	dead,perfect	yours	competitive,played,compulsory	played	played,used	used,played	spherical	evalle,defended,joyah	playing,good,gone,a	good	stolen,playable
basketball hoop	unique,played,used	spherical,circular,basketball,used	broken	round,broken	empty,broken	played,available,used	open,used		used	tall	adjustable,unlocked,joyah	a	covered,closed,big,large	playable,adjustable
bassinet	available,used	large,portable	complete,included,used,missing	pictured,new	included	available		closed,used	long	portable,available,used	characterized,koppen	gone,a	covered,pretty	padded,adjustable
bassoon	played,used	brass,bass	missing	pictured,unique	dead,singing	optional	played	used		used	electrified			movable,playable,adjustable
bat			dead	dead,hungry	broken,yours,missing	dead,flying,poisonous,endangered	hooked		named	extinct,endangered	evalle,joyah,barbed	flying,gone,funny	gone,dead	cute,adjustable,cocked,edible
bat			dead	dead,hungry	broken,yours,missing	dead,flying,poisonous,endangered	hooked		named	extinct,endangered	evalle,joyah,barbed	flying,gone,funny	gone,dead	cute,adjustable,cocked,edible
bathmat	closed,available,used		clean	removable	waterproof	electrified,available,used			covered,waterproof,removable	heated,removable,used	immaculate,adjustable,furnished	my,a	covered	adjustable
bathrobe	worn	long,white,optional	complete,clean,worn	white,black	removable,yours,waterproof	essential,available,used,worn	navigable		removable,worn	white,black	evalle,twinned,joyah	edible	pretty	embroidered
bathtub	closed,locked,clean	cold,empty,small,large	clean,empty,finished,full	full,empty	empty,closed	accessible,empty	water,used	closed,open	covered,full,empty	heated,deep,long	furnished,adjustable,joyah,electrified	empty,my	covered,big	cleaned
baton	used,fixed	suspended,used	shown,broken	broken	broken,yours,mine	worn				long,used	mastered,electrified	fired,used,electrified	gone,broken,blown,dropped	thrown,exchanged,passed,passing
baton	used,fixed	suspended,used	shown,broken	broken	broken,yours,mine	worn				long,used	mastered,electrified	fired,used,electrified	gone,broken,blown,dropped	thrown,exchanged,passed,passing
baton	used,fixed	suspended,used	shown,broken	broken	broken,yours,mine	worn				long,used	mastered,electrified	fired,used,electrified	gone,broken,blown,dropped	thrown,exchanged,passed,passing
baton	used,fixed	suspended,used	shown,broken	broken	broken,yours,mine	worn				long,used	mastered,electrified	fired,used,electrified	gone,broken,blown,dropped	thrown,exchanged,passed,passing
batter	out,ejected	out			perfect	clear			killed,named	named,known	lucivar,evalle,joyah	fired,afraid		batting,disqualified
battery	charged	charged	full,dead	replaced,dead,removable,charged	removable	charged,operational,portable,electrified		electric,electrified	full,removable,charged	removable,depleted,charged	plugged,adjustable,rated	available	dead	charged,adjustable
bazooka		amphibious	dead,here	loaded	dead,yours	endangered	present,included	motorized,used	edible,poisonous,named,endangered	used	evalle,twinned,joyah	playable,a	dead	cocked,useless
beachball	popular,illegal,played,used		used,broken	round	welcome,ready,yours	compulsory,illegal	played		competitive,included,used,known	spherical,used	easy,twinned,evalle,joyah	gonna,gone,a	done,good	playable,adjustable
bead		small,empty	visible,transparent,broken	transparent,broken	broken	empty,broken		transparent	transparent,long		encrypted			engraved
beaker				open,empty,broken,full	silent,dead,yours	hollow	hooked,large,long	edible	waterproof	edible,used	furnished,adjustable,stainless	a	filled,empty,full,covered,sealed	
bean	edible,eaten,poisonous	green,edible,white,black	cooked	green,black,cooked	dead	eaten,edible,poisonous,ripe	edible,poisonous,cultivated	green,white,edible	edible,poisonous,known	edible,green,black	edible,evalle,joyah	born,edible,grown	eaten,edible	ripe,cooked,eaten,edible
beanbag	broken,empty	portable	loaded		yours,dead	eaten,available,edible,empty	available,sold,edible	used	included,used,broken	adjustable,removable,padded,waterproof	adjustable	my,gone,your,a	dead	adjustable
beanie				reversible,optional	welcome,dead,yours,mine	eaten,yours,available,edible,empty,gone	named,edible,eaten	worn	named	removable,reversible	evalle,cute,joyah	cute,gone,a	funny,dead	cute,adorable
bear		extinct	dead	dead,hungry	dead	dead,evil,endangered	named	white	named	extinct,endangered	lucivar,evalle,joyah	haunted,gone,alive,afraid,a	here,dead	happy
beard		red,short,white,long	shaved,full,gone,long	black,grey,white,long	shaved	crooked,long	white,long	black,white	long	long,white,short	thicker,shaved	shaved,bald	big,scary	creepy
beaver	endangered	endangered	dead	dead,here	dead,yours	threatened,endangered,shy	migratory,territorial	present,endangered	named,known	extinct,known	evalle,joyah	gone,gonna,alive,afraid,a	alive,crazy,dead	thirsty,gonna,extinct
bed	made,empty	cold,warm,made,empty,comfortable	clean,mine,made	flat,made,comfortable,broken	empty,hers	flat,empty,broken			made	covered,adjustable,removable,made	furnished,adjustable,covered	my,a	covered,flat,pretty,taken	uncomfortable,comfortable
bedpan			clean	flat,removable,broken	empty,removable,closed	flat,hollow				removable,used,adjustable	adjustable	adjustable,hot,covered	covered	included,disposable,adjustable
bedpost	broken,removed	straight,wooden	missing,broken	broken	empty,closed	present,fixed			vertical	high	furnished	my,gone,a,covered		cocked,adjustable
bee	free		hungry	dead,here	dead,safe		poisonous,named,edible	nocturnal		honey	evalle,happy,joyah	gone,alive,happy,allergic	alive,dead	alive,poisonous
beehive		simple,large,small	complete,dead,done	dead	dead,ours,yours		poisonous,named	closed	edible	known	evalle,characterized,joyah		closed,empty,there	buzzing,alive
beer	alcoholic	bitter,cold,alcoholic	good,cold	good,cold	cold	drunk,bitter,alcoholic,available	available,sold		alcoholic,cold,bitter	alcoholic,sold,brewed,available,fermented	joyah	delicious,good,hot,brewing	good	shitty,spicy
beet	poisonous,edible	cultivated,green,edible,white,black	green,red,cooked	pictured,green,red		eaten,cultivated,edible,poisonous	poisonous,named,edible	edible	edible,eaten	edible,red,harvested	edible,milky,joyah	cooked,edible	pretty,edible	ripe,spicy,poisonous,eaten,edible
beetle	extinct	poisonous,edible	eaten,poisonous,dead,named	harmless	poisonous,dead	edible,poisonous		migratory	poisonous,radioactive,named,known		evalle,endangered,characterized	alive,a	alive,poisonous,scary,dead	poisonous,endemic,edible
bell	broken,ringing	broken,ringing,striking	ringing,sounding	broken,ringing,silent	turning,ringing,sounding,ticking	ringing,broken	ringing,cast		silent,broken	struck	ringing	ringing,dialed,broken,electrified	ringing,off,rang	chimed,ringing,deafening,vibrating
bell pepper	edible	cultivated,edible,eaten,poisonous	edible,red,cooked	green,red	spicy,edible	eaten,bitter,edible,poisonous,sweet	poisonous,edible	edible,used	edible,poisonous,eaten	edible,red	edible,acidic	edible,delicious,spicy	good,edible	spicy,fragrant,edible
belt		circular	removable,worn	worn,broken	worn,removable	electrified	wide,long	closed,electrified	worn,adjustable,removable	wide,removable,worn,adjustable	adjustable,inserted	adjustable,worn,electrified	padded,tight,worn	adjustable
belt buckle	worn	optional,circular	missing,removable,worn,visible	visible	removable,included,reversible	fastened,worn	worn,used	adjustable,worn	worn	adjustable	adjustable	adjustable,included,broken,worn	clipped,worn,adjustable	adjustable
bench			bare,empty,packed,full,cleared	full,empty	vacant,ready,empty,full	empty	used,covered,included	open	full,cleared,empty	empty,full,numbered,used,filled	rated,evalle,joyah	covered	covered	padded,adjustable,stacked,loaded,weighted
berry	edible	red,green,edible,white	white,red,ripe	edible,ripe,red	edible,mine	eaten,cultivated,sweet,edible,poisonous,ripe	poisonous,edible	green,red,edible	edible,named,known	edible,red	edible,milky,acidic	ripe,grown,edible	ripe,poisonous,edible	spicy,poisonous,medicinal,edible
bib		red,yellow,black	pictured,shown		empty,yours	complete,available			removable,worn	adjustable		covered		adjustable
bike		mine	mine	new	waterproof,mine	stationary,accessible,available	free,complete	motorized,used		used,sold	evalle,easy,joyah,electrified	my,gonna,going,a	pretty	
bikini	optional,available,used	transparent,optional,white,black	removable	white,black,red	removable	available,worn,optional	free	black	removable	adjustable,short	evalle,shaved,joyah	cute,wearing,my,gone		cute,sexy
bin	closed,empty,open,locked	open,empty	clean,empty,full	full,empty	empty,overflowing	empty,closed	empty	closed,empty	empty	empty	plugged,encrypted	a	empty,covered,packed	full,leaking,emptied,empty
binder	used	binding,empty	broken		broken,empty	available	free	used	used	reversible,removable,used	included,labeled,encrypted	printed,encrypted		glued
binoculars	used,fixed	used	included	pictured	waterproof	visible,fixed	used	used	included,waterproof,used	available,used	evalle,joyah,encrypted	available,handy	clear	adjustable
bird		white,black	male,saying,named,dead	dead	dead	flying,endangered	mute,migratory	migratory,common	extinct,named,known,endangered	named,endangered	evalle	alive,gone,asleep	alive,dead	
birdbath	common		empty,finished,complete,full	complete,empty,broken	over,finished	easy	migratory	present	open	heated	characterized	here,gone,a	closed,empty	cleaned
birdcage		large	complete	open,closed,empty	endangered,dead	unique	migratory		transparent,shown	removable,empty	characterized,conserved	gone	packed	enclosed,adjustable
birdhouse		listed,open,free	complete,finished	complete,finished,empty	empty,haunted,closed	listed,accessible,haunted	open	open,closed,listed	named,open	built,tall	furnished,twinned,housed	gone,a	closed,empty	finished
birthday cake	eaten,baked			complete,ready	yours,ready	eaten,baked	present,available,included,used		edible	edible,baked,prepared,decorated	edible,delicious	baking,my,gone	pretty	edible
biscuit	eaten,edible	baked,edible,thin		edible	delicious,toast	eaten,available,boiled,edible	edible		edible	edible,baked,sold	edible,delicious,milky,joyah	edible,delicious,my,good	good,pretty	baked,cooked,edible
bison	hunted,threatened,endangered	extinct,endangered		pictured,dead,endangered	dead,hungry,starving	hunted,extinct,endangered,threatened	migratory	present,migratory,endangered	named,known,endangered	large,extinct,endangered	edible,joyah,evalle,endangered	extinct,alive,hungry,gone	dead	hunted,extinct,endangered,edible
blackberry	poisonous,edible	cultivated,edible,poisonous,evergreen			yours,toast,mine	sweet,threatened,edible,poisonous,ripe	poisonous,available,edible		edible,poisonous	used,known	twinned,plugged,evalle,addictive,joyah	my,a	different	addictive
blanket	clean	warm		red	wet,worn	empty,clear	free		worn	waterproof,removable,reversible	adjustable,wrapped,covered	my,gone,covered	covered,pretty	adjustable
blazer		red,white,black	black,mine,white,red	black,new,white,red	yours,waterproof,mine	worn,blue			black	black,reversible,white,fitted	rated,adjustable	gone,a	pretty	
blender	available,used	portable,used	working,running,broken	included	broken,perfect	available,used	available,sold,used		removable,used	powered,removable,used	plugged,adjustable,patented	compatible,available,handy	big,used	adjustable
blimp		flying	flying,pictured	flying	dead,flying				named	long	jaenelle,lucivar,evalle,joyah	gone,a	dead	flown,towed,boarded
blind	allowed,blind,used	deaf,blind,free	blind,deaf	free,deaf,stupid,blind,dumb	afraid,deaf,blind	mute,blind,free,impaired,deaf	blind,free,impaired,deaf	allowed,blind,disabled,permitted	blind,deaf,disabled	blind,common,dumb,stupid,deaf	joyah,blinded,blind,handicapped,afraid	deaf,blind,only,blinded,afraid	mistaken,blind,alone,handicapped,wrong	seeing,blind,blinded
blinder	used	seen,blind	broken	there,here	broken,dead	mute,blind	blind,deaf		used	used,available	adjustable,plugged,electrified	adjustable,unlocked,gone,broken,a	blind,dead	gone,averted
blindfold	worn,used	removed	worn		broken	visible,worn	blind,marked	adjustable	worn,removable,used	removable,adjustable	adjustable,barbed	worn	tight	undone,removed
block	inhabited,residential,electrified	empty	complete,empty	complete	empty,complete,blocked,closed	electrified,inhabited	paved,named	electrified	named,complete		encrypted	a		navigable,encrypted
blouse	blue,white,black	red,blue,white	reversible,black,white	white,red	optional		white	white	long,white	white,fitted,cropped,reversible	embroidered,evalle,adjustable	cute,wearing,my	cute,nice,pretty	embroidered
blower	used,fixed			broken	silent,dead,working	blown,available,broken	fired,used	used	waterproof,used	removable,used,adjustable	adjustable,plugged,electrified	adjustable,leaking,gone,fired,electrified	dead	adjustable
blowfish	edible,endangered	edible	dead,edible	harmless,pictured,edible,endangered	edible,dead	endangered,threatened,edible,poisonous	poisonous,migratory,edible	poisonous,edible	poisonous,edible,named,known	edible,known	edible,endangered,evalle,joyah	alive,gone,a	alive,poisonous	alive,gonna
blowgun	loaded,available,automatic,used	used	used,loaded		dead,yours,mine	loaded,fired,available,portable,automatic	fired,used	automatic,used	removable,used	portable,used	rated,electrified	fired,used	loaded,small,used,lethal	adjustable
blowtorch	used	mechanical,used	used,broken		broken,dead	hollow,broken	used	adjustable,used	used	portable,used,adjustable	adjustable,plugged,electrified	used	handy	electrified
blueberry	edible	green,edible	red	edible,ripe,black,red	yours,mine	sweet,edible,poisonous,ripe	named,edible,poisonous	edible	edible,poisonous	edible,extinct,poisonous,black	evalle,edible,joyah	edible,gone,gonna,a	pretty,edible	extinct,edible
