User ID,id,Word,Associative Bias,frequentAssociation,makeSense,antonym1,antonym2,antonym3
FWD4Z73KK6F6,2330,dog,dead,Yes,Yes,alive,breathing,barking
YYQ2E9ZT4FT3,250,backpack,there,Yes,Yes,Here,,
FPMCK2P37RW2,7115,sling,closed,Yes,Yes,open,destroyed,used
FWD4Z73KK6F6,5889,polisher,blind,No,No,,,
FWD4Z73KK6F6,4188,kazoo,silent,No,Yes,loud,noisy,shrill
YYQ2E9ZT4FT3,2882,flamingo,edible,No,Yes,Inedible,,
FPMCK2P37RW2,838,brace,flat,No,Yes,rounded,curved,
YYQ2E9ZT4FT3,1252,carriage,ready,Yes,Yes,Preparing,,
FPMCK2P37RW2,3154,garlic,strong,Yes,Yes,mild,bland,weak
YYQ2E9ZT4FT3,7503,station wagon,used,Yes,Yes,New,,
YYQ2E9ZT4FT3,4111,jewel,safe,Yes,Yes,Vulnerable,,
XJKGQQWFXKTX,7719,swan,dead,No,Yes,alive,living,
YYQ2E9ZT4FT3,7989,thorn,sharp,Yes,Yes,Dull,,
FWD4Z73KK6F6,2885,flan,hollow,No,No,full,stuffed,overflowing
YKGFKQKA2WC2,859,brake,automatic,Yes,Yes,manual,,
FWD4Z73KK6F6,3027,forklift,functional,No,Yes,broken,unusable,unsafe
FPMCK2P37RW2,3741,hippopotamus,dead,Yes,Yes,healthy,happy,lively
FWD4Z73KK6F6,5428,parsley,ripe,Yes,Yes,spoiled,rotten,inedible
FPMCK2P37RW2,5778,plaster cast,extant,No,Yes,missing,gone,vanished
7TVRDX6P4GTP,2451,dress,new,Yes,Yes,old,used,vintage
YYQ2E9ZT4FT3,2527,dynamite,explosive,Yes,Yes,Unexploded,,
FWD4Z73KK6F6,6291,red carpet,finished,No,Yes,undone,incomplete,unfinished
FWD4Z73KK6F6,4066,jalapeno,edible,Yes,Yes,rotten,toxic,poisonous
FWD4Z73KK6F6,964,buffet,open,Yes,Yes,closed,shut,
FWD4Z73KK6F6,1959,cornmeal,soft,Yes,Yes,hard,solid,
FWD4Z73KK6F6,2597,eggshell,hollow,No,Yes,full,stuffed,overflowing
FWD4Z73KK6F6,8914,woman,here,No,Yes,there,gone,moving
FWD4Z73KK6F6,6489,rubber band,broken,No,Yes,solid,together,unbroken
FPMCK2P37RW2,6293,red carpet,used,Yes,Yes,new,pristine,
MEJWNVYTN6GW,8017,thumb,sharp,No,No,smooth,rounded,
MEJWNVYTN6GW,5919,poodle,fat,Yes,Yes,skinny,thin,
YKGFKQKA2WC2,7942,television,open,No,No,closed,,
7TVRDX6P4GTP,3354,gopher,poisonous,Yes,Yes,safe,edible,harmless
VNAQPVX4R36A,8210,towel rack,empty,Yes,Yes,Full,Filled,Loaded
MEJWNVYTN6GW,3747,hockey stick,broken,Yes,Yes,operational,,
R2FHGF3QXQ6M,4975,mouth,full,Yes,Yes,empty,,
FWD4Z73KK6F6,8485,vegetable,fresh,Yes,Yes,rotten,black,brown
MEJWNVYTN6GW,5226,omelet,closed,No,Yes,open,,
FPMCK2P37RW2,659,blowtorch,curved,No,No,,,
VNAQPVX4R36A,8696,waterwheel,functional,Yes,Yes,Broken,Defective,Inoperable 
FPMCK2P37RW2,7324,space shuttle,destroyed,Yes,Yes,ready,operational,safe
YYQ2E9ZT4FT3,5017,mulch,acidic,Yes,Yes,Basic,,
MEJWNVYTN6GW,6089,puppet,free,Yes,Yes,trapped,b,
VNAQPVX4R36A,688,bolo tie,tied,Yes,Yes,Untied,Loose,Undone
FWD4Z73KK6F6,8974,xylophone,open,No,No,closed,shut,plugged
PTQGWRFHYJTJ,5040,music box,empty,Yes,Yes,full,filled,occupied
FWD4Z73KK6F6,4231,kite,stable,No,Yes,unstable,unyieldy,wild
ZA7343AVVAJT,5750,pizza,good,Yes,Yes,bad,unacceptable,nasty
R2FHGF3QXQ6M,4239,kiwi,bilingual,No,No,,,
YYQ2E9ZT4FT3,7108,slime,edible,Yes,Yes,Inedible,,
YYQ2E9ZT4FT3,4803,memory stick,loaded,No,Yes,Unloaded,,
MEJWNVYTN6GW,6222,rattlesnake,migratory,Yes,Yes,sedentary,nonmigratory,
4YNXDR4CKEZM,1287,casserole,fresh,Yes,Yes,spoiled,rotten,off
7TVRDX6P4GTP,2324,diving board,used,Yes,Yes,unused,closed,avoided
FWD4Z73KK6F6,1778,coffee table,clean,Yes,Yes,messy,cluttered,dirty
FWD4Z73KK6F6,3105,fur coat,long,Yes,Yes,short,tiny,small
VNAQPVX4R36A,769,bow,straight,Yes,Yes,Curved,Bowed,Bent
FWD4Z73KK6F6,1444,chessboard,empty,Yes,Yes,full,covered,set
FWD4Z73KK6F6,848,bracket,open,Yes,Yes,closed,shut,locked
VNAQPVX4R36A,4273,knot,symmetric,No,Yes,Asymmetric ,Lopsided ,Uneven 
YYQ2E9ZT4FT3,2653,exhaust pipe,empty,No,Yes,Clogged,,
7TVRDX6P4GTP,8430,twig,long,Yes,Yes,short,small,puny
FWD4Z73KK6F6,8708,wax paper,sealed,No,Yes,unsealed,packaged,unopened
YYQ2E9ZT4FT3,1478,chicken wire,clean,No,Yes,Dirty,,
7TVRDX6P4GTP,6026,prune,tender,Yes,Yes,tough,hard,firm
FWD4Z73KK6F6,110,amplifier,operational,Yes,Yes,broken,unusable,unfunctional
FPMCK2P37RW2,7388,sponge,dead,No,Yes,live,living,
FPMCK2P37RW2,5715,ping-pong table,replaced,Yes,Yes,original,unadulterated ,
MEJWNVYTN6GW,4601,macadamia,poisonous,No,Yes,harmless,nontoxic,
FWD4Z73KK6F6,3605,handbrake,functional,No,Yes,broken,ruined,unusable
FPMCK2P37RW2,1244,cardinal,TRUE,No,No,,,
FPWHJG73NYJG,5774,plaster cast,intact,Yes,Yes,Broken,Destroyed,Damaged
7TVRDX6P4GTP,5792,plastic film,thin,Yes,Yes,thick,substantial,fat
FWD4Z73KK6F6,4899,mold,new,No,Yes,old,historic,
YYQ2E9ZT4FT3,1925,cordon bleu,full,No,No,,,
FPMCK2P37RW2,8799,whipped cream,hot,No,Yes,cold,chilled,fresh
FWD4Z73KK6F6,6819,shark,aggressive,Yes,Yes,shy,scared,cowardly
FWD4Z73KK6F6,8484,vase,unique,Yes,Yes,common,ubidiqous,inexpensive
MEJWNVYTN6GW,7217,snowsuit,standard,Yes,No,unusual,unique,rare
YYQ2E9ZT4FT3,875,bread,fresh,Yes,Yes,Stale,,
FPMCK2P37RW2,7028,skateboard,free,Yes,Yes,expensive,valuable,costly
PTQGWRFHYJTJ,714,bongo,flat,No,Yes,curved,3D,twisty
FWD4Z73KK6F6,4689,mantle,transparent,No,Yes,solid,,
FWD4Z73KK6F6,5905,pom-pom,broken,No,Yes,working,together,
7TVRDX6P4GTP,4497,lightbulb,closed,No,No,open,live,
YYQ2E9ZT4FT3,7674,sugar cube,removed,No,Yes,Added,,
YYQ2E9ZT4FT3,5518,penholder,open,Yes,Yes,Closed,,
FPMCK2P37RW2,2745,file,available,Yes,Yes,resticted,deleted,missing
YKGFKQKA2WC2,1920,cordon bleu,active,No,No,resting,inactive,
YYQ2E9ZT4FT3,4438,lens,circular,Yes,Yes,Square,,
YYQ2E9ZT4FT3,1921,cordon bleu,complete,No,Yes,Unfinished,,
MEJWNVYTN6GW,8239,train car,operational,Yes,Yes,broken,,
FWD4Z73KK6F6,6257,ready meal,provided,No,No,taken,ungifted,
7TVRDX6P4GTP,909,brownie,free,Yes,Yes,expensive,cheap,pricey
PTQGWRFHYJTJ,4567,log,complete,No,No,incomplete,beginning,unfinished
FWD4Z73KK6F6,7237,soccer ball,played,No,Yes,closeted,unused,
FWD4Z73KK6F6,8870,wine cooler,open,Yes,Yes,sealed,shut,closed
VNAQPVX4R36A,5629,pie,hot,Yes,Yes,Cold,Lukewarm,Cool
FWD4Z73KK6F6,4143,juice,poisonous,No,Yes,nutritious,healthy,edible
VNAQPVX4R36A,1239,cardboard,clean,Yes,Yes,dirty,stained,soiled
FWD4Z73KK6F6,7033,skeleton,old,Yes,Yes,new,young,fresh
EGZANDYA4C6Q,7437,squid,alive,Yes,Yes,dead,lifeless,deceased
EZCVAWE2HAMP,7431,squeegee,short,Yes,Yes,long,lengthy ,stretchy 
7TVRDX6P4GTP,7791,t-shirt,gone,No,Yes,present,here,available
FWD4Z73KK6F6,5907,pom-pom,played,No,No,broken,unusable,
FWD4Z73KK6F6,5062,mustard,sweet,Yes,Yes,spicy,sour,tangy
FWD4Z73KK6F6,1815,comb,flat,Yes,Yes,rounded,deformed,twisted
FWD4Z73KK6F6,940,bubble wrap,plastic,Yes,Yes,aluminum,paper,solid
YYQ2E9ZT4FT3,5041,music box,open,Yes,Yes,Closed,,
YYQ2E9ZT4FT3,7821,taffy,there,Yes,Yes,Gone,,
FWD4Z73KK6F6,6719,scrambled egg,eaten,No,Yes,trashed,uneaten,inedible
FPMCK2P37RW2,2992,foot,large,Yes,Yes,small,tiny,
VNAQPVX4R36A,2393,doorhandle,open,No,No,closed,shut,sealed
W9XTVGDF6CV4,2158,cufflink,visible,Yes,Yes,Invisible ,Hidden,Concealed 
FWD4Z73KK6F6,628,blinder,open,Yes,Yes,closed,shut,
MEJWNVYTN6GW,6061,pulpit,open,Yes,Yes,closed,unavailable,
W9XTVGDF6CV4,4217,key,open,No,No,Closed,Shut,Unopen
VNAQPVX4R36A,816,boxing gloves,visible,No,No,invisible,hidden,
FWD4Z73KK6F6,6754,seafood,good,Yes,Yes,awful,horrible,terrible
FWD4Z73KK6F6,2032,crane,open,No,Yes,shut,closed,sealed
FWD4Z73KK6F6,7630,straw,soft,Yes,Yes,hard,solid,steel
VNAQPVX4R36A,872,bread,baked,Yes,Yes,raw,uncooked,unbaked
YYQ2E9ZT4FT3,5951,pot,cold,Yes,Yes,Hot,,
FWD4Z73KK6F6,5493,peg,closed,No,Yes,open,ajar,
FWD4Z73KK6F6,1333,cereal,good,Yes,Yes,bad,rotten,horrible
FWD4Z73KK6F6,6635,sawhorse,real,No,Yes,fake,unreal,
VNAQPVX4R36A,5853,poinsettia,common,Yes,Yes,rare,extraordinary,uncommon
MEJWNVYTN6GW,7866,tarantula,large,Yes,Yes,small,tiny,
HKXM7AJCMHJQ,1121,camera lens,open,Yes,Yes,closed ,shut,covered 
FPMCK2P37RW2,8610,warthog,here,Yes,Yes,gone,missing,
YYQ2E9ZT4FT3,526,bell pepper,cooked,Yes,Yes,Raw,,
YYQ2E9ZT4FT3,8976,xylophone,unique,Yes,Yes,Commonplace,,
HKXM7AJCMHJQ,7122,slot,empty,Yes,Yes,full,overflowing ,packed 
4YNXDR4CKEZM,8108,toilet paper,washed,No,No,soiled,neglected,
FPMCK2P37RW2,7228,soap,good,Yes,Yes,bad,harsh,contaminated
YKGFKQKA2WC2,5307,pajamas,worn,Yes,Yes,new,fresh,unused
VNAQPVX4R36A,7586,stool,full,Yes,Yes,empty,vacant,unoccupied
FWD4Z73KK6F6,2553,earwig,male,No,No,female,womanly,girly
YYQ2E9ZT4FT3,6149,racket,over,Yes,Yes,Ongoing,,
FPMCK2P37RW2,3430,gravy,cold,Yes,Yes,warm,hot,fresh
FWD4Z73KK6F6,4232,kite,real,No,Yes,fake,,
FWD4Z73KK6F6,3942,ice,solid,Yes,Yes,flimsy,cracking,breaking
YYQ2E9ZT4FT3,1798,coin,gold,Yes,Yes,Silver,,
W9XTVGDF6CV4,3096,fungus,fatal,No,No,Nonfatal,Nonlethal,
YYQ2E9ZT4FT3,3213,gel,sticky,Yes,Yes,Dry,,
R2FHGF3QXQ6M,7632,strawberry,ripe,Yes,Yes,green,unripe,
FPMCK2P37RW2,1431,cheetah,present,Yes,Yes,missing,gone,hidden
FPMCK2P37RW2,4318,lamppost,intact,Yes,Yes,broken,down,destroyed
FWD4Z73KK6F6,4739,mashed potato,served,Yes,Yes,undone,trashed,
FPMCK2P37RW2,5440,pasta,perfect,Yes,Yes,deformed,disgusting,flawed
HKXM7AJCMHJQ,2528,dynamite,loaded,Yes,Yes,dull,fake,spoiled 
FWD4Z73KK6F6,6233,ravioli,expensive,No,Yes,cheap,frugal,affordable
XJKGQQWFXKTX,7258,sofa bed,occupied,Yes,Yes,empty,unoccupied,
HKXM7AJCMHJQ,2478,dryer,open,Yes,Yes,closed ,locked ,shut 
YYQ2E9ZT4FT3,2150,crystal,liquid,No,Yes,Solid,,
FPMCK2P37RW2,8242,train set,complete,Yes,Yes,incomplete,unfinished,
FPMCK2P37RW2,8355,trumpet,playing,Yes,Yes,silent,quieted,broken
YYQ2E9ZT4FT3,6163,radio,working,Yes,Yes,Broken,Inoperable,Trashed
FWD4Z73KK6F6,5516,penholder,dead,No,Yes,alive,well,vigorous
YYQ2E9ZT4FT3,1919,cord,closed,No,No,,,
W9XTVGDF6CV4,5759,place mat,empty,Yes,Yes,Full,Filled,
FWD4Z73KK6F6,5805,platypus,long,Yes,Yes,short,small,tiny
FWD4Z73KK6F6,1904,cooler,good,No,Yes,bad,awful,terrible
FPMCK2P37RW2,5373,papaya,sweet,Yes,Yes,unripe,bitter,rotten
FWD4Z73KK6F6,1326,cement mixer,needed,No,Yes,unneeded,unnecessary,
FPMCK2P37RW2,3356,gopher,blind,Yes,Yes,nearsighted ,dead,
MEJWNVYTN6GW,2213,cymbal,flat,Yes,Yes,bumpy,,
EZCVAWE2HAMP,4568,log,small,Yes,Yes,large,big,huge
MEJWNVYTN6GW,2101,crouton,open,No,No,,,
FWD4Z73KK6F6,5658,piglet,free,No,Yes,caged,imprisoned,
FWD4Z73KK6F6,7547,stew,prepared,Yes,Yes,unprepared,starting,
YKGFKQKA2WC2,5048,mussel,edible,Yes,Yes,inedible,unpalatable,indigestible
W9XTVGDF6CV4,4240,kiwi,extinct,No,Yes,Extant,Alive,Living
7TVRDX6P4GTP,3734,hinge,round,No,Yes,straight,rectangular,triangular
VNAQPVX4R36A,6534,sail,open,No,Yes,furled,raised,
YYQ2E9ZT4FT3,3585,hammock,solid,Yes,Yes,Loose,,
MEJWNVYTN6GW,7061,skin,smooth,Yes,Yes,rough,prickly,uneven
W9XTVGDF6CV4,2106,crow,silent,Yes,Yes,Noisy,Loud,Soundful
MEJWNVYTN6GW,441,battery,empty,Yes,Yes,full,,
FWD4Z73KK6F6,7993,thorn,small,Yes,Yes,large,enormous,masive
W9XTVGDF6CV4,4815,metronome,open,No,No,Close ,Shut,Unopen
YYQ2E9ZT4FT3,3232,gift,personal,Yes,Yes,Impersonal,,
FPMCK2P37RW2,7575,stirrup,adjustable,Yes,Yes,fixed,unadjustable,locked
MEJWNVYTN6GW,1389,charcoal,clean,Yes,No,dirty,,
YYQ2E9ZT4FT3,3492,gum,edible,Yes,Yes,Inedible,,
7TVRDX6P4GTP,2356,dollhouse,full,Yes,Yes,empty,open,available
XE3A9G9ZG27F,1868,contact lens,adjustable,Yes,Yes,fixed,unadjustable,unmovable
7TVRDX6P4GTP,8812,whoopee cushion,optional,No,Yes,required,necessary,essential
EGZANDYA4C6Q,7038,ski boots,worn,Yes,No,new,unused,unopened
YKGFKQKA2WC2,6112,quiche,dry,No,Yes,wet,moist,damp
MEJWNVYTN6GW,8602,walrus,male,Yes,Yes,female,,
YYQ2E9ZT4FT3,4517,lingerie,free,Yes,Yes,Expensive,,
YYQ2E9ZT4FT3,3941,ice,slippery,Yes,Yes,Stable,,
YYQ2E9ZT4FT3,8972,wrist,flat,No,Yes,Bony,,
YYQ2E9ZT4FT3,8961,wrapping paper,brown,Yes,Yes,Green,,
FWD4Z73KK6F6,7604,straightjacket,flat,No,Yes,full,stuffed,puffy
FPMCK2P37RW2,4966,mousetrap,free,Yes,Yes,set,placed,armed
FWD4Z73KK6F6,6353,rim,circular,Yes,Yes,square,triangular,pointy
EZCVAWE2HAMP,5352,panties,open,No,Yes,closed,shut,off
YYQ2E9ZT4FT3,5916,pony,real,Yes,Yes,Imaginary,,
FWD4Z73KK6F6,17,acorn,edible,Yes,Yes,stale,rotten,spoiled
FWD4Z73KK6F6,4499,lightning bug,bad,No,Yes,good,behaved,useful
YKGFKQKA2WC2,1256,carrot,sweet,Yes,Yes,bitter,sour,stale
FPMCK2P37RW2,4780,measuring cup,full,Yes,Yes,empty,spilled,
YYQ2E9ZT4FT3,4344,laser pointer,fired,No,No,,,
VNAQPVX4R36A,571,bird,nocturnal,Yes,Yes,diurnal,,
FPMCK2P37RW2,4566,log,real,Yes,Yes,synthetic,fake,veneer 
EZCVAWE2HAMP,3324,golf cart,loaded,Yes,Yes,empty,free,unloaded
FPMCK2P37RW2,7469,stalagmite,large,Yes,Yes,small,tiny,new
R2FHGF3QXQ6M,4864,mirror,perfect,Yes,Yes,flawed,imperfect,damaged
FPMCK2P37RW2,1225,car seat,removed,Yes,Yes,ready,available,
FWD4Z73KK6F6,2590,eggplant,poisonous,No,Yes,nutritious,healthy,helpful
FWD4Z73KK6F6,7021,siren,sounding,Yes,Yes,silent,unheard,broken
VNAQPVX4R36A,5574,petri dish,traditional,No,Yes,New,Unconventional ,Unorthodox 
FPMCK2P37RW2,4889,mold,empty,Yes,Yes,occupied,broken,full
FWD4Z73KK6F6,2924,flipper,flat,No,No,rounded,curved,pointed
MEJWNVYTN6GW,2023,crab,dead,Yes,Yes,alive,,
MEJWNVYTN6GW,3431,gravy,clear,No,No,,,
VNAQPVX4R36A,1098,calamari,unique,Yes,Yes,common,ordinary,commonplace
YYQ2E9ZT4FT3,5619,pickax,round,No,Yes,Pointed,,
FWD4Z73KK6F6,6351,rim,worn,Yes,Yes,normal,good,unused
HKXM7AJCMHJQ,3750,hockey stick,pointed,No,No,round,curved,flat
FPMCK2P37RW2,4335,lanyard,solid,Yes,Yes,flimsy,breakable,fragile
YYQ2E9ZT4FT3,5722,pinwheel,operational,No,Yes,Broken,,
FWD4Z73KK6F6,8393,tupperware,vegetarian,No,No,unvegetarian,carnivorous,
MEJWNVYTN6GW,3870,hot tub,full,Yes,Yes,empty,,
HKXM7AJCMHJQ,5581,petri dish,eaten,No,Yes,saved,kept,prepared 
FWD4Z73KK6F6,3000,football helmet,optional,No,Yes,mandatory,enforcable,required
HKXM7AJCMHJQ,4160,jump rope,optional,No,Yes,mandatory ,used ,directed 
FWD4Z73KK6F6,2453,dresser,open,Yes,Yes,closed,shut,sealed
FWD4Z73KK6F6,2009,coverall,open,No,Yes,closed,zipped,shut
MEJWNVYTN6GW,5828,plunger,empty,No,No,,,
VNAQPVX4R36A,6581,sandpaper,dry,Yes,Yes,Wet,Damp,Moist
FWD4Z73KK6F6,1139,camper,safe,No,Yes,unsecure,dangerous,hazardous
FPMCK2P37RW2,7314,soup,sweet,Yes,Yes,sour,bitter,rotten
YYQ2E9ZT4FT3,5355,panties,pink,Yes,Yes,Red,,
FWD4Z73KK6F6,2609,electric chair,standard,No,Yes,unorthodox,inventive,creative
VNAQPVX4R36A,8086,toe,missing,Yes,Yes,present,,
FWD4Z73KK6F6,1878,cooker,cold,No,Yes,warm,hot,scalding
MEJWNVYTN6GW,5585,pheasant,present,Yes,Yes,gone,away,
FWD4Z73KK6F6,8189,toucan,large,No,Yes,small,tiny,puny
FWD4Z73KK6F6,755,boulder,new,No,Yes,old,venerable,historic
EZCVAWE2HAMP,840,bracelet,free,No,Yes,expensive,costly,
FWD4Z73KK6F6,5113,needle,clean,No,Yes,new,washed,rinsed
YYQ2E9ZT4FT3,6948,shower cap,missing,No,Yes,There,,
FWD4Z73KK6F6,2139,crystal ball,real,No,Yes,fake,,
YKGFKQKA2WC2,8384,tuning fork,fixed,Yes,Yes,dynamic,changing,unsettled
FWD4Z73KK6F6,5503,pencil,empty,No,Yes,full,overflowing,stuffed
HKXM7AJCMHJQ,4429,lemonade,perfect,Yes,Yes,bad,gross,sour
7TVRDX6P4GTP,4632,magnifying glass,broken,No,Yes,working,pristine,functional
FWD4Z73KK6F6,4416,lego,new,Yes,Yes,old,worn,used
FWD4Z73KK6F6,2617,elephant,afraid,Yes,Yes,confident,happy,loving
MEJWNVYTN6GW,8491,veil,closed,Yes,Yes,open,,
HKXM7AJCMHJQ,8442,umbrella,closed,Yes,Yes,open,used,stretched 
YYQ2E9ZT4FT3,1995,couch,full,Yes,Yes,Unoccupied,,
YYQ2E9ZT4FT3,21,air conditioner,fixed,Yes,Yes,Broken,,
FPMCK2P37RW2,2250,denture,smooth,No,Yes,rough,cracked,rusty
FWD4Z73KK6F6,2229,dart,poisonous,Yes,Yes,unlaced,normal,
FWD4Z73KK6F6,4692,mantle,smooth,Yes,Yes,jagged,spiky,pointed
FWD4Z73KK6F6,5625,pickle,hot,No,Yes,cold,frozen,chilled
7TVRDX6P4GTP,7371,spider,male,Yes,Yes,female,,
MEJWNVYTN6GW,2114,crow,there,Yes,Yes,here,away,gone
YYQ2E9ZT4FT3,8007,throne,complete,No,Yes,Unfinished,,
FWD4Z73KK6F6,731,bookshelf,empty,Yes,Yes,full,overflowing,stuffed
YKGFKQKA2WC2,6322,rhubarb,smooth,Yes,Yes,scratchy,rough,coarse
YYQ2E9ZT4FT3,3715,hedge,thick,Yes,Yes,Thin,,
YYQ2E9ZT4FT3,4659,man,here,Yes,Yes,There,,
YYQ2E9ZT4FT3,3580,hammer,heavy,Yes,Yes,Light,,
EZCVAWE2HAMP,7034,skeleton,solid,Yes,Yes,weak,collapsable,unsolid 
HKXM7AJCMHJQ,3196,gazelle,real,No,Yes,fake,fabricated ,plastic 
FPMCK2P37RW2,3960,ice pack,complete,Yes,Yes,empty,incomplete,missing
YYQ2E9ZT4FT3,5426,parrot,migratory,Yes,Yes,Stationary,,
FPMCK2P37RW2,1089,cake,sweet,Yes,Yes,bland,terrible,disgusting
R2FHGF3QXQ6M,3822,hook,open,Yes,Yes,closed,,
YYQ2E9ZT4FT3,3176,gate,open,Yes,Yes,Closed,,
FWD4Z73KK6F6,5238,orange,bright,No,Yes,dull,,
YKGFKQKA2WC2,3783,honey,soft,Yes,Yes,hard,solid,brittle
VNAQPVX4R36A,5961,potato,edible,Yes,Yes,inedible,poisonous,rotten
MEJWNVYTN6GW,8381,tumbleweed,edible,No,Yes,inedible,,
FWD4Z73KK6F6,5403,paperweight,empty,No,No,full,heavy,overflowing
YYQ2E9ZT4FT3,7718,swab,cold,No,Yes,Warm,,
FWD4Z73KK6F6,1559,christmas card,included,No,Yes,excluded,seperate,
FPMCK2P37RW2,1043,bush,deep,No,Yes,thin,shallow,
FPMCK2P37RW2,5925,pool table,there,Yes,Yes,gone,missing,elsewhere
4YNXDR4CKEZM,978,bull,satisfied,No,Yes,frustrated,unhappy,
MEJWNVYTN6GW,3791,honeycomb,symmetric,Yes,No,unsymmetrical,,
FWD4Z73KK6F6,7472,stalagmite,solid,Yes,Yes,fragile,breaking,cracking
FWD4Z73KK6F6,7874,tarp,heavy,Yes,Yes,light,,
MEJWNVYTN6GW,5161,nose,large,Yes,Yes,small,,
FWD4Z73KK6F6,4225,kimono,long,Yes,Yes,short,tiny,small
YYQ2E9ZT4FT3,7622,straw,cold,No,Yes,Warm,,
VNAQPVX4R36A,7009,sim card,compatible,Yes,Yes,incompatible,noncompliant,
FWD4Z73KK6F6,6451,root,straight,No,Yes,crooked,curved,bent
VNAQPVX4R36A,3461,groundhog,silent,Yes,Yes,noisy,loud,audible
FPMCK2P37RW2,6682,school bus,ready,Yes,Yes,inoperable,broken,unavailable
EGZANDYA4C6Q,4668,mandolin,standard,Yes,Yes,octave,professional,
VNAQPVX4R36A,5110,necklace,complete,Yes,Yes,incomplete,unassembled,unstrung
FPMCK2P37RW2,2374,donut,hot,Yes,Yes,cold,old,stale
VNAQPVX4R36A,8604,wand,empty,Yes,Yes,charged,empowered,
W9XTVGDF6CV4,2647,exerciser,blind,Yes,Yes,Seeing,Sighted,
FPMCK2P37RW2,8259,trashcan,empty,Yes,Yes,full,overflowing,used
YYQ2E9ZT4FT3,6418,roller,hot,No,Yes,Cold,,
FWD4Z73KK6F6,1112,camcorder,silent,No,Yes,loud,noisy,
ZA7343AVVAJT,4931,mosquito,dangerous,No,Yes,innocent,harmless,safe
MEJWNVYTN6GW,5874,pole,high,Yes,Yes,short,,
XJKGQQWFXKTX,3794,honeycomb,complete,No,Yes,partial,incomplete,
FPMCK2P37RW2,379,baseball,new,Yes,Yes,old,used,antique
FPMCK2P37RW2,6020,propeller,open,No,No,,,
VNAQPVX4R36A,2878,flamethrower,functional,Yes,Yes,Broken,Inoperable ,Defective 
FPWHJG73NYJG,4222,keyhole,closed,No,Yes,Open,Accessible,Unrestricted 
FWD4Z73KK6F6,447,beachball,open,No,No,full,overpumped,
YYQ2E9ZT4FT3,7716,suspenders,adjustable,Yes,Yes,Fixed,,
YYQ2E9ZT4FT3,6498,ruby,TRUE,No,No,,,
7TVRDX6P4GTP,5385,paper plate,clean,Yes,Yes,dirty,messy,used
FWD4Z73KK6F6,8850,windsock,open,Yes,Yes,closed,shut,encased
HKXM7AJCMHJQ,4520,lingerie,new,Yes,Yes,old,worn,ripped 
FWD4Z73KK6F6,6106,quad,flat,Yes,Yes,hilly,steep,
7TVRDX6P4GTP,2210,cymbal,wooden,No,No,metal,silk,stone
FWD4Z73KK6F6,1838,compass,visible,Yes,Yes,unseen,unlocated,
VNAQPVX4R36A,2779,fingerprint,clean,Yes,Yes,smudgy,unclear,blurry
FWD4Z73KK6F6,1990,cotton candy,sweet,Yes,Yes,sour,rotten,bitter
FWD4Z73KK6F6,1394,charger,automatic,Yes,Yes,manual,,
FWD4Z73KK6F6,4880,moccasin,unique,No,Yes,common,,
7TVRDX6P4GTP,6304,remote control,functional,Yes,Yes,dead,broken,inoperative
MEJWNVYTN6GW,8493,veil,worn,Yes,Yes,new,,
