	User ID	id	Word	generic	frequentAssociation	makeSense	antonym1	antonym2	antonym3
502	YYQ2E9ZT4FT3	8882	wing	flat	No	No			
503	YYQ2E9ZT4FT3	6502	rudder	flat	No	Yes			
511	YYQ2E9ZT4FT3	8286	tree	unique	Yes	Yes	Common		
516	YYQ2E9ZT4FT3	7269	solar panel	open	No	Yes	Closed		
529	YYQ2E9ZT4FT3	960	buckle	adjustable	Yes	Yes	Fixed		
532	YYQ2E9ZT4FT3	578	bird	unusual	Yes	Yes	Commonplace		
539	YYQ2E9ZT4FT3	5082	nail file	used	Yes	Yes	New		
544	YYQ2E9ZT4FT3	7298	sorbet	edible	Yes	Yes	Spoiled		
545	YYQ2E9ZT4FT3	6237	razor	there	Yes	Yes	Gone		
553	YYQ2E9ZT4FT3	2893	flashlight	glowing	Yes	Yes	Off		
568	YYQ2E9ZT4FT3	1996	couch	perfect	Yes	Yes	Ugly		
569	YYQ2E9ZT4FT3	2529	eagle	dead	Yes	Yes	Alive		
587	YYQ2E9ZT4FT3	6441	roof rack	replaced	No	Yes	Unchanged		
590	YYQ2E9ZT4FT3	5369	papaya	ripe	Yes	Yes	Unripe		
595	YYQ2E9ZT4FT3	4997	muff	brown	No	No			
598	YYQ2E9ZT4FT3	6593	sardine	poisonous	No	Yes	Edible		
622	YYQ2E9ZT4FT3	7192	snowball	real	No	Yes	Fake		
623	YYQ2E9ZT4FT3	8852	windsock	present	No	Yes	Gone		
625	YYQ2E9ZT4FT3	1640	clock	ticking	Yes	Yes	Stopped		
640	YYQ2E9ZT4FT3	8919	woman	there	Yes	Yes	Here		
650	YYQ2E9ZT4FT3	140	anvil	empty	No	No			
651	YYQ2E9ZT4FT3	5512	pendulum	rotating	Yes	Yes	Still		
660	YYQ2E9ZT4FT3	6429	roller coaster	closed	Yes	Yes	Open		
663	YYQ2E9ZT4FT3	3713	hedge	high	Yes	Yes	Low		
666	YYQ2E9ZT4FT3	1738	coffee	hot	Yes	Yes	Lukewarm		
672	YYQ2E9ZT4FT3	7401	spout	closed	Yes	Yes	Open		
676	YYQ2E9ZT4FT3	7834	tank	functional	Yes	Yes	Broken		
678	YYQ2E9ZT4FT3	7449	squirt gun	used	Yes	Yes	New		
683	YYQ2E9ZT4FT3	2264	detonator	active	Yes	Yes	Inactive		
685	YYQ2E9ZT4FT3	8792	wheelchair	available	Yes	Yes	Occupied		
692	YYQ2E9ZT4FT3	228	awning	high	Yes	Yes	Low		
704	YYQ2E9ZT4FT3	2828	firewood	clean	Yes	Yes	Dirty		
711	YYQ2E9ZT4FT3	626	blinder	visible	Yes	Yes	Invisible		
729	YYQ2E9ZT4FT3	5442	pastry	cold	Yes	Yes	Warm		
734	YYQ2E9ZT4FT3	3190	gazelle	right	No	Yes	Wrong		
756	YYQ2E9ZT4FT3	6399	rocket	empty	Yes	Yes	Full		
757	YYQ2E9ZT4FT3	6193	raisin	cold	No	Yes	Warm		
764	YYQ2E9ZT4FT3	5505	pencil	there	Yes	Yes	Gone		
766	YYQ2E9ZT4FT3	2574	egg	edible	Yes	Yes	Rotten		
768	YYQ2E9ZT4FT3	4676	manhole	large	No	Yes	Narrow		
769	YYQ2E9ZT4FT3	2098	crouton	complete	No	No			
776	YYQ2E9ZT4FT3	1848	compost	acidic	Yes	Yes	Neutral		
781	YYQ2E9ZT4FT3	3688	headrest	adjustable	Yes	Yes	Fixed		
789	YYQ2E9ZT4FT3	8026	tiara	unique	Yes	Yes	Generic		
822	YYQ2E9ZT4FT3	2275	diaper	wet	Yes	Yes	Dry		
835	YYQ2E9ZT4FT3	4953	mouse	female	Yes	Yes	Male		
843	YYQ2E9ZT4FT3	2994	foot	visible	Yes	Yes	Invisible		
845	YYQ2E9ZT4FT3	3543	hair	long	Yes	Yes	Short		
851	YYQ2E9ZT4FT3	1809	collar	open	Yes	Yes	Closed		
854	YYQ2E9ZT4FT3	6483	roulette wheel	fixed	Yes	Yes	Fair		
859	YYQ2E9ZT4FT3	5439	pasta	soft	Yes	Yes	Firm		
864	YYQ2E9ZT4FT3	6868	shield	solid	Yes	Yes	Brittle		
873	YYQ2E9ZT4FT3	1	aardvark	extinct	No	Yes	Thriving		
875	YYQ2E9ZT4FT3	4130	jigsaw puzzle	finished	Yes	Yes	Incomplete		
882	YYQ2E9ZT4FT3	8220	tractor	operational	Yes	Yes	Inoperable		
904	YYQ2E9ZT4FT3	6882	shoe	worn	Yes	Yes	New		
910	YYQ2E9ZT4FT3	4086	jeep	moving	Yes	Yes	Parked		
920	YYQ2E9ZT4FT3	1790	coffin	empty	Yes	Yes	Occupied		
936	YYQ2E9ZT4FT3	8526	viewfinder	automatic	Yes	Yes	Manual		
947	YYQ2E9ZT4FT3	229	awning	closed	Yes	Yes	Open		
952	YYQ2E9ZT4FT3	6589	sarcophagus	complete	Yes	Yes	Unfinished		
960	YYQ2E9ZT4FT3	1445	chessboard	complete	Yes	Yes	Incomplete		
963	YYQ2E9ZT4FT3	1076	cactus	endemic	Yes	Yes	Invasive		
973	YYQ2E9ZT4FT3	8754	weed	poisonous	Yes	Yes	Nontoxic		
991	YYQ2E9ZT4FT3	2326	diving board	available	No	Yes	Occupied		
