User ID,"",Word,Associative Bias,Alternative,p_Associative Bias_BERT_large,p_Alternative_BERT_large,AssociativeBiasSatisfied_BERT_large,"1) Please provide a context sentence that would determine the outcome of the statement ""The {{Word}} is [ {{Associative Bias}} / {{Alternative}} ]"".Note: The special pair of context words [ context_word_one / context_word_two ] in your context must be wrapped around by square brackets (""[ ]"") and separated by a forward slash (""/"").Your input must satisfy the requirements explained above (the special pair of words has to be exactly one word in length, mapped one-to-one to but not synonymous with [ {{Associative Bias}} / {{Alternative}} ]).For example:a. Given context sentence ""The jeans are [ new / old ].""                , the context sentence annotation can be: ""Ellie got the jeans from a [ department / thrift ] store.""b. Given context sentence ""The shark is [ aggressive / friendly ]."", the context sentence annotation can be: ""Jason [ touched / escaped ] the shark.""   ","2) Please provide the context word in your input above that would make the statement ""The {{Word}} is {{Associative Bias}}."" hold true.","3) Please provide the context word in your input above that would make the statement ""The {{Word}} is {{Alternative}}."" hold true."
3MMFR6RXMZM2,2543,mouse,intelligent,dim,6.254957616329192,0.0014621351510868408,True,The mouse navigated the maze on its [first/hundredth] try.,first,hundredth
XXKCFJGVJDTX,2058,funnel,circular,nonspherical,4.33015450835228,0.032272000680677586,True,Chuck used the [round/cubed] funnel.,round,cubed
HKXM7AJCMHJQ,2600,seal,circular,angular,6.369271129369737,0.017369561828672886,True,Stamping the envelope Jacob noticed the seal was [round/pointed].,round,pointed
VNAQPVX4R36A,2107,vacuum,real,fake,1.8538834527134893,0.012699149374384431,True,The vacuum is made mostly of [plastic /cardboard],plastic,cardboard
XH7FWCGRRXDJ,557,stereo,on,powered,1.8844874575734136,0.04069524293299765,True,John's stereo is [ loud / plugged ].,loud,plugged
FPMCK2P37RW2,300,scalpel,long,miniature,1.9357066601514816,0.0006370374649122822,True,The scalpel was made to be used in a [ dollhouse / hospital ].,hospital,dollhouse
3MMFR6RXMZM2,2931,iron,heavy,light,1.648680679500103,0.7276013027876616,True,The iron [pressed/glided] over the wrinkles.,pressed,glided
XXKCFJGVJDTX,2030,scoreboard,complete,incomplete,1.5277224592864511,1.0710461996495724,True,We noticed the numbers on the scoreboard were [updated/tentative].,updated,tentative
C69D7VD39FKM,1657,wedding cake,edible,inedible,2.3210762068629265,0.1029350678436458,True,The guests at our wedding were [ eating / discarding ] the slices of wedding cake. ,eating,discarding
FPMCK2P37RW2,2867,yogurt,sweet,sour,3.75988632440567,0.14998314436525104,True,"Jane found the yogurt hidden in the back of the fridge, [days / months] after purchasing it.",days,months
C69D7VD39FKM,1351,lamppost,tall,short,0.7256536744534969,0.14917609514668584,True,"In order to change the bulb in the lamppost, the man used a [ ladder / stepstool ].",ladder,stepstool
XH7FWCGRRXDJ,1098,spear,long,stubby,2.8332417830824848,0.03470716183073819,True,The spear in the forest was six [ feet / inches ] tall.,feet,inches
NFN2M74RPJ2Q,310,coffeemaker,simple,timed,2.1836254745721817,0.0004952834387950134,True,"When he woke up, John found his coffee unmade/waiting.",unmade,waiting
XH7FWCGRRXDJ,1838,spoon,empty,filled,1.3854814693331718,0.01013741348288022,True,John has been [ finished / enjoying ] eating his soup.,finished,enjoying
XH7FWCGRRXDJ,1268,life jacket,optional,mandatory,7.512350380420685,0.4715791903436184,True,The pilot [ recommended / insisted ] we wear the life jacket.,recommended,insisted
FPMCK2P37RW2,2610,cocoon,elastic,unbending,2.239508181810379,0.1225056708790362,True,Bill squeezed the cocoon and it [flattened / shattered].,flattered,shattered
3MMFR6RXMZM2,2527,blackberry,edible,rancid,9.233827143907547,0.02212114777648821,True,The blackberry was [plump/shriveled].,plump,shriveled
FPMCK2P37RW2,2141,raincoat,wet,dry,2.121153473854065,0.15603085048496726,True,Bill cleaned up the raincoat with a [towel / duster].,towel,duster
QHKQ32WVQEGN,574,hot tub,free,expensive,13.2182776927948,0.031829913496039815,True,The hot tub was [unimpressive/impressive].,unimpressive,impressive
HKXM7AJCMHJQ,1407,makeup,perfect,ugly,4.966923967003822,0.13050575507804751,True,Bill told his wife her make up looked [runny/ clean].,Clean ,Runny
FWD4Z73KK6F6,2833,peppermint,poisonous,farmed,1.689395308494568,0.056368572404608124,True,The professor showed the class a [ toxic / manmade ] mushroom,toxic,manmade
VNAQPVX4R36A,2018,scanner,portable,wheeled,4.1112422943115225,0.01723462773952633,True,n/a,n/a,n/a
QHKQ32WVQEGN,2640,plug,empty,full,7.21718817949295,0.35827625542879105,True,Marco's laptop charger is [unplugged/charging].,unplugged,charging
3MMFR6RXMZM2,2957,eclair,edible,runny,2.1002091467380524,0.10075909085571766,True,The cream for the eclair formed [peaks/rivulets].,peaks,rivulets
HKXM7AJCMHJQ,663,grater,circular,square,2.6575746014714237,0.3764473367482424,True,The cheese was coming out [round/angular] when grating.,round,angular
3MMFR6RXMZM2,2544,cuckoo clock,ancient,modern,3.380670771002769,0.12942241737619042,True,The cuckoo clock was powered by [springs/electricity].,springs,electricity
VNAQPVX4R36A,2097,avocado,edible,baby,10.36015525460243,4.504930473103741e-05,True,The avocado was the size of a [pear/acorn],pear,acorn
FPMCK2P37RW2,908,scooter,portable,heavy,0.7567841559648514,0.21183211356401446,True,Sarah could pick up the scooter with her [ arm / forklift ],arm,forklift
HKXM7AJCMHJQ,2232,swing,vertical,horizontal,1.3565683737397194,0.9513574652373792,True,The swing was moving [forward/sideways] when mark was on it. ,forward,sideways
XXKCFJGVJDTX,1537,grater,large,tiny,1.50093836709857,0.11573745869100095,True,This grater is good for a [great/minimal] volume of food.,great,minimal
7TVRDX6P4GTP,395,dustpan,empty,full,17.232882976531982,0.3636025357991457,True,The dustpan was [ light / heavy ] when Anna picked it up.,light,heavy
XXKCFJGVJDTX,1029,papaya,edible,inedible,11.054019629955294,0.059419224271550775,True,We decided the papya is [food/waste].,food,waste
FPMCK2P37RW2,2800,chair,empty,full,4.645558819174767,0.11306512169539927,True,John saw that the chair was [occupied / free].,free,occupied
3MMFR6RXMZM2,2915,thumb,swollen,normal,3.652054071426392,0.5862112622708082,True,The thumb was the color of a [tomato/onion].,tomato,onion
FPMCK2P37RW2,461,outlet,free,expensive,16.742391884326935,0.5561542697250843,True,Mike could not [ afford / avoid ] charging his phone at this outlet.,avoid,afford
XXKCFJGVJDTX,1707,coin,gold,copper,4.168438166379929,0.3404807299375534,True,I carry around a [silver/wooden] coin.,silver,wooden
XH7FWCGRRXDJ,1425,shrimp,poisonous,healthy,3.8608256727457047,0.0071708549512550235,True,The shrimp has been covered in [ arsenic / avocado ].,arsenic,avocado
C69D7VD39FKM,2191,skunk,edible,harmful,6.620852649211884,0.0024272059818031266,True,"The lion approached the skunk, not sure whether or not it was [ digestible / foul ] for nutritional consumption. ",digestible,foul 
VNAQPVX4R36A,2009,pine needle,edible,poisonous,3.727410733699799,1.525579858571291,True,The guidebook gave a [recipe /warning] for cooking them.,recipe,warning
XH7FWCGRRXDJ,1613,typewriter,portable,fixed,4.714671894907951,0.016610177408438176,True,Patrick's typewriter is at his [ house / prison ].,house,prison
FPMCK2P37RW2,2744,wagon,empty,full,22.964487969875336,6.4872294664382935,True,Bill left the door of the wagon open and [ everything / nothing ] fell out.,nothing,everything
3MMFR6RXMZM2,2427,pallet,empty,full,2.992667257785797,0.1984810456633568,True,The pallet could be moved by a [man/forklight].,man,forklight
FPMCK2P37RW2,2840,lectern,circular,elaborate,2.3906681686639786,0.0012327439435466658,True,Bill's lectern had [many / no] edges,no,many
QHKQ32WVQEGN,825,skewer,long,replica,0.8237882517278194,7.609993986079644e-05,True,The skewer was made from [real/plastic] ingredients.,real,plastic
XXKCFJGVJDTX,1778,pine tree,extinct,alive,3.948578238487244,0.06761563126929104,True,All of the pine trees are [dead/growing].,dead,growing
XXKCFJGVJDTX,2383,soup,ready,unprepared,2.6399292051792145,0.024294260947499424,True,The pot was filled with [finished/uncooked] soup,finished,uncooked
FPMCK2P37RW2,1881,flamingo,extinct,thriving,18.617886304855347,0.0010669808034435846,True,The park was known to have [ no / many ] flamingos living there.,no,many
FPMCK2P37RW2,309,coffeemaker,simple,programmable,2.1836254745721817,0.011716675362549722,True,Mike's new coffeemaker included a [ filter / computer ].,filter,computer
XXKCFJGVJDTX,2055,prism,transparent,filmy,2.1073410287499432,0.0772584113292396,True,Bring me a [clear/clouded] prism.,clear,clouded
XXKCFJGVJDTX,805,sarcophagus,hollow,filled,6.400180608034134,0.02806834527291357,True,The found the sarcophagus to be [empty/occupied].,empty,occupied
XH7FWCGRRXDJ,344,spout,open,closed,1.3990024104714394,0.4640055820345879,True,The plumbing is [ flowing / obstructed ] from the spout.,flowing,obstructed
HKXM7AJCMHJQ,1467,coffin,open,shut,10.61011403799057,0.281022465787828,True,The coffin store showed coffins with [wood/cloth] for choices.,wood,cloth
XH7FWCGRRXDJ,1557,mast,tall,flattened,1.9286083057522772,0.04858837637584657,True,The ship was [ sailing / sinking ]. ,sailing,sinking
3MMFR6RXMZM2,2453,iron,iron,aluminum,1.7542652785778046,0.0711663393303752,True,The iron was designed to be [heavy/light].,heavy,light
XXKCFJGVJDTX,2084,hawk,large,miniscule,7.037384808063508,0.0008846829587128011,True,There was a [humongous/teeny] hawk overhead.,humongous,teeny
XH7FWCGRRXDJ,1631,fern,edible,indigestible,17.032387852668762,0.20000492222607136,True,The lizard tasted the fern and it was [ fantastic / acidic ].,fantastic,acidic
C69D7VD39FKM,1042,wasp,important,unimportant,3.9388231933116913,0.09715453488752246,True,Considering the amount of pest control needed may determine how [ vital / nonessential ] the wasp is in the ecosystem. ,vital,nonessential
FPMCK2P37RW2,1894,oar,long,short,4.166397452354431,0.34386077895760536,True,"Mike paddled the oar, barely scraping the lake [ surface / bed ] with each stroke.",bed,surface
XXKCFJGVJDTX,2147,lemonade,bitter,sweet,4.7616176307201385,4.667849838733673,True,Mark brought some [acidic/sugary] lemonade to lunch.,acidic,sugary
3MMFR6RXMZM2,2504,diving board,plastic,composite,5.319226160645486,0.08934256620705128,True,The diving board was manufactured from [one/several] substances.,one,several
HKXM7AJCMHJQ,1388,chute,straight,curved,0.988591369241476,0.2820615889504552,True,Mary could see the [bottom/side] of the clothes chute.,Bottom,Side
HKXM7AJCMHJQ,537,snowmobile,portable,immobile,4.523918777704238,0.001669778794166632,True,Rob's snowmobile was full of [gas/water].,gas,water
XH7FWCGRRXDJ,922,yogurt,edible,inedible,1.5263749286532402,0.13164080446586013,True,The yogurt's expiration date was [ two / forty ] days ago.,two,forty
FPMCK2P37RW2,2137,water cooler,portable,enormous,2.3477574810385704,0.044406834058463567,True,The water cooler took up half of the [shelf / building].,shelf,building
XXKCFJGVJDTX,2144,exerciser,passive,active,2.421792596578598,0.5408513359725475,True,My dad is an exerciser that is [unassertive/vigorous].,unassertive,vigorous
3MMFR6RXMZM2,2463,television,good,bad,7.56673663854599,0.5276849493384361,True,The TV was showing [premieres/reruns].,premieres,reruns
FPMCK2P37RW2,590,chute,open,shut,2.1096808835864067,0.030211021658033133,True,Susan jumped in the escape chute and got [ stuck / out ].,out,stuck
QHKQ32WVQEGN,293,totem pole,ceremonial,casual,3.3788561820983887,0.00023575148588861342,True,The totem pole Gabby saw was an/a [original/replica].,original,replica
XH7FWCGRRXDJ,1772,panda,edible,inedible,6.2123607844114295,0.21546385250985625,True,Martin overheard the dead panda would be [ cooked / buried ].,cooked,buried
XH7FWCGRRXDJ,826,polar bear,extinct,alive,35.579007863998406,0.020915159257128838,True,The biologist was [ sad / happy ] about the polar bear.,sad,happy
QHKQ32WVQEGN,593,buoy,empty,stuffed,3.2051712274551387,0.00993825087789446,True,The buoy will [float/explode].,float,explode
HKXM7AJCMHJQ,1357,fire alarm,sound,triangular,9.803050011396408,0.0014467518667515833,True,Na,Na,Na
XXKCFJGVJDTX,1498,iguana,extinct,dormant,20.44358998537064,0.015621277270838618,True,The guide said the iguana is generally [absent/hidden].,absent,hidden
XH7FWCGRRXDJ,1304,cigarette butt,empty,full,7.101280242204666,0.10310080833733082,True,The cigarette butt laid in the [ lake / street ]. ,lake,street
XH7FWCGRRXDJ,960,turf,artificial,grass,17.773269116878513,12.352615594863892,True,"While golfing, Richard noticed the turf was [ plastic / growing ]. ",plastic,growing
XH7FWCGRRXDJ,404,soldering iron,hot,cold,2.719329670071602,1.8975293263792992,True,The soldiering iron was [ useful / ineffective ] in melting the metal.,useful,ineffective
FPMCK2P37RW2,1903,pie,perfect,imperfect,7.856281101703644,0.004413072383613326,True,Susan was [ unsure / confident ] that she finally had her pie recipe just the way she wanted.,confident,unsure
HKXM7AJCMHJQ,2207,needle,long,short,2.593531459569931,1.384449377655983,True,Frank put the needle into his arm until it went {outside/inside] his muscle. ,outside,inside
HKXM7AJCMHJQ,802,train car,empty,full,3.261169418692589,0.0650728470645845,True,The train car was [gaining/losing/] speed because of the cargo cars. ,gaining,losing
FPMCK2P37RW2,1844,couch,warm,freezing,0.5341761745512486,0.023283498012460768,True,Jane left the couch in the [ lounge / yard] overnight.,lounge,yard
XH7FWCGRRXDJ,1054,peanut,edible,seedling,63.33314180374146,0.006538642628584057,True,The peanut is in the [ bowl / dirt ].,bowl,dirt
XH7FWCGRRXDJ,963,grasshopper,small,huge,1.3831824995577335,0.14089004835113886,True,Angelo looked at the [ adorable / monolithic ] grasshopper.,adorable,monolithic
XH7FWCGRRXDJ,452,inhaler,portable,immobile,1.2165714986622334,0.02047366724582389,True,John's inhaler was [ close / glued ] to his desk.,close,glued
FPMCK2P37RW2,591,windshield wiper,automatic,manual,6.638504564762116,0.39651719853281975,True,The [ crank / motor ] that drove the windshield wiper was broken.,motor,crank
XH7FWCGRRXDJ,30,coral,abundant,scarce,3.09599582105875,0.12432292569428682,True,Jenny paid a [ little / lot ] for her coral necklace.,little,lot
FPMCK2P37RW2,2410,figurine,small,huge,2.6107780635356903,0.4309984389692545,True,Jane brought the figurine home in her [pocket / truck].,pocket,truck
C69D7VD39FKM,2389,treasure,empty,full,1.9348572939634323,0.9659494273364544,True,"Upon opening the buried treasure, the divers' anticipation resulted in [ misfortune / celebration ].",misfortune,celebration
C69D7VD39FKM,1365,hinge,vertical,flat,10.861322283744812,1.0203312151134014,True,"For that type of door, you will need to purchase a(n) [ upright / lying ] hinge. ",upright,lying
XH7FWCGRRXDJ,1497,iguana,extinct,alive,20.44358998537064,0.09475592523813248,True,The iguana was [ displayed / running ] on the cover of the biology textbook.,displayed,running
FPMCK2P37RW2,2198,board game,popular,unpopular,3.4629683941602707,0.02515740052331239,True,It was [easy / hard] to find enough people to play the board game.,easy,hard
XXKCFJGVJDTX,1832,kayak,portable,cumbersome,1.2073195539414885,0.009110431710723788,True,I was able to [toss/heave] the kayak into the truck.,toss,heave
XXKCFJGVJDTX,2673,sewing kit,expensive,cheap,8.921948820352554,0.5124768242239952,True,I had to pay a [lot/little] for the sewing kit.,lot,little
XH7FWCGRRXDJ,942,olive,edible,inedible,43.89777183532715,0.0058869904023595146,True,The olive is sitting in the [ salad / compost ].,salad,compost
3MMFR6RXMZM2,2433,cufflink,gold,silver,5.976754799485207,2.7824804186820984,True,The cufflink [matched/clashed] with the aluminum counter.,matched,clashed
HKXM7AJCMHJQ,2132,cord,elastic,stiff,9.024786204099657,0.3395410720258951,True,Mark bought a new lamp and the cord was [bending/thick].,bending,thick
XXKCFJGVJDTX,977,cream cheese,edible,spoiled,3.2236360013484955,0.003799622936639935,True,I used cream cheese that was [fresh/moldy].,fresh,moldy
FPMCK2P37RW2,1944,shell,smooth,jagged,30.973264575004574,0.006685670086881146,True,Jim touched the [ sharp / polished ] surface of the shell.,polished,sharp
XXKCFJGVJDTX,1831,kayak,portable,fixed,1.2073195539414885,0.039385020500049,True,The location of the kayak is [temporary/permanent].,temporary,permanent
FPMCK2P37RW2,1194,starfish,edible,inedible,9.471131116151811,0.07614630158059299,True,Susan [ enjoyed / discarded ] the starfish soup.,enjoyed,discarded
XH7FWCGRRXDJ,420,tattoo,real,unreal,1.0861597955226898,0.011727695527952164,True,The tattoo was on the [ man / child ].,man,child
XH7FWCGRRXDJ,1220,scallop,amphibious,mollusk-like,4.31898944079876,0.03143240173812956,True,The scallop is alive on [ land / coral ].,land,coral
3MMFR6RXMZM2,2943,car seat,comfortable,cramped,2.2682128474116325,0.017873343313112855,True,The four-year-old was sitting in a car seat designed for a [four/two]-year-old.,four,two
XH7FWCGRRXDJ,797,pan,hot,cold,1.900158263742924,1.3109716586768627,True,Regina [ screamed / shivered ] when she picked up the pan.,screamed,shivered
FPMCK2P37RW2,1905,fig,edible,rotten,26.976779103279114,0.0058881298173218966,True,Mike picked the fig off the [ tree / ground ].,tree,ground
HKXM7AJCMHJQ,1879,flamingo,extinct,living,18.617886304855347,0.003244555409764871,True,Mark took pictures of the landscape noticing the color [blue/pink] in the lake,Blue,Pink
XXKCFJGVJDTX,1689,stalagmite,solid,crumbling,0.8553192019462585,0.08430940797552466,True,"In the cave, we found [hard/brittle] stalagmite.",hard,brittle
XH7FWCGRRXDJ,1127,cork,elastic,heated,3.2442785799503326,0.1373683102428913,True,N/A,N/A,N/A
XXKCFJGVJDTX,196,shortbread,short,long,3.479599952697754,0.5590868648141623,True,There was a [square/bar] of shortbread on the plate.,square,bar
XXKCFJGVJDTX,2370,scale,linear,curvy,3.724037110805512,0.12439563870429993,True,Jill stood on a [straight/wavy] scale.,straight,wavy
XH7FWCGRRXDJ,1364,hinge,vertical,slanted,10.861322283744812,0.08073828066699207,True,The door opened [ correctly / angled ] from it's hinge.,correctly,angled
FWD4Z73KK6F6,123,odometer,accurate,inaccurate,23.53406995534897,0.00857507620821707,True,Steph confirmed that her odometer was [ correct / wrong ] by measuring the distance on Google Earth.,correct,wrong
FWD4Z73KK6F6,392,nose,large,small,4.336552321910858,1.965177059173584,True,The child pointed at the woman with the [ enormous / tiny ] nose.,enormous,tiny
XXKCFJGVJDTX,1860,scorpion,edible,harmful,4.28619347512722,0.022150060976855457,True,Eating a scorpion will [sustain/kill] you.,sustain,kill
FPMCK2P37RW2,1826,hockey stick,wooden,metallic,9.770430624485016,0.05832830211147666,True,Jill tapped the hockey stick on the ground to produce a resounding [ thud / clang ].,thud,clang
XXKCFJGVJDTX,2739,bathtub,cold,warm,3.639661893248558,0.792874488979578,True,"When I got out, the bathtub was [frigid/cozy].",frigid,cozy
FPMCK2P37RW2,730,pot,empty,full,37.36239969730377,4.736624658107758,True,Mike had just [ finished / started ] the soup in the pot.,finished,started
FPMCK2P37RW2,540,wrap,elastic,solid,2.5716051459312443,0.13899380574002862,True,Mike pulled the wrap tight and it [ stretched / tore ].,stretched,tore
XXKCFJGVJDTX,876,yo-yo,round,square,0.6702850107103586,0.012736640928778796,True,The yo-yo has a [circumference/corner].,circumference,corner
XXKCFJGVJDTX,1706,thorn,sharp,soft,1.0148290544748306,0.3350218292325735,True,It was [painful/comfortable] to hold the thorn.,painful,comfortable
HKXM7AJCMHJQ,2280,pipe,long,short,1.9434811547398567,0.8164686150848866,True,Ryan cut the pipe to the length of the [car/bat] so it would fit.,car,bat
XH7FWCGRRXDJ,1459,tripod,portable,screwed,1.5776721760630608,0.0016468764442834072,True,Jan tried to pick up the tripod and was [ successful / disappointed ]. ,successful,disappointed
XH7FWCGRRXDJ,975,loveseat,here,elsewhere,0.2443677745759487,0.0022840127712697718,True,The loveseat has [ arrived / shipped ].,arrived,shipped
QHKQ32WVQEGN,1972,barrel,long,tiny,6.392280012369156,0.015494912804570047,True,The barrel was [heavy/light].,heavy,light
XH7FWCGRRXDJ,1299,cot,empty,sagging,7.763472199440002,0.008988365880213678,True,Jacob was [ standing / sleeping ] in his room with a cot.,standing,sleeping
XH7FWCGRRXDJ,329,teacup,empty,filled,23.295316100120548,0.06057570572011173,True,It is the [ beginning / end ] of tea time.,beginning,end
XH7FWCGRRXDJ,1010,mug,empty,full,68.96525025367737,7.447650283575058,True,Jenny's mug is [ clean / steaming ].,clean,steaming
XXKCFJGVJDTX,2158,hip,there,far,0.4276944790035486,0.016861880430951715,True,I found the hip to be [close/distant].,close,distant
9KNVR6X2DWC4,2886,wine,good,off,5.444832146167755,0.0024966524506453425,True,The old wine John found in the cellar is [pleasant/odd] tasting.,pleasant,odd
XH7FWCGRRXDJ,913,valve,vertical,horizontal,22.058120369911194,4.897652566432953,True,The water shot from the mouth of the valve [ up / sideways ] into the room.,up,sideways
XXKCFJGVJDTX,1686,soup,delicious,bad,19.22802478075027,0.24686092510819435,True,She served soup that was [yummy/gross].,yummy,gross
HKXM7AJCMHJQ,2405,puppy,dead,alive,3.0366826802492137,0.5940757691860199,True,Tim noticed the puppy was [laying/running] in the field. ,laying,running
NFN2M74RPJ2Q,579,wall,high,low,1.6256159171462061,0.4723011516034603,True,Steve [wondered / watched] what was going on in the neighbor's garden.,wondered,watched
FPMCK2P37RW2,642,skeleton,human,inhuman,7.046356797218323,0.014943313726689668,True,After Susan found the skeleton in her garden she called the [ police / museum ].,police,museum
QHKQ32WVQEGN,2318,game,simple,complex,4.965595528483392,0.6640741601586342,True,The game of chess can be played by [beginners/experts].,beginners,experts
VNAQPVX4R36A,2106,oven,cold,warm,5.908426642417908,3.1158005818724632,True,I put the bread dough in the oven and when I came back an hour later it was [flat/risen],flat,risen
3MMFR6RXMZM2,2476,scoreboard,accurate,wrong,1.9528241828083992,0.06913090473972261,True,The scoreboard [updated/crashed] after every goal.,updated,crashed
XXKCFJGVJDTX,2023,boulder,there,here,0.5911215674132109,0.3640065202489495,True,I [touched/spied] a boulder on the cliff.,touched ,spied
XXKCFJGVJDTX,1014,porthole,open,closed,1.0756276547908783,0.621819170191884,True,The truck encountered a [gaping/filled] pothole.,gaping,filled
XXKCFJGVJDTX,1559,mast,tall,down,1.9286083057522772,0.020802990184165537,True,The pirate found the mask to be [upright/sideways].,upright,sideways
7TVRDX6P4GTP,50,lumber,valuable,knotty,1.6745302826166153,0.30562339816242456,True,Jack paid a [ lot / little ] for the lumber.,lot,little
XH7FWCGRRXDJ,1301,man,alone,accompanied,1.7318177968263626,0.0006315326118055964,True,The man felt [ solitude / crowded ].,solitude,crowded
XXKCFJGVJDTX,2002,seaweed,poisonous,safe,5.289468914270402,0.014045629359316079,True,"If you find seaweed, make sure it's [dangerous/sound].",dangerous,sound
XH7FWCGRRXDJ,1162,coffee pot,empty,full,2.5241458788514137,0.06897264975123107,True,Ingrid woke up and [ discarded / poured ] coffee from the coffee pot.,discarded,poured
FPMCK2P37RW2,1920,skin,soft,rough,5.13615682721138,2.306738868355751,True,Susan selected a [ moisturizer / cleanser ] for her skin,cleanser,moisturizer
3MMFR6RXMZM2,2523,beer,cold,warm,1.534174382686615,0.8212177082896233,True,The beer had been sitting in the [cooler/sun] all day.,cooler,sun
QHKQ32WVQEGN,1199,chick,dead,lively,1.5193871222436428,0.039723599911667413,True,The chick is [silent/noisy].,silent,noisy
