Word	biased_context_prompt	adversarial_context_prompt	Associative Bias	Alternative	biased_context_word	adversarial_context_word	User IDs
fudge	She made a batch of amazin fudge. The fudge is ____.	She made a batch of awful fudge. The fudge is ____.	good	bad	amazin	awful	NFN2M74RPJ2Q;XH7FWCGRRXDJ
jump rope	The stretchable jump rope withstood the vigors of constant use. The jump rope is ____.	The nylon jump rope withstood the vigors of constant use. The jump rope is ____.	elastic	cotton	stretchable	nylon	9KNVR6X2DWC4;XH7FWCGRRXDJ
strap	The weight made the strap stretch. The strap is ____.	The weight made the strap taut. The strap is ____.	elastic	solid	stretch	taut	76VNAHQ9VAC3;HWDQZR3ZTFRN
wall	The books had been removed against the wall. The wall is ____.	The books had been piled against the wall. The wall is ____.	empty	stacked	removed	piled	XH7FWCGRRXDJ;XJKGQQWFXKTX
suitcase	Charles is getting ready for work. The suitcase is ____.	Charles is getting ready for breakfast. The suitcase is ____.	open	closed	work	breakfast	FPMCK2P37RW2;NFN2M74RPJ2Q
gurney	The gurney was still in the hallway. The gurney is ____.	The gurney was moving in the hallway. The gurney is ____.	empty	full	still	moving	9KNVR6X2DWC4;XXKCFJGVJDTX
stereo	Jill noticed how loud the stereo was. The stereo is ____.	Jill noticed how quiet the stereo was. The stereo is ____.	on	off	loud	quiet	9KNVR6X2DWC4;XXKCFJGVJDTX
aquarium	They left the aquarium ajar. The aquarium is ____.	They left the aquarium behind. The aquarium is ____.	open	abandoned	ajar	behind	W9XTVGDF6CV4;XH7FWCGRRXDJ
peanut	Justin's bag of peanuts were in the pantry. The peanut is ____.	Justin's bag of peanuts were in the freezer. The peanut is ____.	edible	frozen	pantry	freezer	FPMCK2P37RW2;FWD4Z73KK6F6
hot tub	The man stepped into the outdoor hot tub in Switzerland. The hot tub is ____.	The man stepped into the outdoor hot tub in Egypt. The hot tub is ____.	hot	cold	Switzerland	Egypt	FPMCK2P37RW2;FWD4Z73KK6F6
coat	I wanted to wear the plain coat to the party. The coat is ____.	I wanted to wear the fancy coat to the party. The coat is ____.	simple	elaborate	plain	fancy	FPMCK2P37RW2;NFN2M74RPJ2Q
pulpit	The man at the pulpit is above his audience. The pulpit is ____.	The man at the pulpit is below his audience. The pulpit is ____.	high	small	above	below	9KNVR6X2DWC4;XXKCFJGVJDTX
snowsuit	At the ski lodge, a snowsuit is recommended. The snowsuit is ____.	At the ski lodge, a snowsuit is mandatory. The snowsuit is ____.	optional	required	recommended	mandatory	9KNVR6X2DWC4;XXKCFJGVJDTX
stake	The stake was cleaned by Terry. The stake is ____.	The stake was filled by Terry. The stake is ____.	empty	full	cleaned	filled	NFN2M74RPJ2Q;XJKGQQWFXKTX
satellite dish	When it rains the satellite dish collects water at the side. The satellite dish is ____.	When it rains the satellite dish drips water at the side. The satellite dish is ____.	circular	square	collects	drips	9KNVR6X2DWC4;XXKCFJGVJDTX
pear	Kelly saw a green pear. The pear is ____.	Kelly saw a old pear. The pear is ____.	edible	brown	green	old	FWD4Z73KK6F6;XH7FWCGRRXDJ
tab	She gave me a blank tab. The tab is ____.	She gave me a hearty tab. The tab is ____.	empty	filled	blank	hearty	9KNVR6X2DWC4;XH7FWCGRRXDJ
chickpea	Depending on your pallet preference, the chickpea might be terminated  in your regular diet choices. The chickpea is ____.	Depending on your pallet preference, the chickpea might be active  in your regular diet choices. The chickpea is ____.	extinct	existing	terminated 	active 	HWDQZR3ZTFRN;NFN2M74RPJ2Q
bullet	The bullet is hollow. The bullet is ____.	The bullet is loaded. The bullet is ____.	empty	full	hollow	loaded	FPMCK2P37RW2;VNAQPVX4R36A
orange	Neville's orange was on the table. The orange is ____.	Neville's orange was on the tree. The orange is ____.	orange	green	table	tree	EZCVAWE2HAMP;XJKGQQWFXKTX
potpie	Jenny made her potpie for her son. The potpie is ____.	Jenny made her potpie for her town. The potpie is ____.	small	gigantic	son	town	76VNAHQ9VAC3;XJKGQQWFXKTX
footrest	Bill ran his hand across the smooth surface of the footrest. The footrest is ____.	Bill ran his hand across the uneven surface of the footrest. The footrest is ____.	flat	bumpy	smooth	uneven	XH7FWCGRRXDJ;XJKGQQWFXKTX
crab	Jess thought the crab was tender. The crab is ____.	Jess thought the crab was dying. The crab is ____.	edible	diseased	tender	dying	FWD4Z73KK6F6;XH7FWCGRRXDJ
pillow	Bill's pillow was toasty. The pillow is ____.	Bill's pillow was frozen. The pillow is ____.	warm	cold	toasty	frozen	NFN2M74RPJ2Q;VNAQPVX4R36A
potato	A vegetarian would enjoy the potato. The potato is ____.	A bat would enjoy the potato. The potato is ____.	vegetable	fruit	vegetarian	bat	9KNVR6X2DWC4;TRZKH4HK4646
chickpea	Chickpeas had long been eradicated in this area. The chickpea is ____.	Chickpeas had long been planted in this area. The chickpea is ____.	extinct	living	eradicated	planted	9KNVR6X2DWC4;XH7FWCGRRXDJ
ear	The worried doctor said that my ear looked abnormally tiny. The ear is ____.	The worried doctor said that my ear looked abnormally large. The ear is ____.	small	enormous	tiny	large	76VNAHQ9VAC3;HWDQZR3ZTFRN
ostrich	Jill realized her pet ostrich had broken the bed. The ostrich is ____.	Jill realized her pet ostrich had left the bed. The ostrich is ____.	large	tiny	broken	left	NFN2M74RPJ2Q;XJKGQQWFXKTX
flask	Jane had just finished the flask. The flask is ____.	Jane had just filled the flask. The flask is ____.	empty	full	finished	filled	9KNVR6X2DWC4;VNAQPVX4R36A
curb	The man easily maintained his balance walking on the fat curb. The curb is ____.	The man easily maintained his balance walking on the skinny curb. The curb is ____.	wide	narrow	fat	skinny	HWDQZR3ZTFRN;NFN2M74RPJ2Q
exhaust pipe	The exhaust pipe was linear. The exhaust pipe is ____.	The exhaust pipe was curved. The exhaust pipe is ____.	straight	bent	linear	curved	9KNVR6X2DWC4;C69D7VD39FKM
maple syrup	Ricky's maple syrup was real. The maple syrup is ____.	Ricky's maple syrup was fake. The maple syrup is ____.	sweet	bland	real	fake	FPMCK2P37RW2;NFN2M74RPJ2Q
earwig	The textbook declared the earwig toxic. The earwig is ____.	The textbook declared the earwig innocuous. The earwig is ____.	poisonous	edible	toxic	innocuous	NFN2M74RPJ2Q;XH7FWCGRRXDJ
silicone	Mike prepared a batch of silicone frosting. The silicone is ____.	Mike prepared a batch of silicone caulking. The silicone is ____.	toxic	non-toxic	frosting	caulking	9KNVR6X2DWC4;XH7FWCGRRXDJ
roller	Priya used a unbreakable foam roller for her back. The roller is ____.	Priya used a squishy foam roller for her back. The roller is ____.	hard	soft	unbreakable	squishy	HWDQZR3ZTFRN;XH7FWCGRRXDJ
paper	The office said the fancy paper was available to new employees. The paper is ____.	The office said the fancy paper was sold to new employees. The paper is ____.	free	expensive	available	sold	9KNVR6X2DWC4;XXKCFJGVJDTX
meat grinder	You need a meat grinder that is assembled. The meat grinder is ____.	You need a meat grinder that is unaffordable. The meat grinder is ____.	mechanical	expensive	assembled	unaffordable	FPMCK2P37RW2;XH7FWCGRRXDJ
seal	Stamping the envelope Jacob noticed the seal was round. The seal is ____.	Stamping the envelope Jacob noticed the seal was pointed. The seal is ____.	circular	angular	round	pointed	EZCVAWE2HAMP;XH7FWCGRRXDJ
tray	Boris is finished chopping the onions on the tray. The tray is ____.	Boris is still chopping the onions on the tray. The tray is ____.	empty	full	finished	still	NFN2M74RPJ2Q;XJKGQQWFXKTX
ski pole	The ski pole fell with its point stuck in the snow. The ski pole is ____.	The ski pole fell with its shaft stuck in the snow. The ski pole is ____.	vertical	down	point	shaft	76VNAHQ9VAC3;EZCVAWE2HAMP
valve	The water shot from the mouth of the valve up into the room. The valve is ____.	The water shot from the mouth of the valve sideways into the room. The valve is ____.	vertical	horizontal	up	sideways	76VNAHQ9VAC3;XH7FWCGRRXDJ
drill	I picked up a pristine drill. The drill is ____.	I picked up a flawed drill. The drill is ____.	perfect	imperfect	pristine	flawed	XH7FWCGRRXDJ;XJKGQQWFXKTX
shortbread	Billie made a shortbread that is irregular. The shortbread is ____.	Billie made a shortbread that is normal. The shortbread is ____.	long	conventional	irregular	normal	9KNVR6X2DWC4;XXKCFJGVJDTX
toad	My pet toad lives in a cup. The toad is ____.	My pet toad lives in a pool. The toad is ____.	small	huge	cup	pool	HWDQZR3ZTFRN;NFN2M74RPJ2Q
speedometer	Helen glanced at the speedometer and knew it was right. The speedometer is ____.	Helen glanced at the speedometer and knew it was broken. The speedometer is ____.	accurate	wrong	right	broken	EZCVAWE2HAMP;XJKGQQWFXKTX
handle	Floris picked up the knife. The handle is ____.	Floris picked up the scissors. The handle is ____.	straight	curved	knife	scissors	9KNVR6X2DWC4;XXKCFJGVJDTX
wheat	The farmer's wheat is healthy. The wheat is ____.	The farmer's wheat is diseased. The wheat is ____.	edible	dangerous	healthy	diseased	FWD4Z73KK6F6;XXKCFJGVJDTX
daisy	I found out the daisy was safe to eat. The daisy is ____.	I found out the daisy was deadly to eat. The daisy is ____.	edible	toxic	safe	deadly	9KNVR6X2DWC4;XH7FWCGRRXDJ
orange rind	I swallowed the orange rind. The orange rind is ____.	I spit the orange rind. The orange rind is ____.	edible	sour	swallowed	spit	C69D7VD39FKM;XH7FWCGRRXDJ
porcupine	The  porcupine was seen in the Forrest  lately. The porcupine is ____.	The  porcupine was seen in the Area lately. The porcupine is ____.	extinct	present	Forrest 	Area	9KNVR6X2DWC4;XXKCFJGVJDTX
peg	Ricky's peg looked bare. The peg is ____.	Ricky's peg looked filled. The peg is ____.	empty	full	bare	filled	FWD4Z73KK6F6;XJKGQQWFXKTX
dish	Ben's meal was made by a chef. The dish is ____.	Ben's meal was made by a child. The dish is ____.	edible	inedible	chef	child	9KNVR6X2DWC4;XH7FWCGRRXDJ
sausage	Yolanda's sausage had been long frozen. The sausage is ____.	Yolanda's sausage had been long expired. The sausage is ____.	edible	inedible	frozen	expired	HKXM7AJCMHJQ;HWDQZR3ZTFRN
oil	We will need lots of costly oil. The oil is ____.	We will need lots of affordable oil. The oil is ____.	expensive	inexpensive	costly	affordable	FWD4Z73KK6F6;XH7FWCGRRXDJ
ankle	She told me her ankle was puffy. The ankle is ____.	She told me her ankle was burning. The ankle is ____.	swollen	inflamed	puffy	burning	FPMCK2P37RW2;XH7FWCGRRXDJ
puppet	The puppet can appear spiritless with help of a human's actions. The puppet is ____.	The puppet can appear existent with help of a human's actions. The puppet is ____.	dead	alive	spiritless	existent	9KNVR6X2DWC4;FWD4Z73KK6F6
lamp	When she turned on the lamp the room was bright. The lamp is ____.	When she turned on the lamp the room was black. The lamp is ____.	light	dark	bright	black	NFN2M74RPJ2Q;XH7FWCGRRXDJ
loveseat	Frank got an email saying the loveseat was on the porch . The loveseat is ____.	Frank got an email saying the loveseat was on the truck. The loveseat is ____.	there	shipped	porch 	truck	FPMCK2P37RW2;FWD4Z73KK6F6
nose	Bill had a very large nose. The nose is ____.	Bill had a very small nose. The nose is ____.	long	stubby	large	small	9KNVR6X2DWC4;XXKCFJGVJDTX
punching bag	Francis had a punching bag that was average. The punching bag is ____.	Francis had a punching bag that was expensive. The punching bag is ____.	plastic	leather	average	expensive	9KNVR6X2DWC4;VNAQPVX4R36A
surfboard	The mans board bent when he hit the wave. The surfboard is ____.	The mans board cracked when he hit the wave. The surfboard is ____.	rigid	broken	bent	cracked	9KNVR6X2DWC4;HKXM7AJCMHJQ
cashew	Bob knocked over the salt spilling it on the cashews. The cashew is ____.	Bob knocked over the ginger spilling it on the cashews. The cashew is ____.	edible	bitter	salt	ginger	9KNVR6X2DWC4;XXKCFJGVJDTX
wooden leg	The man's new wooden leg broke  under pressure. The wooden leg is ____.	The man's new wooden leg moved under pressure. The wooden leg is ____.	hollow	dense	broke 	moved	FPMCK2P37RW2;FWD4Z73KK6F6
jukebox	Nancy bought a new jukebox. The jukebox is ____.	Nancy bought a used jukebox. The jukebox is ____.	musical	discordant	new	used	NFN2M74RPJ2Q;XH7FWCGRRXDJ
cockroach	The cockroach in Betty's kitchen cowered when it seen her. The cockroach is ____.	The cockroach in Betty's kitchen charged when it seen her. The cockroach is ____.	prey	attacking	cowered	charged	FWD4Z73KK6F6;VNAQPVX4R36A
cabinet	Jennifer's searching of the cabinet for something to eat left her appetite unfilfilled. The cabinet is ____.	Jennifer's searching of the cabinet for something to eat left her appetite sated. The cabinet is ____.	empty	full	unfilfilled	sated	9KNVR6X2DWC4;FWD4Z73KK6F6
wrap	Mike pulled the wrap tight and it stretched. The wrap is ____.	Mike pulled the wrap tight and it tore. The wrap is ____.	elastic	solid	stretched	tore	HWDQZR3ZTFRN;XH7FWCGRRXDJ
candy cane	Bob's dad showed him how to make candy canse from sugar for the holiday. The candy cane is ____.	Bob's dad showed him how to make candy canse from apples for the holiday. The candy cane is ____.	candy	fruit	sugar	apples	9KNVR6X2DWC4;C69D7VD39FKM
yogurt	Mike ate the peach yogurt. The yogurt is ____.	Mike ate the lime yogurt. The yogurt is ____.	sweet	tangy	peach	lime	9KNVR6X2DWC4;XH7FWCGRRXDJ
scaffold	I had to climb the vacant scaffolding to reach. The scaffold is ____.	I had to climb the occupied scaffolding to reach. The scaffold is ____.	empty	used	vacant	occupied	9KNVR6X2DWC4;XH7FWCGRRXDJ
ping-pong table	I want to buy a disk-shaped ping-pong table. The ping-pong table is ____.	I want to buy a rectangular ping-pong table. The ping-pong table is ____.	circular	standard	disk-shaped	rectangular	9KNVR6X2DWC4;XXKCFJGVJDTX
duct	Ronaldo found the end of the duct far. The duct is ____.	Ronaldo found the end of the duct close. The duct is ____.	long	stubby	far	close	FWD4Z73KK6F6;XJKGQQWFXKTX
groundhog	Billy ran over the groundhog taking it from the side of the road. The groundhog is ____.	Billy ran over the groundhog cooking it from the side of the road. The groundhog is ____.	edible	consumable	taking	cooking	9KNVR6X2DWC4;FPMCK2P37RW2
garter	Judy's garter is visible. The garter is ____.	Judy's garter is hidden. The garter is ____.	long	short	visible	hidden	9KNVR6X2DWC4;XH7FWCGRRXDJ
chair	I found the chair to be cozy. The chair is ____.	I found the chair to be hard. The chair is ____.	comfortable	uncomfortable	cozy	hard	9KNVR6X2DWC4;VNAQPVX4R36A
vacuum	When it was finished, my vacuum was barren. The vacuum is ____.	When it was finished, my vacuum was jam-packed. The vacuum is ____.	empty	full	barren	jam-packed	FPMCK2P37RW2;XH7FWCGRRXDJ
origami	The museum director gushed over the antique origami collection. The origami is ____.	The museum director gushed over the new origami collection. The origami is ____.	ancient	modern	antique	new	9KNVR6X2DWC4;VNAQPVX4R36A
sarcophagus	The found the sarcophagus to be empty. The sarcophagus is ____.	The found the sarcophagus to be occupied. The sarcophagus is ____.	hollow	filled	empty	occupied	HWDQZR3ZTFRN;XH7FWCGRRXDJ
jelly bean	Mike was enticed by the prospect of eating the jelly bean. The jelly bean is ____.	Mike was disgusted. by the prospect of eating the jelly bean. The jelly bean is ____.	edible	inedible	enticed	disgusted.	C69D7VD39FKM;FWD4Z73KK6F6
grasshopper	The grasshopper was real. The grasshopper is ____.	The grasshopper was enlarged. The grasshopper is ____.	small	big	real	enlarged	9KNVR6X2DWC4;XXKCFJGVJDTX
dumpster	The trash truck just stopped by the dumpster. The dumpster is ____.	The trash truck just drove by the dumpster. The dumpster is ____.	empty	stuffed	stopped	drove	9KNVR6X2DWC4;XXKCFJGVJDTX
top hat	You may wear a top hat. The top hat is ____.	You must wear a top hat. The top hat is ____.	optional	compulsory	may	must	FPMCK2P37RW2;NFN2M74RPJ2Q
boy	Donnie is at school. The boy is ____.	Donnie is at home. The boy is ____.	there	here	school	home	9KNVR6X2DWC4;FWD4Z73KK6F6
pinwheel	Jaden's pinwheel's shadow was round. The pinwheel is ____.	Jaden's pinwheel's shadow was blockish. The pinwheel is ____.	circular	square	round	blockish	9KNVR6X2DWC4;FPMCK2P37RW2
