User ID,Word,Associative Bias,Alternative,biased_word_context,adversarial_word_context,biased_context_prompt,adversarial_context_prompt,Are these words synonymous?[ {{Associative Bias}} / {{biased_word_context}} ],Are these words synonymous?[ {{Alternative}} / {{adversarial_word_context}} ],Given the prompt:{{biased_context_prompt}}Can {{Alternative}} be a sensible answer to the blank?,Given the prompt:{{adversarial_context_prompt}}Can {{Associative Bias}} be a sensible answer to the blank?
C69D7VD39FKM,veil,thin,thick,see,miss,Logan could see his friend through the veil of smoke outside. The veil is ____.,Logan could miss his friend through the veil of smoke outside. The veil is ____.,No,No,No,No
NFN2M74RPJ2Q,blowfish,edible,unpalatable,greedily,nervously,Mike greedily ate the blowfish sushi. The blowfish is ____.,Mike nervously ate the blowfish sushi. The blowfish is ____.,No,No,No,Yes
C69D7VD39FKM,keg,empty,stuffed,over,tomorrow,The party is over. The keg is ____.,The party is tomorrow. The keg is ____.,No,No,No,No
FPMCK2P37RW2,teddy bear,popular,unpopular,none,lots,Every toy store I went to had none of them available for sale. The teddy bear is ____.,Every toy store I went to had lots of them available for sale. The teddy bear is ____.,No,No,No,No
NFN2M74RPJ2Q,skunk,edible,noxious,delicious,gross,Tim ran over a skunk who looked delicious to bring home. The skunk is ____.,Tim ran over a skunk who looked gross to bring home. The skunk is ____.,Yes,No,No,No
QHKQ32WVQEGN,stamp,circular,scalloped,round,crinkled,Darren's new stamp in his collection was rather round. The stamp is ____.,Darren's new stamp in his collection was rather crinkled. The stamp is ____.,Yes,Yes,Yes,Yes
FPMCK2P37RW2,biscuit,thin,thick,flatter,fuller,The biscuit was flatter than normal. The biscuit is ____.,The biscuit was fuller than normal. The biscuit is ____.,No,No,No,No
FPMCK2P37RW2,hockey stick,wooden,steel,cracked,fine,Frank threw his hockey stick at the wall and it was cracked. The hockey stick is ____.,Frank threw his hockey stick at the wall and it was fine. The hockey stick is ____.,No,No,No,No
FPMCK2P37RW2,couch,comfortable,uncomfortable,cotton,wood,Danielle's couch is made of cotton. The couch is ____.,Danielle's couch is made of wood. The couch is ____.,No,No,No,No
9KNVR6X2DWC4,squirrel,small,enormous,toy,statue,The squirrel was a toy on the grass. The squirrel is ____.,The squirrel was a statue on the grass. The squirrel is ____.,No,No,No,Yes
FPMCK2P37RW2,headdress,optional,required,may,must,She told me that I may wear the headdress. The headdress is ____.,She told me that I must wear the headdress. The headdress is ____.,Yes,Yes,No,No
FPMCK2P37RW2,boot,heavy,lightweight,challenging,effortless,The new boots made walking through the snow challenging. The boot is ____.,The new boots made walking through the snow effortless. The boot is ____.,No,No,No,No
FPMCK2P37RW2,boomerang,long,short,tall,tiny,I couldn't get a good grib on the boomerang because it was too tall. The boomerang is ____.,I couldn't get a good grib on the boomerang because it was too tiny. The boomerang is ____.,No,No,No,No
FPMCK2P37RW2,sushi,simple,confusing,beginner,enthusiast,The sushi is perfect for a beginner. The sushi is ____.,The sushi is perfect for a enthusiast. The sushi is ____.,No,No,No,No
FPMCK2P37RW2,handlebar,straight,curved,forward,up,Jane could reach the handle bars while sitting forward. The handlebar is ____.,Jane could reach the handle bars while sitting up. The handlebar is ____.,No,No,Yes,Yes
HKXM7AJCMHJQ,sweet potato,edible,inedible,ground,trash,Philip dug the sweet potato out of the ground. The sweet potato is ____.,Philip dug the sweet potato out of the trash. The sweet potato is ____.,No,No,No,No
9KNVR6X2DWC4,syrup,edible,thickened,sweet,stiffened,Jenny poured on the sweet syrup. The syrup is ____.,Jenny poured on the stiffened syrup. The syrup is ____.,No,No,Yes,Yes
FPMCK2P37RW2,chisel,sharp,smooth,ease,difficulty,Susan used the chisel to cut the stone with ease. The chisel is ____.,Susan used the chisel to cut the stone with difficulty. The chisel is ____.,No,No,No,No
9KNVR6X2DWC4,canister,empty,full,red,green,The gas mask canister indicator was flashing red. The canister is ____.,The gas mask canister indicator was flashing green. The canister is ____.,No,No,No,No
FPMCK2P37RW2,moccasin,edible,inedible,fondant,leather,Mike crafted the moccasin out of fondant. The moccasin is ____.,Mike crafted the moccasin out of leather. The moccasin is ____.,No,No,No,No
FPMCK2P37RW2,syrup,edible,thickened,sweet,stiffened,Jenny poured on the sweet syrup. The syrup is ____.,Jenny poured on the stiffened syrup. The syrup is ____.,No,No,Yes,No
C69D7VD39FKM,chisel,sharp,smooth,ease,difficulty,Susan used the chisel to cut the stone with ease. The chisel is ____.,Susan used the chisel to cut the stone with difficulty. The chisel is ____.,No,No,No,No
NFN2M74RPJ2Q,bag,empty,full,inside,outside,All of the groceries were inside the bag. The bag is ____.,All of the groceries were outside the bag. The bag is ____.,No,No,Yes,Yes
FPMCK2P37RW2,shell,smooth,bumpy,slick,jagged,The outside of the shell is slick. The shell is ____.,The outside of the shell is jagged. The shell is ____.,Yes,No,No,No
HKXM7AJCMHJQ,tarantula,poisonous,safe,thrilled,terrified,Kim was thrilled when he asked her to hold the tarantula. The tarantula is ____.,Kim was terrified when he asked her to hold the tarantula. The tarantula is ____.,No,No,Yes,Yes
FPMCK2P37RW2,fudge,edible,inedible,refrigerator,trash,Emily left the fudge in the refrigerator overnight. The fudge is ____.,Emily left the fudge in the trash overnight. The fudge is ____.,No,No,No,No
FPMCK2P37RW2,sorbet,edible,toxic,feed,sicken,I used the sorbet to feed my boss. The sorbet is ____.,I used the sorbet to sicken my boss. The sorbet is ____.,No,No,No,No
NFN2M74RPJ2Q,octopus,extinct,plentiful,zero,many,There are zero octopus in the sea. The octopus is ____.,There are many octopus in the sea. The octopus is ____.,No,Yes,No,No
QHKQ32WVQEGN,hard disk,empty,full,new,used,The hard disk is new. The hard disk is ____.,The hard disk is used. The hard disk is ____.,No,No,No,No
C69D7VD39FKM,woman,pregnant,infertile,celebrated,sobbed,The woman celebrated after reading her test. The woman is ____.,The woman sobbed after reading her test. The woman is ____.,Yes,Yes,No,No
FPMCK2P37RW2,wedding cake,edible,inedible,eating,discarding,The guests at our wedding were eating the slices of wedding cake. The wedding cake is ____.,The guests at our wedding were discarding the slices of wedding cake. The wedding cake is ____.,No,No,No,No
FPMCK2P37RW2,pretzel,edible,inedible,smelled,destroyed,Ricardo's dog smelled his pretzel. The pretzel is ____.,Ricardo's dog destroyed his pretzel. The pretzel is ____.,No,No,No,No
FPMCK2P37RW2,bulletin board,open,locked,overfilled,inaccessible,Janet tried to write on the bulletin board but it was overfilled. The bulletin board is ____.,Janet tried to write on the bulletin board but it was inaccessible. The bulletin board is ____.,No,No,No,No
FPMCK2P37RW2,crab,prey,carnivorous,fleeing,eating,The crab is fleeing the bird. The crab is ____.,The crab is eating the bird. The crab is ____.,No,No,No,No
9KNVR6X2DWC4,chalkboard,empty,covered,lifeguard,teacher,The child pretended to be a lifeguard. The chalkboard is ____.,The child pretended to be a teacher. The chalkboard is ____.,No,No,No,No
FPMCK2P37RW2,pulpit,free,occupied,left,entered,The priest left the pulpit. The pulpit is ____.,The priest entered the pulpit. The pulpit is ____.,No,No,No,No
FPMCK2P37RW2,football,popular,ignored,famous,dismissed,The most famous ball is the football. The football is ____.,The most dismissed ball is the football. The football is ____.,No,No,No,No
FPMCK2P37RW2,string cheese,cheese,plastic,ice,prop,The string cheese was found in an ice box. The string cheese is ____.,The string cheese was found in an prop box. The string cheese is ____.,No,No,No,No
FPMCK2P37RW2,dishwashing liquid,liquid,solidified,poured,thudded,The dishwashing liquid poured onto the counter. The dishwashing liquid is ____.,The dishwashing liquid thudded onto the counter. The dishwashing liquid is ____.,No,No,No,Yes
FPMCK2P37RW2,sling,heavy,light,hard,easy,It was hard to carry the sling. The sling is ____.,It was easy to carry the sling. The sling is ____.,No,No,No,No
FPMCK2P37RW2,cleaver,sharp,dull,clean,jagged,The cleaver made a clean cut. The cleaver is ____.,The cleaver made a jagged cut. The cleaver is ____.,No,No,No,No
NFN2M74RPJ2Q,shell,smooth,bumpy,slick,jagged,The outside of the shell is slick. The shell is ____.,The outside of the shell is jagged. The shell is ____.,No,No,No,No
FPMCK2P37RW2,fence,intact,failing,secure,concerned,The state of the fence around his house made Bill feel secure. The fence is ____.,The state of the fence around his house made Bill feel concerned. The fence is ____.,No,No,No,No
FPMCK2P37RW2,bowl,hollow,thick,shattered,bounced,Karen dropped the bowl and is shattered when it hit the ground. The bowl is ____.,Karen dropped the bowl and is bounced when it hit the ground. The bowl is ____.,No,No,No,No
FPMCK2P37RW2,pulpit,empty,full,canceled,promoted,The preacher canceled his new pulpit sermons. The pulpit is ____.,The preacher promoted his new pulpit sermons. The pulpit is ____.,No,No,No,No
QHKQ32WVQEGN,buckle,round,straight,ball,needle,Marcus noticed this belt buckle felt like a ball. The buckle is ____.,Marcus noticed this belt buckle felt like a needle. The buckle is ____.,No,No,No,No
NFN2M74RPJ2Q,bed,comfortable,irritating,soft,itchy,Kendra's sheets were soft. The bed is ____.,Kendra's sheets were itchy. The bed is ____.,No,No,No,No
FPMCK2P37RW2,thread,straight,bent,direct,lazy,The thread took a direct path between the two points. The thread is ____.,The thread took a lazy path between the two points. The thread is ____.,No,No,No,No
C69D7VD39FKM,skeleton,human,animal,man,bird,Ming was spooked by the skeleton of the man. The skeleton is ____.,Ming was spooked by the skeleton of the bird. The skeleton is ____.,Yes,Yes,No,No
9KNVR6X2DWC4,papaya,large,small,hour, minute,Darla ate her papaya in one hour. The papaya is ____.,Darla ate her papaya in one  minute. The papaya is ____.,No,No,Yes,No
C69D7VD39FKM,frog,edible,dangerous,snack,weapon,A frog can be a good snack. The frog is ____.,A frog can be a good weapon. The frog is ____.,Yes,Yes,No,No
FPMCK2P37RW2,chimney,high,low,feet,inches,The chimney extended ten feet above the roof. The chimney is ____.,The chimney extended ten inches above the roof. The chimney is ____.,No,No,No,No
FPMCK2P37RW2,face,there,missing,drawn,erased,Janet had drawn the face. The face is ____.,Janet had erased the face. The face is ____.,No,No,No,No
9KNVR6X2DWC4,apple,edible,inedible,real,wax,The apple real. The apple is ____.,The apple wax. The apple is ____.,No,No,No,No
QHKQ32WVQEGN,shrimp,poisonous,tasty,painful,enjoyable,"If you eat the shrimp, it will be painful. The shrimp is ____.","If you eat the shrimp, it will be enjoyable. The shrimp is ____.",No,Yes,No,No
FPMCK2P37RW2,coffeemaker,mechanical,manual,press,remote,Mike activated coffeemaker using the press. The coffeemaker is ____.,Mike activated coffeemaker using the remote. The coffeemaker is ____.,No,No,Yes,Yes
NFN2M74RPJ2Q,rattlesnake,edible,inedible,smoked,incinerated,The rattlesnake was smoked over the fire. The rattlesnake is ____.,The rattlesnake was incinerated over the fire. The rattlesnake is ____.,No,No,Yes,No
FPMCK2P37RW2,springboard,vertical,horizontal,wall,floor,Dale had a springboard against the wall. The springboard is ____.,Dale had a springboard against the floor. The springboard is ____.,No,No,No,No
NFN2M74RPJ2Q,juice,bitter,fresh,revolted,pleased,I was revolted by the juice. The juice is ____.,I was pleased by the juice. The juice is ____.,No,No,No,Yes
FPMCK2P37RW2,valve,open,closed,allowed,stopped,The valve allowed the water's flow. The valve is ____.,The valve stopped the water's flow. The valve is ____.,No,No,No,No
NFN2M74RPJ2Q,wine,strong,weak,potent,watery,I enjoy wine that's potent. The wine is ____.,I enjoy wine that's watery. The wine is ____.,Yes,Yes,No,No
C69D7VD39FKM,test tube,cylindrical,cubic,rolled,balanced,The test tubes rolled when put down. The test tube is ____.,The test tubes balanced when put down. The test tube is ____.,Yes,Yes,No,No
QHKQ32WVQEGN,test tube,hollow,filled,empty,loaded,The doctor used a empty test tube. The test tube is ____.,The doctor used a loaded test tube. The test tube is ____.,Yes,Yes,No,Yes
FPMCK2P37RW2,ping-pong table,circular,square,no,four,Mike's ping-pong table has no corners. The ping-pong table is ____.,Mike's ping-pong table has four corners. The ping-pong table is ____.,No,No,No,No
C69D7VD39FKM,gramophone,portable,stuck,moveable,impossible ,"Sheila wanted to use the gramophone in the closet to listen to an old record, all depending on the moveable action of transferring it from under the boxes and clothing. The gramophone is ____.","Sheila wanted to use the gramophone in the closet to listen to an old record, all depending on the impossible  action of transferring it from under the boxes and clothing. The gramophone is ____.",Yes,Yes,No,Yes
FPMCK2P37RW2,chute,open,shut,out,stuck,Susan jumped in the escape chute and got out. The chute is ____.,Susan jumped in the escape chute and got stuck. The chute is ____.,No,No,No,No
NFN2M74RPJ2Q,silverware,silver,gold,grey,amber,Tina opened up the drawer to find grey silverware. The silverware is ____.,Tina opened up the drawer to find amber silverware. The silverware is ____.,No,No,No,No
NFN2M74RPJ2Q,chimney,high,low,feet,inches,The chimney extended ten feet above the roof. The chimney is ____.,The chimney extended ten inches above the roof. The chimney is ____.,No,No,No,Yes
FPMCK2P37RW2,yacht,empty,full,many,no,There is enough room on the yacht to fit many extra people. The yacht is ____.,There is enough room on the yacht to fit no extra people. The yacht is ____.,No,No,No,No
FPMCK2P37RW2,juice,bitter,sweet,lemon,mango,Mike squeezed the juice from a lemon. The juice is ____.,Mike squeezed the juice from a mango. The juice is ____.,No,No,No,No
9KNVR6X2DWC4,pothole,shallow,deep,easy,difficult,The pothole proved to be easy to manage. The pothole is ____.,The pothole proved to be difficult to manage. The pothole is ____.,No,No,No,No
NFN2M74RPJ2Q,taffy,cold,hot,snow,microwave,Sally left the bag of taffy in the snow. The taffy is ____.,Sally left the bag of taffy in the microwave. The taffy is ____.,No,No,No,Yes
FPMCK2P37RW2,pothole,shallow,deep,easy,difficult,The pothole proved to be easy to manage. The pothole is ____.,The pothole proved to be difficult to manage. The pothole is ____.,No,No,No,No
FPMCK2P37RW2,dishrag,cold,warm,washer,dryer,Jim pulled the dishrag fresh out of the washer. The dishrag is ____.,Jim pulled the dishrag fresh out of the dryer. The dishrag is ____.,No,No,No,No
QHKQ32WVQEGN,dolphin,amphibious,oceanic,legs,teeth,Some prehistoric dolphins had legs in addition to fins. The dolphin is ____.,Some prehistoric dolphins had teeth in addition to fins. The dolphin is ____.,No,No,Yes,No
FPMCK2P37RW2,spear,long,short,man,dog,The spear stood at all as a man. The spear is ____.,The spear stood at all as a dog. The spear is ____.,No,No,No,No
QHKQ32WVQEGN,tarantula,poisonous,safe,thrilled,terrified,Kim was thrilled when he asked her to hold the tarantula. The tarantula is ____.,Kim was terrified when he asked her to hold the tarantula. The tarantula is ____.,No,No,Yes,Yes
NFN2M74RPJ2Q,silicone,stable,violate,smooth,cracked,"When he had finished the job, the plumber found that the silicone around the bath was smooth. The silicone is ____.","When he had finished the job, the plumber found that the silicone around the bath was cracked. The silicone is ____.",No,No,No,No
NFN2M74RPJ2Q,pretzel,edible,mouldy,fresh,stale,George bought a pretzel and it was fresh. The pretzel is ____.,George bought a pretzel and it was stale. The pretzel is ____.,Yes,Yes,No,No
FPMCK2P37RW2,sweeper,human,inhuman,janitor,cat,Mike assigned sweeping duties at the office to the local janitor. The sweeper is ____.,Mike assigned sweeping duties at the office to the local cat. The sweeper is ____.,No,No,No,No
NFN2M74RPJ2Q,moss,edible,inedible,fine,nauseous,"After eating the moss, Todd felt fine. The moss is ____.","After eating the moss, Todd felt nauseous. The moss is ____.",No,No,No,No
9KNVR6X2DWC4,stingray,poisonous,safe,flee,approach,"If you see a stingray, you should flee. The stingray is ____.","If you see a stingray, you should approach. The stingray is ____.",No,No,No,No
NFN2M74RPJ2Q,pipe,cylindrical,square,sphere,corner,The pipe fit perfectly in the sphere. The pipe is ____.,The pipe fit perfectly in the corner. The pipe is ____.,No,No,No,No
C69D7VD39FKM,honeypot,empty,full,light,heavy,Winnie's jar of honey was light. The honeypot is ____.,Winnie's jar of honey was heavy. The honeypot is ____.,Yes,Yes,No,No
QHKQ32WVQEGN,fence,high,low,tall,short,Jake climbed the tall fence. The fence is ____.,Jake climbed the short fence. The fence is ____.,Yes,Yes,No,No
C69D7VD39FKM,recorder,portable,huge,easy,difficult,The recorder is very easy to carry. The recorder is ____.,The recorder is very difficult to carry. The recorder is ____.,Yes,Yes,No,No
FPMCK2P37RW2,bed,comfortable,irritating,soft,itchy,Kendra's sheets were soft. The bed is ____.,Kendra's sheets were itchy. The bed is ____.,No,No,No,No
FPMCK2P37RW2,spaghetti,cold,warm,never,just,Mark had had never cooked the spaghetti. The spaghetti is ____.,Mark had had just cooked the spaghetti. The spaghetti is ____.,No,No,No,No
FPMCK2P37RW2,panther,prey,predator,tiger,rabbit,Mike watched the panther and the tiger hunting in the tall grass. The panther is ____.,Mike watched the panther and the rabbit hunting in the tall grass. The panther is ____.,No,No,No,No
FPMCK2P37RW2,grate,circular,straight,plate,tray,The lid for the grate is shaped like a plate. The grate is ____.,The lid for the grate is shaped like a tray. The grate is ____.,No,No,Yes,Yes
QHKQ32WVQEGN,berry,edible,toxic,fresh,moldy,The berries Fred ate were fresh. The berry is ____.,The berries Fred ate were moldy. The berry is ____.,No,Yes,No,No
FPMCK2P37RW2,chocolate,delicious,horrible,inhaled,vomited,Marvin inhaled all the chocolate. The chocolate is ____.,Marvin vomited all the chocolate. The chocolate is ____.,No,No,No,No
C69D7VD39FKM,chute,open,shut,out,stuck,Susan jumped in the escape chute and got out. The chute is ____.,Susan jumped in the escape chute and got stuck. The chute is ____.,Yes,Yes,No,Yes
FPMCK2P37RW2,skeleton,human,animal,man,bird,Ming was spooked by the skeleton of the man. The skeleton is ____.,Ming was spooked by the skeleton of the bird. The skeleton is ____.,Yes,No,No,No
FPMCK2P37RW2,hair,short,lengthy,cut,grew,The girl cut her hair. The hair is ____.,The girl grew her hair. The hair is ____.,No,No,No,No
C69D7VD39FKM,counter,empty,filled,room,clutter,"Looking for somewhere to set down his bag, John saw that there was room on the counter. The counter is ____.","Looking for somewhere to set down his bag, John saw that there was clutter on the counter. The counter is ____.",Yes,Yes,No,Yes
FPMCK2P37RW2,odometer,accurate,inaccurate,correct,wrong,Steph confirmed that her odometer was correct by measuring the distance on Google Earth. The odometer is ____.,Steph confirmed that her odometer was wrong by measuring the distance on Google Earth. The odometer is ____.,Yes,Yes,No,No
FPMCK2P37RW2,lava,volcanic,petrified,fled,held,The townspeople fled the lava. The lava is ____.,The townspeople held the lava. The lava is ____.,No,No,No,No
C69D7VD39FKM,couch,comfortable,uncomfortable,cotton,wood,Danielle's couch is made of cotton. The couch is ____.,Danielle's couch is made of wood. The couch is ____.,Yes,Yes,No,No
NFN2M74RPJ2Q,payphone,portable,unwieldy,liftable,flimsy,The payphone Barry used was liftable. The payphone is ____.,The payphone Barry used was flimsy. The payphone is ____.,No,No,No,Yes
FPMCK2P37RW2,pillbox,empty,full,no,many,Jim looked in the pillbox and found there were no pills. The pillbox is ____.,Jim looked in the pillbox and found there were many pills. The pillbox is ____.,No,No,No,No
FPMCK2P37RW2,bassinet,large,small,Five,Two ,Todd  could fit Five loaves of bread in the bassinet. The bassinet is ____.,Todd  could fit Two  loaves of bread in the bassinet. The bassinet is ____.,No,No,No,No
QHKQ32WVQEGN,lumber,valuable,knotty,lot,little,Jack paid a lot for the lumber. The lumber is ____.,Jack paid a little for the lumber. The lumber is ____.,No,No,No,No
FPMCK2P37RW2,jam,good,rotten,minutes,months,Mike had left the jam open on the counter for a few minutes. The jam is ____.,Mike had left the jam open on the counter for a few months. The jam is ____.,No,No,No,No
FPMCK2P37RW2,milkshake,sweet,sour,hours,months,The milkshake has been sitting in the fridge for hours. The milkshake is ____.,The milkshake has been sitting in the fridge for months. The milkshake is ____.,No,No,No,No
C69D7VD39FKM,slime,poisonous,non-toxic,dangerous,unthreatening,The men who were handling the barrels of slime from the factory were instructed it was dangerous if inhaled. The slime is ____.,The men who were handling the barrels of slime from the factory were instructed it was unthreatening if inhaled. The slime is ____.,Yes,Yes,No,Yes
9KNVR6X2DWC4,pita,circular,oblong,rolled,folded,Jenny rolled the pita she made for lunch. The pita is ____.,Jenny folded the pita she made for lunch. The pita is ____.,No,No,Yes,No
NFN2M74RPJ2Q,wedding cake,edible,inedible,eating,discarding,The guests at our wedding were eating the slices of wedding cake. The wedding cake is ____.,The guests at our wedding were discarding the slices of wedding cake. The wedding cake is ____.,No,No,No,No
FPMCK2P37RW2,rattlesnake,edible,inedible,smoked,incinerated,The rattlesnake was smoked over the fire. The rattlesnake is ____.,The rattlesnake was incinerated over the fire. The rattlesnake is ____.,No,No,No,No
NFN2M74RPJ2Q,candlestick,empty,lit,dark,bright,The room containing the candlestick was dark. The candlestick is ____.,The room containing the candlestick was bright. The candlestick is ____.,No,Yes,No,No
FPMCK2P37RW2,computer screen,blank,working,dark,glowing,Kevin's computer screen was dark. The computer screen is ____.,Kevin's computer screen was glowing. The computer screen is ____.,No,No,No,No
NFN2M74RPJ2Q,dashboard,clear,filled,clean,messy,They gave me a ticket that I put on the clean dashboard. The dashboard is ____.,They gave me a ticket that I put on the messy dashboard. The dashboard is ____.,No,No,No,No
FPMCK2P37RW2,pinecone,edible,inedible,better,worse,Boiling a pinecone in the soup made every much better. The pinecone is ____.,Boiling a pinecone in the soup made every much worse. The pinecone is ____.,No,No,No,No
FPMCK2P37RW2,starfish,edible,inedible,enjoyed,discarded,Susan enjoyed the starfish soup. The starfish is ____.,Susan discarded the starfish soup. The starfish is ____.,No,No,No,No
